code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""295316013""",UNKNOWN,true,"3	""E2580""	""E258000""	""nondependent antidepressant type drug abuse, unspecified""	191928000	295315012	NA	32	1",
"""295317016""",UNKNOWN,true,"3	""E2581""	""E258100""	""nondependent antidepressant type drug abuse, continuous""	191930003	295317016	NA	32	1",
"""295319018""",UNKNOWN,true,"7	""E2582""	""E258200""	""nondependent antidepressant type drug abuse, episodic""	191931004	295319018	NA	32	1",
"""295320012""",UNKNOWN,true,"2	""E2583""	""E258300""	""nondependent antidepressant type drug abuse in remission""	191932006	295320012	NA	32	1",
"""295321011""",UNKNOWN,true,"7	""E258z""	""E258z00""	""nondependent antidepressant type drug abuse nos""	191928000	295315012	NA	32	1",
"""325573018""",UNKNOWN,true,"20	""SyuFK""	""SyuFK00""	""[x]poisoning by other and unspecified antidepressants""	82276009	136477016	NA	32	1",
"""328640016""",UNKNOWN,true,"100	""T840""	""T840.00""	""accidental poisoning by antidepressants""	216545008	328640016	NA	32	1",
"""328641017""",UNKNOWN,true,"70	""T8400""	""T840000""	""accidental poisoning by amitriptyline""	216546009	328641017	NA	32	1",
"""328642012""",UNKNOWN,true,"40	""T8401""	""T840100""	""accidental poisoning by imipramine""	216547000	328642012	NA	32	1",
"""328644013""",UNKNOWN,true,"40	""T840z""	""T840z00""	""accidental poisoning by antidepressants nos""	216545008	328640016	NA	32	1",
"""331126017""",UNKNOWN,true,"600	""TJ90z""	""TJ90z00""	""adverse reaction to antidepressants nos""	292275009	432408012	NA	5	1",
"""334669011""",UNKNOWN,true,"10000	""U204-1""	""U204.11""	""overdose of antidepressant drug""	295830007	436211014	NA	32	1",
"""334670012""",UNKNOWN,true,"3000	""U204-2""	""U204.12""	""amitriptyline overdose""	295835002	436216016	NA	32	1",
"""411724019""",UNKNOWN,true,"5	""46Q4-1""	""46Q4.11""	""imipramine in urine""	1026261000000103	2600521000000114	NA	34	1",
"""430963015""",UNKNOWN,true,"10	""SL903""	""SL90300""	""trazodone poisoning""	290923004	430963015	NA	32	1",
"""1232673016""",UNKNOWN,true,"30	""SL901""	""SL90100""	""imipramine poisoning""	65425009	1232673016	NA	32	1",
"""1234284018""",UNKNOWN,true,"200	""SL900""	""SL90000""	""amitriptyline poisoning""	78695006	1234284018	NA	32	1",
"""1485326012""",UNKNOWN,true,"100	""44u4""	""44u4.00""	""serum amitriptyline level""	1020141000000106	2575441000000111	NA	34	1",
"""1485510012""",UNKNOWN,true,"20	""44u6""	""44u6.00""	""plasma clomipramine level""	1020161000000107	2569761000000113	NA	34	1",
"""1488383018""",UNKNOWN,true,"9	""44uL""	""44uL.00""	""serum clomipramine level""	1014681000000105	2562551000000114	NA	34	1",
"""1488742019""",UNKNOWN,true,"30	""44uP""	""44uP.00""	""serum nortriptyline level""	1014721000000103	2579981000000110	NA	34	1",
"""2164358018""",UNKNOWN,true,"200	""TJ905""	""TJ90500""	""adverse reaction to doxepin""	292281001	2164358018	NA	5	1",
"""2164359014""",UNKNOWN,true,"2000	""TJ907""	""TJ90700""	""adverse reaction to lofepramine""	292283003	2164359014	NA	5	1",
"""2164360016""",UNKNOWN,true,"1000	""TJ908""	""TJ90800""	""adverse reaction to nortriptyline""	292284009	2164360016	NA	5	1",
"""2164361017""",UNKNOWN,true,"100	""TJ90A""	""TJ90A00""	""adverse reaction to trimipramine""	292285005	2164361017	NA	5	1",
"""2164362012""",UNKNOWN,true,"600	""TJ902""	""TJ90200""	""adverse reaction to clomipramine""	292288007	2164362012	NA	5	1",
"""2164365014""",UNKNOWN,true,"600	""TJ906""	""TJ90600""	""adverse reaction to imipramine""	292291007	2164365014	NA	5	1",
"""2164367018""",UNKNOWN,true,"40	""TJ90D""	""TJ90D00""	""adverse reaction to phenelzine""	292294004	2164367018	NA	5	1",
"""2164368011""",UNKNOWN,true,"8	""TJ90E""	""TJ90E00""	""adverse reaction to isocarboxazid""	292296002	2164368011	NA	5	1",
"""2164369015""",UNKNOWN,true,"10	""TJ90F""	""TJ90F00""	""adverse reaction to tranylcypromine""	292297006	2164369015	NA	5	1",
"""2164370019""",UNKNOWN,true,"10	""TJ90H""	""TJ90H00""	""adverse reaction to tryptophan""	292300001	2164370019	NA	5	1",
"""2164371015""",UNKNOWN,true,"10	""TJ90B""	""TJ90B00""	""adverse reaction to maprotiline""	292310005	2164371015	NA	5	1",
"""2164372010""",UNKNOWN,true,"100	""TJ90C""	""TJ90C00""	""adverse reaction to mianserin""	292311009	2164372010	NA	5	1",
