code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""AD""",
"""7569""",UNKNOWN,true,"""TJ90.00""	""adverse reaction to antidepressants""	1",
"""17964""",UNKNOWN,true,"""T840z00""	""accidental poisoning by antidepressants nos""	1",
"""23979""",UNKNOWN,true,"""SL90100""	""imipramine poisoning""	1",
"""27112""",UNKNOWN,true,"""44u4.00""	""serum amitriptyline level""	1",
"""31557""",UNKNOWN,true,"""U609200""	""[x]other unspec antidepres caus advers effect in therap use""	1",
"""31558""",UNKNOWN,true,"""SL90000""	""amitriptyline poisoning""	1",
"""33618""",UNKNOWN,true,"""U609000""	""[x]tricyc/tetracyc antidepres caus advers eff therapeut use""	1",
"""34470""",UNKNOWN,true,"""TJ90000""	""adverse reaction to amitriptyline""	1",
"""34703""",UNKNOWN,true,"""U204.12""	""[x]overdose - amitriptyline""	1",
"""38170""",UNKNOWN,true,"""TJ90A00""	""adverse reaction to trimipramine""	1",
"""39808""",UNKNOWN,true,"""TJ90z00""	""adverse reaction to antidepressants nos""	1",
"""44447""",UNKNOWN,true,"""SL90.00""	""antidepressant poisoning""	1",
"""46045""",UNKNOWN,true,"""SL90z00""	""anti-depressant poisoning nos""	1",
"""46280""",UNKNOWN,true,"""U204.11""	""[x]overdose - antidepressant""	1",
"""46796""",UNKNOWN,true,"""U609211""	""[x] adverse reaction to antidepressant""	1",
"""46962""",UNKNOWN,true,"""E258.00""	""nondependent antidepressant type drug abuse""	1",
"""48600""",UNKNOWN,true,"""TJ90700""	""adverse reaction to lofepramine""	1",
"""48620""",UNKNOWN,true,"""U609013""	""[x] adverse reaction to clomipramine""	1",
"""48629""",UNKNOWN,true,"""TJ90200""	""adverse reaction to clomipramine""	1",
"""51064""",UNKNOWN,true,"""U609011""	""[x] adverse reaction to amitriptyline""	1",
"""54911""",UNKNOWN,true,"""U1A4.12""	""[x]accidental poisoning with amitriptyline""	1",
"""55491""",UNKNOWN,true,"""U609015""	""[x] adverse reaction to dosulepin""	1",
"""55631""",UNKNOWN,true,"""U609213""	""[x] adverse reaction to antidepressants nos""	1",
"""55938""",UNKNOWN,true,"""T840100""	""accidental poisoning by imipramine""	1",
"""56411""",UNKNOWN,true,"""44uL.00""	""serum clomipramine level""	1",
"""57673""",UNKNOWN,true,"""U1A4.11""	""[x]accidental poisoning with antidepressant""	1",
"""58944""",UNKNOWN,true,"""TJ90500""	""adverse reaction to doxepin""	1",
"""59697""",UNKNOWN,true,"""TJ90D00""	""adverse reaction to phenelzine""	1",
"""59704""",UNKNOWN,true,"""44u6.00""	""plasma clomipramine level""	1",
"""59712""",UNKNOWN,true,"""46Q4.11""	""imipramine in urine""	1",
"""60117""",UNKNOWN,true,"""TJ90C00""	""adverse reaction to mianserin""	1",
"""61356""",UNKNOWN,true,"""TJ90E00""	""adverse reaction to isocarboxazid""	1",
"""62986""",UNKNOWN,true,"""T840.00""	""accidental poisoning by antidepressants""	1",
"""63082""",UNKNOWN,true,"""T840000""	""accidental poisoning by amitriptyline""	1",
"""63441""",UNKNOWN,true,"""TJ90600""	""adverse reaction to imipramine""	1",
"""63649""",UNKNOWN,true,"""U609018""	""[x] adverse reaction to lofepramine""	1",
"""64162""",UNKNOWN,true,"""SL90300""	""trazodone poisoning""	1",
"""70434""",UNKNOWN,true,"""TJ90800""	""adverse reaction to nortriptyline""	1",
"""71952""",UNKNOWN,true,"""44uP.00""	""serum nortriptyline level""	1",
"""73826""",UNKNOWN,true,"""TJ90B00""	""adverse reaction to maprotiline""	1",
"""73835""",UNKNOWN,true,"""U609016""	""[x] adverse reaction to doxepin""	1",
"""73846""",UNKNOWN,true,"""U60901C""	""[x] adverse reaction to maprotiline""	1",
"""73877""",UNKNOWN,true,"""U609017""	""[x] adverse reaction to imipramine""	1",
"""94436""",UNKNOWN,true,"""E258z00""	""nondependent antidepressant type drug abuse nos""	1",
"""94634""",UNKNOWN,true,"""U609B00""	""[x]sertraline adverse reaction""	1",
"""94767""",UNKNOWN,true,"""U609A00""	""[x]fluoxetine adverse reaction""	1",
"""96878""",UNKNOWN,true,"""TJ90H00""	""adverse reaction to tryptophan""	1",
"""97532""",UNKNOWN,true,"""U609212""	""[x] adverse reaction to tryptophan""	1",
"""98958""",UNKNOWN,true,"""46Q4.00""	""urine imipramine""	1",
"""99798""",UNKNOWN,true,"""1TC..00""	""h/o anti-depressant misuse""	1",
"""99823""",UNKNOWN,true,"""U609019""	""[x] adverse reaction to nortriptyline""	1",
"""100179""",UNKNOWN,true,"""665A000""	""antidepressant drug treatment stopped""	1",
"""101635""",UNKNOWN,true,"""44uk.00""	""fluoxetine level""	1",
"""102632""",UNKNOWN,true,"""6659000""	""antidepressant drug treatment started""	1",
"""103881""",UNKNOWN,true,"""1TC0.00""	""h/o daily anti-depressant misuse""	1",
"""106143""",UNKNOWN,true,"""1TC3.00""	""previous history of anti-depressant misuse""	1",
"""108741""",UNKNOWN,true,"""6658000""	""antidepressant drug treatment changed""	1",
"""110943""",UNKNOWN,true,"""8I2v.00""	""tricyclic antidepressant contraindicated""	1",
"""111569""",UNKNOWN,true,"""U60901D""	""[x] adverse reaction to mianserin""	1",
"""112435""",UNKNOWN,true,"""44vN.00""	""serum imipramine concentration""	1",
"""113158""",UNKNOWN,true,"""U609111""	""[x] adverse reaction to phenelzine""	1",
"""113345""",UNKNOWN,true,"""E258200""	""nondependent antidepressant type drug abuse, episodic""	1",
"""113793""",UNKNOWN,true,"""E258000""	""nondependent antidepressant type drug abuse, unspecified""	1",
"""114565""",UNKNOWN,true,"""44ui.00""	""norclomipramine level""	1",
"""115583""",UNKNOWN,true,"""U60901B""	""[x] adverse reaction to trimipramine""	1",
"""115652""",UNKNOWN,true,"""C30A.00""	""tryptophan malabsorption syndrome""	1",
"""116072""",UNKNOWN,true,"""44ui000""	""serum norclomipramine level""	1",
