code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""4525015""",UNKNOWN,true,"""alcoholic gastritis""	""Aurum""",
"""12878014""",UNKNOWN,true,"""alcoholism""	""Aurum""",
"""14103017""",UNKNOWN,true,"""alcohol-induced polyneuropathy""	""Aurum""",
"""15243013""",UNKNOWN,true,"""alcohol withdrawal delirium""	""Aurum""",
"""17390014""",UNKNOWN,true,"""acute alcoholic hepatitis""	""Aurum""",
"""73012011""",UNKNOWN,true,"""moderate drinker""	""Aurum""",
"""83834016""",UNKNOWN,true,"""alcoholic fatty liver""	""Aurum""",
"""106878015""",UNKNOWN,true,"""alcohol detoxification""	""Aurum""",
"""110629012""",UNKNOWN,true,"""chronic alcoholism""	""Aurum""",
"""138527014""",UNKNOWN,true,"""alcoholic cardiomyopathy""	""Aurum""",
"""144179014""",UNKNOWN,true,"""heavy drinker""	""Aurum""",
"""216585018""",UNKNOWN,true,"""under care of community alcohol team""	""Aurum""",
"""250313014""",UNKNOWN,true,"""moderate drinker - 3-6u/day""	""Aurum""",
"""250314015""",UNKNOWN,true,"""heavy drinker - 7-9u/day""	""Aurum""",
"""250316018""",UNKNOWN,true,"""very heavy drinker - >9u/day""	""Aurum""",
"""250323017""",UNKNOWN,true,"""ex-moderate drinker - (3-6u/d)""	""Aurum""",
"""250324011""",UNKNOWN,true,"""ex-heavy drinker - (7-9u/day)""	""Aurum""",
"""250329018""",UNKNOWN,true,"""ex-very heavy drinker-(>9u/d)""	""Aurum""",
"""251195015""",UNKNOWN,true,"""alcoholics anonymous""	""Aurum""",
"""251626014""",UNKNOWN,true,"""h/o: alcoholism""	""Aurum""",
"""254305017""",UNKNOWN,true,"""o/e - breath - alcohol smell""	""Aurum""",
"""254306016""",UNKNOWN,true,"""o/e - alcoholic breath""	""Aurum""",
"""283028013""",UNKNOWN,true,"""alcohol leaflet given""	""Aurum""",
"""283451018""",UNKNOWN,true,"""aversion therapy - alcoholism""	""Aurum""",
"""283559019""",UNKNOWN,true,"""admitted to alcohol detoxification centre""	""Aurum""",
"""294662017""",UNKNOWN,true,"""korsakov's alcoholic psychosis with peripheral neuritis""	""Aurum""",
"""294664016""",UNKNOWN,true,"""alcohol amnestic syndrome nos""	""Aurum""",
"""294668018""",UNKNOWN,true,"""chronic alcoholic brain syndrome""	""Aurum""",
"""294669014""",UNKNOWN,true,"""alcohol withdrawal hallucinosis""	""Aurum""",
"""294671014""",UNKNOWN,true,"""pathological alcohol intoxication""	""Aurum""",
"""294672019""",UNKNOWN,true,"""alcoholic paranoia""	""Aurum""",
"""294673012""",UNKNOWN,true,"""other alcoholic psychosis""	""Aurum""",
"""294674018""",UNKNOWN,true,"""alcohol withdrawal syndrome""	""Aurum""",
"""294675017""",UNKNOWN,true,"""other alcoholic psychosis nos""	""Aurum""",
"""294676016""",UNKNOWN,true,"""alcoholic psychosis nos""	""Aurum""",
"""295126010""",UNKNOWN,true,"""alcohol dependence with acute alcoholic intoxication""	""Aurum""",
"""295127018""",UNKNOWN,true,"""acute alcoholic intoxication in alcoholism""	""Aurum""",
"""295128011""",UNKNOWN,true,"""acute alcoholic intoxication, unspecified, in alcoholism""	""Aurum""",
"""295129015""",UNKNOWN,true,"""continuous acute alcoholic intoxication in alcoholism""	""Aurum""",
"""295130013""",UNKNOWN,true,"""episodic acute alcoholic intoxication in alcoholism""	""Aurum""",
"""295131012""",UNKNOWN,true,"""acute alcoholic intoxication in remission, in alcoholism""	""Aurum""",
"""295132017""",UNKNOWN,true,"""acute alcoholic intoxication in alcoholism nos""	""Aurum""",
"""295136019""",UNKNOWN,true,"""alcohol dependence""	""Aurum""",
"""295139014""",UNKNOWN,true,"""continuous chronic alcoholism""	""Aurum""",
"""295141010""",UNKNOWN,true,"""episodic chronic alcoholism""	""Aurum""",
"""295142015""",UNKNOWN,true,"""chronic alcoholism in remission""	""Aurum""",
"""295143013""",UNKNOWN,true,"""chronic alcoholism nos""	""Aurum""",
"""295144019""",UNKNOWN,true,"""alcohol dependence syndrome nos""	""Aurum""",
"""295251015""",UNKNOWN,true,"""nondependent alcohol abuse, unspecified""	""Aurum""",
"""295252010""",UNKNOWN,true,"""nondependent alcohol abuse, continuous""	""Aurum""",
"""295253017""",UNKNOWN,true,"""nondependent alcohol abuse, episodic""	""Aurum""",
"""295254011""",UNKNOWN,true,"""nondependent alcohol abuse in remission""	""Aurum""",
"""295255012""",UNKNOWN,true,"""nondependent alcohol abuse nos""	""Aurum""",
"""295765017""",UNKNOWN,true,"""alcohol-induced organic mental disorder""	""Aurum""",
"""297011014""",UNKNOWN,true,"""alcoholic encephalopathy""	""Aurum""",
"""303399018""",UNKNOWN,true,"""alcoholic liver damage""	""Aurum""",
"""324466015""",UNKNOWN,true,"""grain alcohol causing toxic effect""	""Aurum""",
"""324467012""",UNKNOWN,true,"""ethyl alcohol causing toxic effect nos""	""Aurum""",
"""324488015""",UNKNOWN,true,"""other alcohol causing toxic effect""	""Aurum""",
"""324489011""",UNKNOWN,true,"""alcohol causing toxic effect nos""	""Aurum""",
"""325596018""",UNKNOWN,true,"""toxic effect of alcohol""	""Aurum""",
"""342322012""",UNKNOWN,true,"""very heavy drinker""	""Aurum""",
"""342361016""",UNKNOWN,true,"""drinks in morning to get rid of hangover""	""Aurum""",
"""342366014""",UNKNOWN,true,"""binge drinker""	""Aurum""",
"""342421016""",UNKNOWN,true,"""feels should cut down drinking""	""Aurum""",
"""346929012""",UNKNOWN,true,"""alcoholic dementia""	""Aurum""",
"""353587018""",UNKNOWN,true,"""alcoholic hepatitis""	""Aurum""",
"""353594015""",UNKNOWN,true,"""alcoholic fibrosis and sclerosis of liver""	""Aurum""",
"""353595019""",UNKNOWN,true,"""alcoholic hepatic failure""	""Aurum""",
"""353687012""",UNKNOWN,true,"""alcohol-induced acute pancreatitis""	""Aurum""",
"""353698013""",UNKNOWN,true,"""alcohol-induced chronic pancreatitis""	""Aurum""",
"""356292013""",UNKNOWN,true,"""alcohol-induced pseudo-cushing's syndrome""	""Aurum""",
"""401760017""",UNKNOWN,true,"""other alcoholic dementia""	""Aurum""",
"""401797010""",UNKNOWN,true,"""nondependent alcohol abuse""	""Aurum""",
"""451124014""",UNKNOWN,true,"""chronic alcoholic hepatitis""	""Aurum""",
"""453265010""",UNKNOWN,true,"""oesophageal varices in alcoholic cirrhosis of the liver""	""Aurum""",
"""460276013""",UNKNOWN,true,"""[v]personal history of alcoholism""	""Aurum""",
"""460926018""",UNKNOWN,true,"""[v]alcohol rehabilitation""	""Aurum""",
"""461112017""",UNKNOWN,true,"""alcoholism counselling""	""Aurum""",
"""478024019""",UNKNOWN,true,"""alcohol-induced epilepsy""	""Aurum""",
"""478046010""",UNKNOWN,true,"""cerebellar ataxia due to alcoholism""	""Aurum""",
"""500478011""",UNKNOWN,true,"""alcohol dependence syndrome""	""Aurum""",
"""500729017""",UNKNOWN,true,"""alcohol causing toxic effect""	""Aurum""",
"""502017010""",UNKNOWN,true,"""alcohol problem drinking""	""Aurum""",
"""1225183017""",UNKNOWN,true,"""alcohol deterrent poisoning""	""Aurum""",
"""1227802010""",UNKNOWN,true,"""[v]medicolegal blood alcohol test""	""Aurum""",
"""1484890014""",UNKNOWN,true,"""referral to community alcohol team""	""Aurum""",
"""2474678017""",UNKNOWN,true,"""alcohol disorder monitoring""	""Aurum""",
"""2549646014""",UNKNOWN,true,"""referral to community drug and alcohol team""	""Aurum""",
"""2549849017""",UNKNOWN,true,"""alcohol induced hallucinations""	""Aurum""",
"""117761000006116""",UNKNOWN,true,"""denies alcohol abuse""	""Aurum""",
"""223671000000110""",UNKNOWN,true,"""hangover from alcohol""	""Aurum""",
"""226571000000116""",UNKNOWN,true,"""alcohol misuse enhanced service completed""	""Aurum""",
"""236441000000113""",UNKNOWN,true,"""alcohol misuse enhanced services administration""	""Aurum""",
"""315091000000117""",UNKNOWN,true,"""alcohol withdrawal-induced seizure""	""Aurum""",
"""362251000006117""",UNKNOWN,true,"""alcohol intoxication""	""Aurum""",
"""362921000006118""",UNKNOWN,true,"""[x]alcohol addiction""	""Aurum""",
"""362931000006115""",UNKNOWN,true,"""[x]alcohol deterrents caus adverse effects in therapeut use""	""Aurum""",
"""362941000006113""",UNKNOWN,true,"""[x]alcoholic dementia nos""	""Aurum""",
"""362951000006110""",UNKNOWN,true,"""alcoholic hallucinosis""	""Aurum""",
"""362961000006112""",UNKNOWN,true,"""[x]alcoholic jealousy""	""Aurum""",
"""362971000006117""",UNKNOWN,true,"""[x]alcoholic paranoia""	""Aurum""",
"""362981000006119""",UNKNOWN,true,"""[x]alcoholic psychosis nos""	""Aurum""",
"""370961000006119""",UNKNOWN,true,"""[x]chronic alcoholic brain syndrome""	""Aurum""",
"""370971000006114""",UNKNOWN,true,"""[x]chronic alcoholism""	""Aurum""",
"""371501000000110""",UNKNOWN,true,"""delivery of rehabilitation for alcohol addiction""	""Aurum""",
"""376451000006113""",UNKNOWN,true,"""[x]delirium tremens, alcohol induced""	""Aurum""",
"""380031000006116""",UNKNOWN,true,"""[x]evid of alcohol involv determind by level of intoxication""	""Aurum""",
"""380081000006115""",UNKNOWN,true,"""finding of alcohol in blood""	""Aurum""",
"""391351000006115""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area""	""Aurum""",
"""391501000006112""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area""	""Aurum""",
"""391511000006110""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at other specified place""	""Aurum""",
"""391521000006119""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area""	""Aurum""",
"""391941000006118""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at home""	""Aurum""",
"""391951000006116""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence on farm""	""Aurum""",
"""393311000006117""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence on street and highway""	""Aurum""",
"""393321000006113""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at trade and service area""	""Aurum""",
"""393591000006118""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence in residential institution""	""Aurum""",
"""393601000006114""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at unspecified place""	""Aurum""",
"""393861000006111""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol""	""Aurum""",
"""397241000006119""",UNKNOWN,true,"""[x]men & behav dis due to use alcohol: oth men & behav dis""	""Aurum""",
"""397431000006111""",UNKNOWN,true,"""[x]ment & behav dis due use alcohol: unsp ment & behav dis""	""Aurum""",
"""397611000006115""",UNKNOWN,true,"""[x]mental & behav dis due to use alcohol: acute intoxication""	""Aurum""",
"""397621000006111""",UNKNOWN,true,"""alcohol-induced psychosis""	""Aurum""",
"""397791000006118""",UNKNOWN,true,"""alcohol amnestic disorder""	""Aurum""",
"""397801000006117""",UNKNOWN,true,"""[x]mental and behav dis due to use alcohol: dependence syndr""	""Aurum""",
"""397811000006119""",UNKNOWN,true,"""[x]mental and behav dis due to use alcohol: withdrawal state""	""Aurum""",
"""397881000006114""",UNKNOWN,true,"""alcohol abuse""	""Aurum""",
"""405461000000114""",UNKNOWN,true,"""alcohol abuse monitoring""	""Aurum""",
"""421381000006110""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at other specified place, undetermined intent""	""Aurum""",
"""421521000006118""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence on street and highway, undetermined intent""	""Aurum""",
"""421531000006115""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at trade and service area, undetermined intent""	""Aurum""",
"""421791000006112""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence in residential institution, undetermined intent""	""Aurum""",
"""421801000006113""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at unspecified place, undetermined intent""	""Aurum""",
"""422121000006117""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at home, undetermined intent""	""Aurum""",
"""422131000006119""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence on farm, undetermined intent""	""Aurum""",
"""422381000006116""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at industrial and construction area, undetermined intent""	""Aurum""",
"""422801000006118""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, undetermined intent""	""Aurum""",
"""464381000006118""",UNKNOWN,true,"""alcohol metabolism modifier adverse reaction""	""Aurum""",
"""476361000006114""",UNKNOWN,true,"""alcohol amnestic syndrome""	""Aurum""",
"""476611000006116""",UNKNOWN,true,"""alcoholic cirrhosis of liver""	""Aurum""",
"""476701000006114""",UNKNOWN,true,"""alcohol myopathy""	""Aurum""",
"""476741000006111""",UNKNOWN,true,"""alcohol-induced psychosis""	""Aurum""",
"""480271000000113""",UNKNOWN,true,"""disqualified from driving due to excess alcohol""	""Aurum""",
"""542611000006114""",UNKNOWN,true,"""cerebral degeneration due to alcoholism""	""Aurum""",
"""606991000000117""",UNKNOWN,true,"""alcohol misuse""	""Aurum""",
"""622961000000116""",UNKNOWN,true,"""referral to specialist alcohol treatment service""	""Aurum""",
"""649311000006115""",UNKNOWN,true,"""toxic effect of ethyl alcohol""	""Aurum""",
"""739501000000112""",UNKNOWN,true,"""advised to contact primary care alcohol worker""	""Aurum""",
"""740641000000115""",UNKNOWN,true,"""referral to alcohol brief intervention service""	""Aurum""",
"""750531000000113""",UNKNOWN,true,"""declined referral to specialist alcohol treatment service""	""Aurum""",
