code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""38536""",UNKNOWN,true,"17	""Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes""	""Fondaparinux""	""5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""31937""",UNKNOWN,true,"4841	""Warfarin 5mg tablets (Teva UK Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""16530""",UNKNOWN,true,"10865	""Fragmin 12,500units/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""56398""",UNKNOWN,true,"2	""Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Mawdsley-Brooks & Company Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""33558""",UNKNOWN,true,"1	""Monoparin calcium 5,000units/0.2ml solution for injection ampoules (Wockhardt UK Ltd)""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Heparin""",
"""72120""",UNKNOWN,true,"8	""Lixiana 15mg tablets (Daiichi Sankyo UK Ltd)""	""Edoxaban""	""15mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Edoxaban""",
"""66570""",UNKNOWN,true,"0	""Warfarin 1mg tablets (Waymade Healthcare Plc)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""17592""",UNKNOWN,true,"547	""Innohep 4,500units/0.45ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""44866""",UNKNOWN,true,"448	""Warfarin sodium 1mg/ml oral supension SF""	""Warfarin""	""1mg/ml""	""Oral Suspension Sugar-Free""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""62309""",UNKNOWN,true,"0	""Warfarin 500microgram tablets (Kent Pharma (UK) Ltd)""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""9140""",UNKNOWN,true,"1175	""Dalteparin sodium 10,000units/4ml solution for injection ampoules""	""Dalteparin""	""2500unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""70866""",UNKNOWN,true,"6433	""Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""58594""",UNKNOWN,true,"1650	""Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)""	""Apixaban""	""5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""42853""",UNKNOWN,true,"20	""Heparin calcium 25,000iu/ml Injection""	""Heparin""	""25,000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""63440""",UNKNOWN,true,"3	""Epoprostenol 500microgram powder and solvent (pH10.5) for solution for infusion vials""	""Epoprostenol""	""500microgram""	""Powder and solvent for solution for infusion""	""Intravenous""	""Antifibrotics""	""Epoprostenol""",
"""34417""",UNKNOWN,true,"14725	""Warfarin 3mg tablets (Teva UK Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""56640""",UNKNOWN,true,"740	""Xarelto 15mg tablets (Bayer Plc)""	""Rivaroxaban""	""15mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""10194""",UNKNOWN,true,"21152	""Dalteparin sodium 12,500units/0.5ml solution for injection pre-filled syringes""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""3895""",UNKNOWN,true,"359	""Heparin sodium 1000iu/ml Injection""	""Heparin""	""1000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
