code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antidiabetic""	""group""",
"""7341000033112""",UNKNOWN,true,"""Actrapid Mc  Injection  100 units/1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""9641000033112""",UNKNOWN,true,"""Human Actrapid  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""11441000033114""",UNKNOWN,true,"""Acarbose 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Acarbose""	""100.000mg""	""06010203""	""Acarbose""	""Other""",
"""11541000033110""",UNKNOWN,true,"""Acarbose 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Acarbose""	""50.000mg""	""06010203""	""Acarbose""	""Other""",
"""58841000033113""",UNKNOWN,true,"""Amaryl 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""2.000mg""	NA	""Glimepiride""	""Sulfonylureas""",
"""59541000033116""",UNKNOWN,true,"""Amaryl 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""1.000mg""	NA	""Glimepiride""	""Sulfonylureas""",
"""59641000033115""",UNKNOWN,true,"""Amaryl 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""3.000mg""	NA	""Glimepiride""	""Sulfonylureas""",
"""59741000033112""",UNKNOWN,true,"""Amaryl 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""4.000mg""	NA	""Glimepiride""	""Sulfonylureas""",
"""148841000033116""",UNKNOWN,true,"""Biphasic Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""249441000033114""",UNKNOWN,true,"""Chlorpropamide 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpropamide""	""100.000mg""	""06010201""	""Chlorpropamide""	""Sulfonylureas""",
"""249541000033110""",UNKNOWN,true,"""Chlorpropamide 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpropamide""	""250.000mg""	""06010201""	""Chlorpropamide""	""Sulfonylureas""",
"""266641000033113""",UNKNOWN,true,"""Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""266741000033116""",UNKNOWN,true,"""Clinipak  Disposable insulin syringe with needle  1 ml, 30g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""406741000033116""",UNKNOWN,true,"""Daonil  Tablets  2.5 mg""	""Tablet""	""Oral""	""Glibenclamide""	NA	NA	""Glibenclamide""	""Sulfonylureas""",
