code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Antidiabetic""	""group""",
"""56857""",UNKNOWN,true,"""Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""15unit/1ml + 85unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""10547""",UNKNOWN,true,"""Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Unknown""	""Insulin""	""Insulin""",
"""77498""",UNKNOWN,true,"""Gliclazide 160mg tablets""	""Oral tablet""	""Oral""	""Gliclazide""	""160mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""9363""",UNKNOWN,true,"""U100 Insulin syringe 0.5ml""	""Insulin Syringe""	NA	""Insulin""	""0.5ml""	""Diabetic Hypodermic Equipment""	""Insulin""	""Insulin""",
"""56656""",UNKNOWN,true,"""Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use""	""Insulin""	""Insulin""",
"""88756""",UNKNOWN,true,"""Trurapi 100units/ml solution for injection 3ml cartridges (Sanofi)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""2219""",UNKNOWN,true,"""Glibenclamide 2.5mg tablets""	""Oral tablet""	""Oral""	""Glibenclamide""	""2.5mg""	""Sulphonylureas""	""Glibenclamide""	""Sulfonylureas""",
"""90067""",UNKNOWN,true,"""Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Spirit Healthcare Ltd)""	""Suppository""	""Rectal""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""54629""",UNKNOWN,true,"""Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd)""	""Suppository""	""Rectal""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""36031""",UNKNOWN,true,"""Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous/Intramuscular""	""Insulin""	""30unit/1ml + 70unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""56879""",UNKNOWN,true,"""HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Reusable Pens""	""Insulin""	""Insulin""",
"""59500""",UNKNOWN,true,"""Insulin isophane human 100units/ml suspension for injection 5ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""62034""",UNKNOWN,true,"""Laaglyda MR 60mg tablets (Krka UK Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""60mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""11695""",UNKNOWN,true,"""Diamicron 30mg MR tablets (Servier Laboratories Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""7912""",UNKNOWN,true,"""Semi-Daonil 2.5mg tablets (Sanofi)""	""Oral tablet""	""Oral""	""Glibenclamide""	""2.5mg""	""Sulphonylureas""	""Glibenclamide""	""Sulfonylureas""",
"""2808""",UNKNOWN,true,"""INSULIN LENTARD INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""15040""",UNKNOWN,true,"""INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""43684""",UNKNOWN,true,"""Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)""	""Oral tablet""	""Oral""	""Sitagliptin/Metformin""	""1gram + 50mg""	""Gliptins Plus Metformin""	""Sitagliptin/Metformin""	""DPP-4is, Metformin""",
"""7400""",UNKNOWN,true,"""Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""1588""",UNKNOWN,true,"""Actrapid 100iu/ml Injection (Novo Nordisk Ltd)""	""Injection""	""Subcutaneous Injection""	""Insulin""	""100iu/ml""	""Short-Acting Insulins/Diabetic Ketoacidosis""	""Insulin""	""Insulin""",
"""41120""",UNKNOWN,true,"""Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""50unit/1ml + 50unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""73718""",UNKNOWN,true,"""4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""68939""",UNKNOWN,true,"""PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Prosum Medical Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""85047""",UNKNOWN,true,"""Metformin 1g modified-release tablets (Medihealth (Northern) Ltd)""	""Modified-release tablet""	""Oral""	""Metformin""	""1gram""	""Biguanides (Metformin)""	""Metformin""	""Metformin""",
"""22945""",UNKNOWN,true,"""Insuman rapid 100iu/ml Injection (Aventis Pharma)""	""Injection""	""Subcutaneous Injection""	""Insulin""	""100iu/ml""	""Short-Acting Insulins/Diabetic Ketoacidosis""	""Insulin""	""Insulin""",
"""30861""",UNKNOWN,true,"""INSULIN ZINC HUMAN SUSPENSION""	NA	NA	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""69540""",UNKNOWN,true,"""Saxagliptin 5mg / Dapagliflozin 10mg tablets""	""Oral tablet""	""Oral""	""Saxagliptin/Dapagliflozin""	""10mg + 5mg""	""Gliflozins Plus Gliptins""	""Saxagliptin/Dapagliflozin""	""DPP-4is, SGLT-2is""",
"""89568""",UNKNOWN,true,"""Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""2.27mg/1ml""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""	""GLP-1RAs""",
"""36853""",UNKNOWN,true,"""Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""30316""",UNKNOWN,true,"""Metformin with pioglitazone 850mg + 15mg Tablet""	""Tablet""	""Oral""	""Metformin/Pioglitazone""	""850mg + 15mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin/Pioglitazone""	""Metformin, Other""",
"""63726""",UNKNOWN,true,"""NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Novo Nordisk Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Reusable Pens""	""Insulin""	""Insulin""",
"""34957""",UNKNOWN,true,"""Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Tolbutamide""	""500mg""	""Sulphonylureas""	""Tolbutamide""	""Sulfonylureas""",
"""45045""",UNKNOWN,true,"""NovoTwist hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Novo Nordisk Ltd)""	""Hypodermic Needle""	NA	""Insulin""	""5mm/32 gauge""	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
