code,code_system,include,term,notes
prodcode,UNKNOWN,true,productname,
56857,UNKNOWN,true,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges,
10547,UNKNOWN,true,Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),
77498,UNKNOWN,true,Gliclazide 160mg tablets,
9363,UNKNOWN,true,U100 Insulin syringe 0.5ml,
56656,UNKNOWN,true,Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd),
88756,UNKNOWN,true,Trurapi 100units/ml solution for injection 3ml cartridges (Sanofi),
2219,UNKNOWN,true,Glibenclamide 2.5mg tablets,
90067,UNKNOWN,true,Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Spirit Healthcare Ltd),
54629,UNKNOWN,true,Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd),
36031,UNKNOWN,true,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges,
56879,UNKNOWN,true,HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd),
59500,UNKNOWN,true,Insulin isophane human 100units/ml suspension for injection 5ml vials,
62034,UNKNOWN,true,Laaglyda MR 60mg tablets (Krka UK Ltd),
11695,UNKNOWN,true,Diamicron 30mg MR tablets (Servier Laboratories Ltd),
7912,UNKNOWN,true,Semi-Daonil 2.5mg tablets (Sanofi),
2808,UNKNOWN,true,INSULIN LENTARD INJ,
15040,UNKNOWN,true,INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ,
43684,UNKNOWN,true,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd),
7400,UNKNOWN,true,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,
1588,UNKNOWN,true,Actrapid 100iu/ml Injection (Novo Nordisk Ltd),
41120,UNKNOWN,true,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,
73718,UNKNOWN,true,4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd),
68939,UNKNOWN,true,PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Prosum Medical Ltd),
85047,UNKNOWN,true,Metformin 1g modified-release tablets (Medihealth (Northern) Ltd),
22945,UNKNOWN,true,Insuman rapid 100iu/ml Injection (Aventis Pharma),
30861,UNKNOWN,true,INSULIN ZINC HUMAN SUSPENSION,
69540,UNKNOWN,true,Saxagliptin 5mg / Dapagliflozin 10mg tablets,
89568,UNKNOWN,true,Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices,
36853,UNKNOWN,true,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),
30316,UNKNOWN,true,Metformin with pioglitazone 850mg + 15mg Tablet,
63726,UNKNOWN,true,NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Novo Nordisk Ltd),
34957,UNKNOWN,true,Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd),
45045,UNKNOWN,true,NovoTwist hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Novo Nordisk Ltd),
85931,UNKNOWN,true,Trurapi 100units/ml solution for injection 3ml pre-filled Solostar pens (Sanofi),
