code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antipsychotic""",
"""58941000033117""",UNKNOWN,true,"""Amisulpride 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""200.000mg""	""04020100""	""Amisulpride""",
"""59041000033114""",UNKNOWN,true,"""Amisulpride 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""50.000mg""	""04020100""	""Amisulpride""",
"""69041000033115""",UNKNOWN,true,"""Anquil 250microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Benperidol""	""250.000microgram""	NA	""Benperidol""",
"""145141000033119""",UNKNOWN,true,"""Benperidol 250microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""04020100""	""Benperidol""",
"""173841000033113""",UNKNOWN,true,"""Buccastem 3mg tablets""	""Buccal tablet""	""Buccal""	""Prochlorperazine""	""3.000mg""	NA	""Prochlorperazine""",
"""240041000033110""",UNKNOWN,true,"""Chlorpromazine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Chlorpromazine""	""5.000mg/1.000ml""	""04020100""	""Chlorpromazine""",
"""241341000033116""",UNKNOWN,true,"""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	""25.000mg/1.000ml""	""04020100""	""Chlorpromazine""",
"""242241000033115""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  100 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	NA	""Chlorpromazine""",
"""242341000033113""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  25 mg/ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	NA	""Chlorpromazine""",
"""246541000033119""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Suppositories  100 mg""	""Suppository""	""Rectal""	""Chlorpromazine""	NA	NA	""Chlorpromazine""",
