code,code_system,include,term,notes
"""ProdCodeId""",UNKNOWN,true,"""dmdid""	""Term.from.EMIS""	""ProductName""	""Formulation""	""RouteOfAdministration""	""DrugSubstanceName""	""SubstanceStrength""	""BNFChapter""	""DrugIssues""	""Gen""	""AP""",
"""58941000033117""",UNKNOWN,true,"321638002	""Amisulpride 200mg tablets""	""Amisulpride 200mg tablets""	""Tablet""	""Oral""	""Amisulpride""	""200.000mg""	""4020100""	700000	2	""Amisulpride""",
"""59041000033114""",UNKNOWN,true,"321637007	""Amisulpride 50mg tablets""	""Amisulpride 50mg tablets""	""Tablet""	""Oral""	""Amisulpride""	""50.000mg""	""4020100""	600000	2	""Amisulpride""",
"""69041000033115""",UNKNOWN,true,"9483411000001104	""Anquil 250microgram tablets (Neon Healthcare Ltd)""	""Anquil 250microgram tablets""	""Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""4020100""	2000	1	""Benperidol""",
"""145141000033119""",UNKNOWN,true,"321393004	""Benperidol 250microgram tablets""	""Benperidol 250microgram tablets""	""Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""4020100""	50000	1	""Benperidol""",
"""173841000033113""",UNKNOWN,true,"920911000001101	""Buccastem 3mg tablets (Alliance Pharmaceuticals Ltd)""	""Buccastem 3mg tablets""	""Buccal tablet""	""Buccal""	""Prochlorperazine maleate""	""3.000mg""	""4060000""	400000	1	""Prochlorperazine""",
"""213841000033116""",UNKNOWN,true,"879511000001105	""Camcolit 250 tablets (Essential Pharma Ltd)""	""Camcolit 250 tablets""	""Tablet""	""Oral""	""Lithium carbonate""	""250.000mg""	""4020300""	70000	3	""Lithium""",
"""215541000033117""",UNKNOWN,true,"250211000001105	""Camcolit 400 modified-release tablets (Essential Pharma Ltd)""	""Camcolit 400 modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium carbonate""	""400.000mg""	""4020300""	100000	3	""Lithium""",
"""240041000033110""",UNKNOWN,true,"36138311000001104	""Chlorpromazine 25mg/5ml oral solution""	""Chlorpromazine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Chlorpromazine hydrochloride""	""5.000mg/1.000ml""	""""	100000	1	""Chlorpromazine""",
"""241341000033116""",UNKNOWN,true,"36138411000001104	""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine hydrochloride""	""25.000mg/1.000ml""	""4060000""	1000	1	""Chlorpromazine""",
"""242241000033115""",UNKNOWN,true,"NA	""Chlorpromazine Hydrochloride Injection 100 mg/5 ml""	""""	""""	""""	""""	""""	""""	300	1	""Chlorpromazine""",
"""242341000033113""",UNKNOWN,true,"NA	""Chlorpromazine Hydrochloride Injection 25 mg/ml""	""""	""""	""""	""""	""""	""""	1000	1	""Chlorpromazine""",
"""246541000033119""",UNKNOWN,true,"NA	""Chlorpromazine Hydrochloride Suppositories 100 mg""	""""	""""	""""	""""	""""	""""	400	1	""Chlorpromazine""",
"""246641000033118""",UNKNOWN,true,"36137911000001104	""Chlorpromazine 100mg/5ml oral suspension sugar free""	""Chlorpromazine 100mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Chlorpromazine embonate""	""20.000mg/1.000ml""	""""	10000	1	""Chlorpromazine""",
"""249041000033117""",UNKNOWN,true,"321365003	""Chlorpromazine 10mg tablets""	""Chlorpromazine 10mg tablets""	""Tablet""	""Oral""	""Chlorpromazine hydrochloride""	""10.000mg""	""4060000""	100000	1	""Chlorpromazine""",
"""249141000033118""",UNKNOWN,true,"321368001	""Chlorpromazine 100mg tablets""	""Chlorpromazine 100mg tablets""	""Tablet""	""Oral""	""Chlorpromazine hydrochloride""	""100.000mg""	""4060000""	600000	1	""Chlorpromazine""",
"""249241000033113""",UNKNOWN,true,"321366002	""Chlorpromazine 25mg tablets""	""Chlorpromazine 25mg tablets""	""Tablet""	""Oral""	""Chlorpromazine hydrochloride""	""25.000mg""	""4060000""	1000000	1	""Chlorpromazine""",
"""249341000033115""",UNKNOWN,true,"321367006	""Chlorpromazine 50mg tablets""	""Chlorpromazine 50mg tablets""	""Tablet""	""Oral""	""Chlorpromazine hydrochloride""	""50.000mg""	""4060000""	1000000	1	""Chlorpromazine""",
"""273641000033114""",UNKNOWN,true,"4129911000001100	""Clopixol Acuphase 50mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Clopixol Acuphase 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol acetate""	""50.000mg/1.000ml""	""4020100""	700	1	""Zuclopenthixol""",
"""274841000033112""",UNKNOWN,true,"4130411000001101	""Clopixol Acuphase 100mg/2ml solution for injection ampoules (Lundbeck Ltd)""	""Clopixol Acuphase 100mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol acetate""	""50.000mg/1.000ml""	""4020100""	600	1	""Zuclopenthixol""",
"""276041000033113""",UNKNOWN,true,"178611000001106	""Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Clopixol 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol decanoate""	""200.000mg/1.000ml""	""4020200""	100000	1	""Zuclopenthixol""",
"""276141000033112""",UNKNOWN,true,"32911000001106	""Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Clopixol Conc 500mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol decanoate""	""500.000mg/1.000ml""	""4020200""	40000	1	""Zuclopenthixol""",
"""284941000033113""",UNKNOWN,true,"3830311000001101	""Clozaril 25mg tablets (Viatris UK Healthcare Ltd)""	""Clozaril 25mg tablets""	""Tablet""	""Oral""	""Clozapine""	""25.000mg""	""4020100""	2000	2	""Clozapine""",
"""285041000033113""",UNKNOWN,true,"3832011000001100	""Clozaril 100mg tablets (Viatris UK Healthcare Ltd)""	""Clozaril 100mg tablets""	""Tablet""	""Oral""	""Clozapine""	""100.000mg""	""4020100""	4000	2	""Clozapine""",
"""286941000033115""",UNKNOWN,true,"827511000001102	""Clopixol 10mg tablets (Lundbeck Ltd)""	""Clopixol 10mg tablets""	""Tablet""	""Oral""	""Zuclopenthixol dihydrochloride""	""10.000mg""	""4020100""	80000	1	""Zuclopenthixol""",
"""287041000033119""",UNKNOWN,true,"153611000001101	""Clopixol 2mg tablets (Lundbeck Ltd)""	""Clopixol 2mg tablets""	""Tablet""	""Oral""	""Zuclopenthixol dihydrochloride""	""2.000mg""	""4020100""	60000	1	""Zuclopenthixol""",
"""287141000033115""",UNKNOWN,true,"618211000001102	""Clopixol 25mg tablets (Lundbeck Ltd)""	""Clopixol 25mg tablets""	""Tablet""	""Oral""	""Zuclopenthixol dihydrochloride""	""25.000mg""	""4020100""	20000	1	""Zuclopenthixol""",
"""287541000033112""",UNKNOWN,true,"321574000	""Clozapine 100mg tablets""	""Clozapine 100mg tablets""	""Tablet""	""Oral""	""Clozapine""	""100.000mg""	""4020100""	50000	2	""Clozapine""",
"""287641000033113""",UNKNOWN,true,"321573006	""Clozapine 25mg tablets""	""Clozapine 25mg tablets""	""Tablet""	""Oral""	""Clozapine""	""25.000mg""	""4020100""	30000	2	""Clozapine""",
"""419941000033113""",UNKNOWN,true,"3104011000001105	""Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Depixol Low Volume 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol decanoate""	""200.000mg/1.000ml""	""4020200""	20000	1	""Flupentixol""",
"""420141000033110""",UNKNOWN,true,"3102111000001103	""Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)""	""Depixol 40mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol decanoate""	""20.000mg/1.000ml""	""4020200""	90000	1	""Flupentixol""",
"""420441000033119""",UNKNOWN,true,"3100711000001101	""Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)""	""Depixol Conc 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol decanoate""	""100.000mg/1.000ml""	""4020200""	20000	1	""Flupentixol""",
"""422941000033113""",UNKNOWN,true,"3102911000001100	""Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Depixol 20mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol decanoate""	""20.000mg/1.000ml""	""4020100""	100000	1	""Flupentixol""",
"""423041000033115""",UNKNOWN,true,"3101311000001105	""Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Depixol Conc 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol decanoate""	""100.000mg/1.000ml""	""4020200""	100000	1	""Flupentixol""",
"""431741000033118""",UNKNOWN,true,"3679611000001105	""Depixol 3mg tablets (Lundbeck Ltd)""	""Depixol 3mg tablets""	""Tablet""	""Oral""	""Flupentixol dihydrochloride""	""3.000mg""	""4020100""	30000	1	""Flupentixol""",
"""476541000033119""",UNKNOWN,true,"463911000001104	""Dozic 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)""	""Dozic 5mg/5ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	""4090300""	700	1	""Haloperidol""",
"""479841000033112""",UNKNOWN,true,"416411000001101	""Dolmatil 400mg tablets (Sanofi)""	""Dolmatil 400mg tablets""	""Tablet""	""Oral""	""Sulpiride""	""400.000mg""	""4020100""	1000	1	""Sulpiride""",
"""480941000033116""",UNKNOWN,true,"44411000001109	""Dolmatil 200mg tablets (Sanofi)""	""Dolmatil 200mg tablets""	""Tablet""	""Oral""	""Sulpiride""	""200.000mg""	""4020100""	20000	1	""Sulpiride""",
"""483141000033112""",UNKNOWN,true,"NA	""Droperidol Injection 5mg/ml""	""""	""""	""""	""""	""""	""""	200	1	""Droperidol""",
"""483541000033115""",UNKNOWN,true,"NA	""Droperidol Liquid 1mg/ml""	""""	""""	""""	""""	""""	""""	6000	1	""Droperidol""",
"""485041000033112""",UNKNOWN,true,"NA	""Droperidol Tablets 10 mg""	""""	""""	""""	""""	""""	""""	30000	1	""Droperidol""",
"""529641000033116""",UNKNOWN,true,"100011000001108	""Epilim 200mg/5ml liquid (Sanofi)""	""Epilim 200mg/5ml liquid""	""Oral solution""	""Oral""	""Sodium valproate""	""40.000mg/1.000ml""	""4080100""	500000	3	""Valproate""",
