code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AP""",
"""259397016""",UNKNOWN,true,"1000	""44W40""	""44W4000""	""valproate level therapeutic""	166946001	259397016	NA	34	""EvidenceOfBP""",
"""259398014""",UNKNOWN,true,"1000	""44W41""	""44W4100""	""valproate level low""	166947005	259398014	NA	34	""EvidenceOfBP""",
"""259399018""",UNKNOWN,true,"400	""44W42""	""44W4200""	""valproate level high""	166948000	259399018	NA	34	""EvidenceOfBP""",
"""259417018""",UNKNOWN,true,"7000	""44vE""	""44vE.00""	""lithium level therapeutic""	166956002	259417018	NA	34	""EvidenceOfBP""",
"""259418011""",UNKNOWN,true,"3000	""44W81""	""44W8100""	""lithium level high - toxic""	166957006	259418011	NA	34	""EvidenceOfBP""",
"""259419015""",UNKNOWN,true,"4000	""44W82""	""44W8200""	""lithium level low""	166958001	259419015	NA	34	""EvidenceOfBP""",
"""264612016""",UNKNOWN,true,"20000	""665B""	""665B.00""	""lithium stopped""	170688000	264612016	NA	1	""EvidenceOfBP""",
"""317648012""",UNKNOWN,true,"3000	""R1053""	""R105300""	""abnormal lithium level in blood""	442174001	2819602012	NA	32	""EvidenceOfBP""",
"""328606016""",UNKNOWN,true,"30	""T8300""	""T830000""	""accidental poisoning by chlorpromazine""	216520005	328606016	NA	32	""EvidenceOfAP""",
"""328607013""",UNKNOWN,true,"1	""T8301""	""T830100""	""accidental poisoning by fluphenazine""	216521009	328607013	NA	32	""EvidenceOfAP""",
"""328608015""",UNKNOWN,true,"60	""T8302""	""T830200""	""accidental poisoning by prochlorperazine""	216522002	328608015	NA	32	""EvidenceOfAP""",
"""328609011""",UNKNOWN,true,"6	""T8303""	""T830300""	""accidental poisoning by promazine""	216523007	328609011	NA	32	""EvidenceOfAP""",
"""328614010""",UNKNOWN,true,"30	""T8310""	""T831000""	""accidental poisoning by haloperidol""	216526004	328614010	NA	32	""EvidenceOfAP""",
"""328616012""",UNKNOWN,true,"1	""T8312""	""T831200""	""accidental poisoning by trifluperidol""	216528003	328616012	NA	32	""EvidenceOfAP""",
"""335734011""",UNKNOWN,true,"100	""U6065""	""U606500""	""sodium valproate adverse reaction""	292319006	432453014	NA	5	""EvidenceOfBP""",
"""373672018""",UNKNOWN,true,"20000	""44W8-1""	""44W8.11""	""lithium: blood level""	1006681000000100	2585951000000113	NA	34	""EvidenceOfBP""",
"""373685015""",UNKNOWN,true,"4000	""44W4-2""	""44W4.12""	""sodium valproate: blood level""	1026691000000107	2598871000000119	NA	34	""EvidenceOfBP""",
"""401522012""",UNKNOWN,true,"30000	""6657""	""6657.00""	""on lithium""	268514004	401522012	NA	1	""EvidenceOfBP""",
"""401523019""",UNKNOWN,true,"1000	""6657-2""	""6657.12""	""started lithium""	268514004	401523019	NA	1	""EvidenceOfBP""",
"""404493014""",UNKNOWN,true,"100000	""44W4""	""44W4.00""	""serum sodium valproate level""	1026691000000107	2598871000000119	NA	34	""EvidenceOfBP""",
"""404498017""",UNKNOWN,true,"1000000	""44W8""	""44W8.00""	""serum lithium level""	1006681000000100	2585951000000113	NA	34	""EvidenceOfBP""",
"""411890010""",UNKNOWN,true,"40000	""6657-1""	""6657.11""	""lithium monitoring""	275917000	411890010	NA	1	""EvidenceOfBP""",
"""431235015""",UNKNOWN,true,"30	""SL914""	""SL91400""	""thioridazine poisoning""	291190004	431235015	NA	32	""EvidenceOfAP""",
"""457924015""",UNKNOWN,true,"800	""44WP""	""44WP.00""	""plasma lamotrigine level""	1006841000000107	2573681000000119	NA	34	""EvidenceOfBP""",
"""458232016""",UNKNOWN,true,"10000	""44Wg""	""44Wg.00""	""serum lamotrigine level""	1006991000000108	2556621000000110	NA	34	""EvidenceOfBP""",
"""1219688018""",UNKNOWN,true,"30	""SL912""	""SL91200""	""prochlorperazine poisoning""	111765001	1219688018	NA	32	""EvidenceOfAP""",
"""1230030015""",UNKNOWN,true,"100	""K0C6""	""K0C6.00""	""chronic lithium nephrotoxicity""	4390004	1230030015	NA	5	""EvidenceOfBP""",
"""1233586010""",UNKNOWN,true,"2	""SL922""	""SL92200""	""trifluperidol poisoning""	73108003	1233586010	NA	32	""EvidenceOfAP""",
"""1235226011""",UNKNOWN,true,"8	""SL913""	""SL91300""	""promazine poisoning""	87363009	1235226011	NA	32	""EvidenceOfAP""",
"""1235232018""",UNKNOWN,true,"60	""SL910""	""SL91000""	""chlorpromazine poisoning""	87396006	1235232018	NA	32	""EvidenceOfAP""",
"""1235409019""",UNKNOWN,true,"40	""SL920""	""SL92000""	""haloperidol poisoning""	88993007	1235409019	NA	32	""EvidenceOfAP""",
