code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""AP""",
"""10338""",UNKNOWN,true,"""R105300""	""[d]lithium, blood level abnormal""	""EvidenceOfBP""",
"""12292""",UNKNOWN,true,"""44W8000""	""lithium level therapeutic""	""EvidenceOfBP""",
"""13771""",UNKNOWN,true,"""44W8.11""	""lithium: blood level""	""EvidenceOfBP""",
"""13772""",UNKNOWN,true,"""44W8.00""	""serum lithium level""	""EvidenceOfBP""",
"""13815""",UNKNOWN,true,"""44W4.12""	""sodium valproate: blood level""	""EvidenceOfBP""",
"""13850""",UNKNOWN,true,"""44WP.00""	""plasma lamotrigine level""	""EvidenceOfBP""",
"""16641""",UNKNOWN,true,"""44W8100""	""lithium level high - toxic""	""EvidenceOfBP""",
"""16889""",UNKNOWN,true,"""6657.11""	""lithium monitoring""	""EvidenceOfBP""",
"""19350""",UNKNOWN,true,"""665B.00""	""lithium stopped""	""EvidenceOfBP""",
"""19771""",UNKNOWN,true,"""44W4.00""	""serum sodium valproate level""	""EvidenceOfBP""",
"""22564""",UNKNOWN,true,"""6657.00""	""on lithium""	""EvidenceOfBP""",
"""23111""",UNKNOWN,true,"""44W8200""	""lithium level low""	""EvidenceOfBP""",
"""23141""",UNKNOWN,true,"""44Wg.00""	""serum lamotrigine level""	""EvidenceOfBP""",
"""26146""",UNKNOWN,true,"""44vE.00""	""lithium level therapeutic""	""EvidenceOfBP""",
"""28164""",UNKNOWN,true,"""SL91200""	""prochlorperazine poisoning""	""EvidenceOfAP""",
"""33291""",UNKNOWN,true,"""4Q1C.00""	""olanzapine level""	""EvidenceOfAP""",
"""33321""",UNKNOWN,true,"""46P3.00""	""urine lithium""	""EvidenceOfBP""",
"""34795""",UNKNOWN,true,"""6657.12""	""started lithium""	""EvidenceOfBP""",
"""34853""",UNKNOWN,true,"""TJ92000""	""adverse reaction to haloperidol""	""EvidenceOfAP""",
"""39194""",UNKNOWN,true,"""44W4000""	""valproate level therapeutic""	""EvidenceOfBP""",
"""42337""",UNKNOWN,true,"""44W4100""	""valproate level low""	""EvidenceOfBP""",
"""43507""",UNKNOWN,true,"""U609412""	""[x] adverse reaction to haloperidol""	""EvidenceOfAP""",
"""43520""",UNKNOWN,true,"""4Q19.00""	""clozapine level""	""EvidenceOfAP""",
"""43521""",UNKNOWN,true,"""4Q1A.00""	""norclozapine level""	""EvidenceOfAP""",
"""44204""",UNKNOWN,true,"""44W4200""	""valproate level high""	""EvidenceOfBP""",
"""45437""",UNKNOWN,true,"""TJ63300""	""adverse reaction to sodium valproate""	""EvidenceOfBP""",
"""45584""",UNKNOWN,true,"""TJ91400""	""adverse reaction to prochlorperazine""	""EvidenceOfAP""",
"""47396""",UNKNOWN,true,"""SL91300""	""promazine poisoning""	""EvidenceOfAP""",
"""48621""",UNKNOWN,true,"""TJ90G00""	""adverse reaction to flupenthixol""	""EvidenceOfAP""",
"""48650""",UNKNOWN,true,"""TJ91600""	""adverse reaction to thioridazine""	""EvidenceOfAP""",
"""48656""",UNKNOWN,true,"""U609414""	""[x] adverse reaction to trifluperidol""	""EvidenceOfAP""",
"""48659""",UNKNOWN,true,"""TJ92200""	""adverse reaction to trifluperidol""	""EvidenceOfAP""",
"""48676""",UNKNOWN,true,"""TJ91000""	""adverse reaction to chlorpromazine""	""EvidenceOfAP""",
"""52994""",UNKNOWN,true,"""SL91000""	""chlorpromazine poisoning""	""EvidenceOfAP""",
"""53534""",UNKNOWN,true,"""TJ91300""	""adverse reaction to perphenazine""	""EvidenceOfAP""",
"""56474""",UNKNOWN,true,"""U606511""	""[x] adverse reaction to sodium valproate""	""EvidenceOfBP""",
"""57383""",UNKNOWN,true,"""TJ91500""	""adverse reaction to promazine""	""EvidenceOfAP""",
"""59633""",UNKNOWN,true,"""U609316""	""[x] adverse reaction to prochlorperazine""	""EvidenceOfAP""",
"""60201""",UNKNOWN,true,"""SL92000""	""haloperidol poisoning""	""EvidenceOfAP""",
"""60349""",UNKNOWN,true,"""SL91400""	""thioridazine poisoning""	""EvidenceOfAP""",
"""67162""",UNKNOWN,true,"""T831000""	""accidental poisoning by haloperidol""	""EvidenceOfAP""",
"""68050""",UNKNOWN,true,"""SL92200""	""trifluperidol poisoning""	""EvidenceOfAP""",
"""69526""",UNKNOWN,true,"""U609318""	""[x] adverse reaction to thioridazine""	""EvidenceOfAP""",
"""71515""",UNKNOWN,true,"""TJ91100""	""adverse reaction to fluphenazine""	""EvidenceOfAP""",
"""73469""",UNKNOWN,true,"""T830200""	""accidental poisoning by prochlorperazine""	""EvidenceOfAP""",
"""91665""",UNKNOWN,true,"""U609312""	""[x] adverse reaction to chlorpromazine""	""EvidenceOfAP""",
