code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""74689019""",UNKNOWN,true,"""maternal obesity syndrome""	""Aurum""",
"""100716012""",UNKNOWN,true,"""body mass index""	""Aurum""",
"""251604013""",UNKNOWN,true,"""h/o: obesity""	""Aurum""",
"""252191014""",UNKNOWN,true,"""weight increasing""	""Aurum""",
"""252192019""",UNKNOWN,true,"""weight decreasing""	""Aurum""",
"""252194018""",UNKNOWN,true,"""abnormal weight gain""	""Aurum""",
"""252198015""",UNKNOWN,true,"""weight symptom nos""	""Aurum""",
"""253576010""",UNKNOWN,true,"""o/e - obese""	""Aurum""",
"""253669010""",UNKNOWN,true,"""standing height""	""Aurum""",
"""253672015""",UNKNOWN,true,"""o/e -height within 10% average""	""Aurum""",
"""253673013""",UNKNOWN,true,"""o/e-height 10-20% over average""	""Aurum""",
"""253675018""",UNKNOWN,true,"""o/e - loss of height""	""Aurum""",
"""253676017""",UNKNOWN,true,"""o/e - height nos""	""Aurum""",
"""253677014""",UNKNOWN,true,"""body weight""	""Aurum""",
"""253679012""",UNKNOWN,true,"""o/e -weight 10-20% below ideal""	""Aurum""",
"""253680010""",UNKNOWN,true,"""o/e - weight within 10% ideal""	""Aurum""",
"""253687013""",UNKNOWN,true,"""o/e - underweight""	""Aurum""",
"""253688015""",UNKNOWN,true,"""o/e - weight nos""	""Aurum""",
"""253844013""",UNKNOWN,true,"""normal body mass index""	""Aurum""",
"""253845014""",UNKNOWN,true,"""increased body mass index""	""Aurum""",
"""253846010""",UNKNOWN,true,"""decreased body mass index""	""Aurum""",
"""253847018""",UNKNOWN,true,"""body mass index index 25-29 - overweight""	""Aurum""",
"""253848011""",UNKNOWN,true,"""body mass index 30+ - obesity""	""Aurum""",
"""253866018""",UNKNOWN,true,"""height and weight""	""Aurum""",
"""264752011""",UNKNOWN,true,"""initial obesity assessment""	""Aurum""",
"""264753018""",UNKNOWN,true,"""follow-up obesity assessment""	""Aurum""",
"""264756014""",UNKNOWN,true,"""has seen dietician - obesity""	""Aurum""",
"""264757017""",UNKNOWN,true,"""treatment of obesity changed""	""Aurum""",
"""264758010""",UNKNOWN,true,"""treatment of obesity started""	""Aurum""",
"""264759019""",UNKNOWN,true,"""treatment of obesity stopped""	""Aurum""",
"""264764015""",UNKNOWN,true,"""ideal weight discussed""	""Aurum""",
"""264766018""",UNKNOWN,true,"""wants to lose weight""	""Aurum""",
"""264767010""",UNKNOWN,true,"""difficulty maintaining weight loss""	""Aurum""",
"""264768017""",UNKNOWN,true,"""reason for obesity therapy - occupational""	""Aurum""",
"""264769013""",UNKNOWN,true,"""obesity monitoring nos""	""Aurum""",
"""285741017""",UNKNOWN,true,"""attends obesity monitoring""	""Aurum""",
"""285742012""",UNKNOWN,true,"""obesity monitoring refused""	""Aurum""",
"""285743019""",UNKNOWN,true,"""obesity monitoring default""	""Aurum""",
"""285749015""",UNKNOWN,true,"""obesity monitoring deleted""	""Aurum""",
"""285750015""",UNKNOWN,true,"""obesity monitoring check done""	""Aurum""",
"""292971010""",UNKNOWN,true,"""mild protein-calorie malnutrition (weight for age 75-89% of standard)""	""Aurum""",
"""293631011""",UNKNOWN,true,"""obesity and other hyperalimentation""	""Aurum""",
"""293634015""",UNKNOWN,true,"""drug-induced obesity""	""Aurum""",
"""293635019""",UNKNOWN,true,"""extreme obesity with alveolar hypoventilation""	""Aurum""",
"""293802014""",UNKNOWN,true,"""[x]obesity and other hyperalimentation""	""Aurum""",
"""293803016""",UNKNOWN,true,"""[x]other obesity""	""Aurum""",
"""317236017""",UNKNOWN,true,"""[d]abnormal weight gain""	""Aurum""",
"""317237014""",UNKNOWN,true,"""[d]abnormal loss of weight""	""Aurum""",
"""317244017""",UNKNOWN,true,"""failure to gain weight""	""Aurum""",
"""347004010""",UNKNOWN,true,"""weight fixation""	""Aurum""",
"""356960015""",UNKNOWN,true,"""overweight""	""Aurum""",
"""356966014""",UNKNOWN,true,"""generalised obesity""	""Aurum""",
"""356968010""",UNKNOWN,true,"""morbid obesity""	""Aurum""",
"""370698013""",UNKNOWN,true,"""central obesity""	""Aurum""",
"""370745017""",UNKNOWN,true,"""percentage weight gain""	""Aurum""",
"""370746016""",UNKNOWN,true,"""percentage weight loss""	""Aurum""",
"""397867018""",UNKNOWN,true,"""abnormal weight loss""	""Aurum""",
"""401534016""",UNKNOWN,true,"""obesity monitoring""	""Aurum""",
"""401535015""",UNKNOWN,true,"""target weight discussed""	""Aurum""",
"""402435016""",UNKNOWN,true,"""o/e - weight 10-20% over ideal""	""Aurum""",
"""406169014""",UNKNOWN,true,"""weight steady""	""Aurum""",
"""411892019""",UNKNOWN,true,"""weight loss advised""	""Aurum""",
"""411922013""",UNKNOWN,true,"""o/e - overweight""	""Aurum""",
"""434770018""",UNKNOWN,true,"""lifelong obesity""	""Aurum""",
"""436946011""",UNKNOWN,true,"""adult-onset obesity""	""Aurum""",
"""451201014""",UNKNOWN,true,"""weight monitoring""	""Aurum""",
