code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""",
"""2474668015""",UNKNOWN,true,"""13YA.00""	""stroke group member""",
"""451368019""",UNKNOWN,true,"""1477.00""	""h/o: cerebrovascular disease""",
"""809421000006116""",UNKNOWN,true,"""14A7.00""	""h/o: cva/stroke""",
"""2476091017""",UNKNOWN,true,"""14A7.12""	""h/o: stroke""",
"""451371010""",UNKNOWN,true,"""14AK.00""	""h/o: stroke in last year""",
"""413750011""",UNKNOWN,true,"""1M4..00""	""central post-stroke pain""",
"""2160121019""",UNKNOWN,true,"""5C10.00""	""carotid artery doppler abnormal""",
"""2118011000000114""",UNKNOWN,true,"""661M700""	""stroke self-management plan agreed""",
"""1780304018""",UNKNOWN,true,"""662e.00""	""stroke/cva annual review""",
"""2126181000000114""",UNKNOWN,true,"""662e.11""	""stroke annual review""",
"""264499015""",UNKNOWN,true,"""662M.00""	""stroke monitoring""",
"""1160471000000111""",UNKNOWN,true,"""662M100""	""stroke 6 month review""",
"""2548554013""",UNKNOWN,true,"""662o.00""	""haemorrhagic stroke monitoring""",
"""265692011""",UNKNOWN,true,"""7004300""	""evacuation of intracerebral haematoma nec""",
"""641561000006113""",UNKNOWN,true,"""7A20300""	""endarterectomy and patch repair of carotid artery""",
"""271533019""",UNKNOWN,true,"""7A20311""	""carotid endarterectomy and patch""",
"""271534013""",UNKNOWN,true,"""7A20400""	""endarterectomy of carotid artery nec""",
"""371641000000112""",UNKNOWN,true,"""7P24200""	""delivery of rehabilitation for stroke""",
"""2469365010""",UNKNOWN,true,"""8HBJ.00""	""stroke / transient ischaemic attack referral""",
"""449935012""",UNKNOWN,true,"""8Hd6.00""	""admission to stroke unit""",
"""966981000006112""",UNKNOWN,true,"""8HHM.00""	""ref to multidisciplinary stroke function improvement service""",
"""1784651000006110""",UNKNOWN,true,"""8IEC.00""	""ref multidisciplinary stroke function improvement declined""",
"""138981000000113""",UNKNOWN,true,"""9h2..00""	""exception reporting: stroke quality indicators""",
"""139081000000117""",UNKNOWN,true,"""9h21.00""	""excepted from stroke quality indicators: patient unsuitable""",
"""139091000000115""",UNKNOWN,true,"""9h22.00""	""excepted from stroke quality indicators: informed dissent""",
"""236331000000111""",UNKNOWN,true,"""9Om..00""	""stroke/transient ischaemic attack monitoring administration""",
"""2534253014""",UNKNOWN,true,"""9Om0.00""	""stroke/transient ischaemic attack monitoring first letter""",
"""2534212018""",UNKNOWN,true,"""9Om1.00""	""stroke/transient ischaemic attack monitoring second letter""",
"""2534196010""",UNKNOWN,true,"""9Om2.00""	""stroke/transient ischaemic attack monitoring third letter""",
"""986831000006115""",UNKNOWN,true,"""9Om3.00""	""stroke/transient ischaemic attack monitoring verbal invitati""",
"""294703019""",UNKNOWN,true,"""E030400""	""acute confusional state, of cerebrovascular origin""",
"""294711012""",UNKNOWN,true,"""E031400""	""subacute confusional state, of cerebrovascular origin""",
"""297013012""",UNKNOWN,true,"""F11x200""	""cerebral degeneration due to cerebrovascular disease""",
"""345121017""",UNKNOWN,true,"""F124.00""	""vascular parkinsonism""",
"""417171000006111""",UNKNOWN,true,"""Fyu5700""	""[x]other vascular syndroms/brain in cerebrovasculr diseases""",
"""104563015""",UNKNOWN,true,"""G6...00""	""cerebrovascular disease""",
"""481028017""",UNKNOWN,true,"""G60..00""	""subarachnoid haemorrhage""",
"""300242011""",UNKNOWN,true,"""G600.00""	""ruptured berry aneurysm""",
"""300244012""",UNKNOWN,true,"""G601.00""	""subarachnoid haemorrhage from carotid siphon and bifurcation""",
"""123511000006114""",UNKNOWN,true,"""G602.00""	""subarachnoid haemorrhage from middle cerebral artery""",
"""123481000006118""",UNKNOWN,true,"""G603.00""	""subarachnoid haemorrhage from anterior communicating artery""",
"""123521000006118""",UNKNOWN,true,"""G604.00""	""subarachnoid haemorrhage from posterior communicating artery""",
"""123491000006115""",UNKNOWN,true,"""G605.00""	""subarachnoid haemorrhage from basilar artery""",
"""300253017""",UNKNOWN,true,"""G606.00""	""subarachnoid haemorrhage from vertebral artery""",
"""123441000006112""",UNKNOWN,true,"""G60X.00""	""subarachnoid haemorrh from intracranial artery, unspecif""",
"""300257016""",UNKNOWN,true,"""G60z.00""	""subarachnoid haemorrhage nos""",
"""744901000006114""",UNKNOWN,true,"""G61..00""	""intracerebral haemorrhage""",
"""605471000006112""",UNKNOWN,true,"""G61..11""	""cva - cerebrovascular accid due to intracerebral haemorrhage""",
"""122371000006118""",UNKNOWN,true,"""G61..12""	""stroke due to intracerebral haemorrhage""",
"""495394013""",UNKNOWN,true,"""G610.00""	""cortical haemorrhage""",
"""496232015""",UNKNOWN,true,"""G611.00""	""internal capsule haemorrhage""",
"""503791000006114""",UNKNOWN,true,"""G612.00""	""basal nucleus haemorrhage""",
"""502878012""",UNKNOWN,true,"""G613.00""	""cerebellar haemorrhage""",
"""503469016""",UNKNOWN,true,"""G614.00""	""pontine haemorrhage""",
"""483988011""",UNKNOWN,true,"""G615.00""	""bulbar haemorrhage""",
"""300276019""",UNKNOWN,true,"""G616.00""	""external capsule haemorrhage""",
"""300277011""",UNKNOWN,true,"""G617.00""	""intracerebral haemorrhage, intraventricular""",
"""746571000006116""",UNKNOWN,true,"""G618.00""	""intracerebral haemorrhage, multiple localized""",
"""345675012""",UNKNOWN,true,"""G619.00""	""lobar cerebral haemorrhage""",
"""744921000006116""",UNKNOWN,true,"""G61X.00""	""intracerebral haemorrhage in hemisphere, unspecified""",
"""748941000006115""",UNKNOWN,true,"""G61X000""	""left sided intracerebral haemorrhage, unspecified""",
