code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""",
"""251680018""",UNKNOWN,true,"""14A6.00""	""h/o: heart failure""",
"""453099015""",UNKNOWN,true,"""14AM.00""	""h/o: heart failure in last year""",
"""1488804017""",UNKNOWN,true,"""1O1..00""	""heart failure confirmed""",
"""833381000006119""",UNKNOWN,true,"""388D.00""	""new york heart assoc classification heart failure symptoms""",
"""2159197017""",UNKNOWN,true,"""585f.00""	""echocardiogram shows left ventricular systolic dysfunction""",
"""2159198010""",UNKNOWN,true,"""585g.00""	""echocardiogram shows left ventricular diastolic dysfunction""",
"""2117931000000116""",UNKNOWN,true,"""661M500""	""heart failure self-management plan agreed""",
"""2616470012""",UNKNOWN,true,"""662f.00""	""new york heart association classification - class i""",
"""2616471011""",UNKNOWN,true,"""662g.00""	""new york heart association classification - class ii""",
"""2616472016""",UNKNOWN,true,"""662h.00""	""new york heart association classification - class iii""",
"""2616473014""",UNKNOWN,true,"""662i.00""	""new york heart association classification - class iv""",
"""404741000000119""",UNKNOWN,true,"""662p.00""	""heart failure 6 month review""",
"""216184014""",UNKNOWN,true,"""662T.00""	""congestive heart failure monitoring""",
"""1484918019""",UNKNOWN,true,"""662W.00""	""heart failure annual review""",
"""2122191000000110""",UNKNOWN,true,"""679W100""	""education about deteriorating heart failure""",
"""2645623019""",UNKNOWN,true,"""679X.00""	""heart failure education""",
"""308011000000119""",UNKNOWN,true,"""67D4.00""	""heart failure information given to patient""",
"""451426015""",UNKNOWN,true,"""8B29.00""	""cardiac failure therapy""",
"""1784061000006118""",UNKNOWN,true,"""8CeC.00""	""preferred place of care for next exacerbation heart failure""",
"""308301000000118""",UNKNOWN,true,"""8CL3.00""	""heart failure care plan discussed with patient""",
"""1746171000000119""",UNKNOWN,true,"""8CMK.00""	""has heart failure management plan""",
"""2205951000000117""",UNKNOWN,true,"""8CMW800""	""heart failure clinical pathway""",
"""2549208013""",UNKNOWN,true,"""8H2S.00""	""admit heart failure emergency""",
"""1484917012""",UNKNOWN,true,"""8HBE.00""	""heart failure follow-up""",
"""303441000000116""",UNKNOWN,true,"""8Hg8.00""	""discharge from practice nurse heart failure clinic""",
"""1705341000000110""",UNKNOWN,true,"""8HgD.00""	""discharge from heart failure nurse service""",
"""2549697018""",UNKNOWN,true,"""8HHb.00""	""referral to heart failure nurse""",
"""308041000000118""",UNKNOWN,true,"""8HHz.00""	""referral to heart failure exercise programme""",
"""311561000000117""",UNKNOWN,true,"""8Hk0.00""	""referred to heart failure education group""",
"""216246012""",UNKNOWN,true,"""8HTL.00""	""referral to heart failure clinic""",
"""2256811000000114""",UNKNOWN,true,"""8HTL000""	""referral to rapid access heart failure clinic""",
"""1693911000000115""",UNKNOWN,true,"""8IE0.00""	""referral to heart failure education group declined""",
"""1734081000000112""",UNKNOWN,true,"""8IE1.00""	""referral to heart failure exercise programme declined""",
"""407441000000115""",UNKNOWN,true,"""9hH..00""	""exception reporting: heart failure quality indicators""",
"""1561941000006119""",UNKNOWN,true,"""9hH0.00""	""excepted heart failure quality indicators: patient unsuitabl""",
"""1561951000006117""",UNKNOWN,true,"""9hH1.00""	""excepted heart failure quality indicators: informed dissent""",
"""735971000000112""",UNKNOWN,true,"""9m5..00""	""high risk of heart failure screening invitation""",
"""2549243014""",UNKNOWN,true,"""9N0k.00""	""seen in heart failure clinic""",
"""2548316014""",UNKNOWN,true,"""9N2p.00""	""seen by community heart failure nurse""",
"""303861000000118""",UNKNOWN,true,"""9N4s.00""	""did not attend practice nurse heart failure clinic""",
"""303361000000111""",UNKNOWN,true,"""9N6T.00""	""referred by heart failure nurse specialist""",
"""308231000000118""",UNKNOWN,true,"""9Or..00""	""heart failure monitoring administration""",
"""308261000000111""",UNKNOWN,true,"""9Or0.00""	""heart failure review completed""",
"""406801000000118""",UNKNOWN,true,"""9Or1.00""	""heart failure monitoring telephone invite""",
"""407041000000111""",UNKNOWN,true,"""9Or2.00""	""heart failure monitoring verbal invite""",
"""407061000000112""",UNKNOWN,true,"""9Or3.00""	""heart failure monitoring first letter""",
"""407081000000115""",UNKNOWN,true,"""9Or4.00""	""heart failure monitoring second letter""",
"""407101000000114""",UNKNOWN,true,"""9Or5.00""	""heart failure monitoring third letter""",
"""72934016""",UNKNOWN,true,"""G1yz100""	""rheumatic left ventricular failure""",
"""139475013""",UNKNOWN,true,"""G58..00""	""heart failure""",
"""139482012""",UNKNOWN,true,"""G58..11""	""cardiac failure""",
"""70653017""",UNKNOWN,true,"""G580.00""	""congestive heart failure""",
"""493287011""",UNKNOWN,true,"""G580.11""	""congestive cardiac failure""",
"""206703015""",UNKNOWN,true,"""G580.12""	""right heart failure""",
"""490972013""",UNKNOWN,true,"""G580.13""	""right ventricular failure""",
"""510016018""",UNKNOWN,true,"""G580.14""	""biventricular failure""",
"""18472010""",UNKNOWN,true,"""G580000""	""acute congestive heart failure""",
"""147247018""",UNKNOWN,true,"""G580100""	""chronic congestive heart failure""",
"""300179017""",UNKNOWN,true,"""G580200""	""decompensated cardiac failure""",
"""300180019""",UNKNOWN,true,"""G580300""	""compensated cardiac failure""",
"""2675255018""",UNKNOWN,true,"""G580400""	""congestive heart failure due to valvular disease""",
"""141306010""",UNKNOWN,true,"""G581.00""	""left ventricular failure""",
"""1495417010""",UNKNOWN,true,"""G581.11""	""asthma - cardiac""",
"""411506018""",UNKNOWN,true,"""G581.13""	""impaired left ventricular function""",
"""300190010""",UNKNOWN,true,"""G581000""	""acute left ventricular failure""",
"""94251011""",UNKNOWN,true,"""G582.00""	""acute heart failure""",
"""1647701000000118""",UNKNOWN,true,"""G583.00""	""heart failure with normal ejection fraction""",
"""1661371000000112""",UNKNOWN,true,"""G583.11""	""hfnef - heart failure with normal ejection fraction""",
"""2227501000000110""",UNKNOWN,true,"""G583.12""	""heart failure with preserved ejection fraction""",
"""1816101000006113""",UNKNOWN,true,"""G584.00""	""right ventricular failure""",
