code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""",
"""259209011""",UNKNOWN,true,"""44O1.00""	""blood sent for serum lipids""",
"""1488764011""",UNKNOWN,true,"""44PI.00""	""calculated ldl cholesterol level""",
"""551861000006118""",UNKNOWN,true,"""6879.11""	""cholesterol screen""",
"""457911015""",UNKNOWN,true,"""44l2.00""	""cholesterol/hdl ratio""",
"""1924001000006115""",UNKNOWN,true,"""44PL100""	""estimated serum non-hdl cholesterol level""",
"""405414014""",UNKNOWN,true,"""44O5.00""	""fasting blood lipids""",
"""854781000006119""",UNKNOWN,true,"""""	""fasting lipids""",
"""667191000006111""",UNKNOWN,true,"""""	""fasting serum cholesterol""",
"""854481000006110""",UNKNOWN,true,"""""	""fasting triglycerides""",
"""1485303017""",UNKNOWN,true,"""4I3O.00""	""fluid sample cholesterol level""",
"""2478457017""",UNKNOWN,true,"""4I3W.00""	""fluid sample triglyceride level""",
"""817591000006110""",UNKNOWN,true,"""44R3.11""	""hdl - electrophoresis""",
"""817601000006119""",UNKNOWN,true,"""44PA.00""	""hdl : ldl ratio""",
"""279462018""",UNKNOWN,true,"""44PG.00""	""hdl : total cholesterol ratio""",
"""855771000006118""",UNKNOWN,true,"""""	""hdl cholesterol level""",
"""219121000000113""",UNKNOWN,true,"""6879.00""	""hyperlipidaemia screen""",
"""458370015""",UNKNOWN,true,"""44q8.00""	""hyperlipidaemia screening test""",
"""749181000006119""",UNKNOWN,true,"""44R4.11""	""ldl - electrophoresis""",
"""857141000006116""",UNKNOWN,true,"""""	""ldl cholesterol level""",
"""977461000006119""",UNKNOWN,true,"""4QA..00""	""lipid level""",
"""219141000000118""",UNKNOWN,true,"""6879.12""	""lipid screen""",
"""259215011""",UNKNOWN,true,"""44O6.00""	""lipids abnormal""",
"""259266018""",UNKNOWN,true,"""44R3.00""	""lipoprotein electroph. - hdl""",
"""259267010""",UNKNOWN,true,"""44R4.00""	""lipoprotein electroph. - ldl""",
"""259268017""",UNKNOWN,true,"""44R5.00""	""lipoprotein electroph. - vldl""",
"""259264015""",UNKNOWN,true,"""44R1.00""	""lipoprotein electroph. normal""",
"""259269013""",UNKNOWN,true,"""44RZ.00""	""lipoprotein electroph. nos""",
"""259265019""",UNKNOWN,true,"""44R2.00""	""lipoprotein electroph.abnormal""",
"""8883010""",UNKNOWN,true,"""44R..00""	""lipoprotein electrophoresis""",
"""1739211000000111""",UNKNOWN,true,"""7L1j000""	""low density lipoprotein apheresis""",
"""516351000000116""",UNKNOWN,true,"""44PL.00""	""non hdl cholesterol level""",
"""458252015""",UNKNOWN,true,"""44lG.00""	""plasma cholesterol/hdl ratio""",
"""458256017""",UNKNOWN,true,"""44lI.00""	""plasma cholesterol/ldl ratio""",
"""458260019""",UNKNOWN,true,"""44lK.00""	""plasma cholesterol/vldl ratio""",
"""259567011""",UNKNOWN,true,"""44d3.00""	""plasma fasting hdl cholesterol level""",
"""259570010""",UNKNOWN,true,"""44d5.00""	""plasma fasting ldl cholesterol level""",
"""259563010""",UNKNOWN,true,"""44d1.00""	""plasma fasting lipoprotein level""",
"""259583011""",UNKNOWN,true,"""44e1.00""	""plasma fasting triglyceride level""",
"""458313013""",UNKNOWN,true,"""44dA.00""	""plasma hdl cholesterol level""",
"""458314019""",UNKNOWN,true,"""44dB.00""	""plasma ldl cholesterol level""",
"""458284010""",UNKNOWN,true,"""44lM.00""	""plasma ldl/hdl ratio""",
"""458319012""",UNKNOWN,true,"""44OD.00""	""plasma lipids""",
"""224421000006116""",UNKNOWN,true,"""44d..00""	""plasma lipoprotein level""",
"""259564016""",UNKNOWN,true,"""44d2.00""	""plasma random hdl cholesterol level""",
"""259569014""",UNKNOWN,true,"""44d4.00""	""plasma random ldl cholesterol level""",
"""259560013""",UNKNOWN,true,"""44d0.00""	""plasma random lipoprotein level""",
"""259580014""",UNKNOWN,true,"""44e0.00""	""plasma random triglyceride level""",
"""1484985012""",UNKNOWN,true,"""44OE.00""	""plasma total cholesterol level""",
"""259579011""",UNKNOWN,true,"""44e..00""	""plasma triglyceride level""",
"""457942013""",UNKNOWN,true,"""44O8.00""	""plasma vldl triglyceride level""",
"""987321000006112""",UNKNOWN,true,"""""	""pre-treatment fasting hdl cholesterol""",
"""1488851015""",UNKNOWN,true,"""662a.00""	""pre-treatment serum cholesterol level""",
"""150921000006118""",UNKNOWN,true,"""44P..00""	""serum cholesterol""",
"""259228016""",UNKNOWN,true,"""44P2.00""	""serum cholesterol borderline""",
"""259227014""",UNKNOWN,true,"""44P1.00""	""serum cholesterol normal""",
"""259252011""",UNKNOWN,true,"""44PZ.00""	""serum cholesterol nos""",
"""259229012""",UNKNOWN,true,"""44P3.00""	""serum cholesterol raised""",
"""259239018""",UNKNOWN,true,"""44P9.00""	""serum cholesterol studies""",
"""259230019""",UNKNOWN,true,"""44P4.00""	""serum cholesterol very high""",
"""458249011""",UNKNOWN,true,"""44lF.00""	""serum cholesterol/hdl ratio""",
"""458253013""",UNKNOWN,true,"""44lH.00""	""serum cholesterol/ldl ratio""",
"""458257014""",UNKNOWN,true,"""44lJ.00""	""serum cholesterol/vldl ratio""",
"""259242012""",UNKNOWN,true,"""44PB.00""	""serum fasting hdl cholesterol level""",
"""259246010""",UNKNOWN,true,"""44PD.00""	""serum fasting ldl cholesterol level""",
"""259554013""",UNKNOWN,true,"""44c1.00""	""serum fasting lipoprotein level""",
"""405621000000116""",UNKNOWN,true,"""44PK.00""	""serum fasting total cholesterol""",
"""259260012""",UNKNOWN,true,"""44Q4.00""	""serum fasting triglyceride level""",
"""259232010""",UNKNOWN,true,"""44P5.00""	""serum hdl cholesterol level""",
"""1942631000006110""",UNKNOWN,true,"""44lzY00""	""serum hdl cholesterol:triglyceride ratio""",
"""144141000006119""",UNKNOWN,true,"""44P8.00""	""serum hdl:non-hdl cholesterol ratio""",
"""259233017""",UNKNOWN,true,"""44P6.00""	""serum ldl cholesterol level""",
"""458283016""",UNKNOWN,true,"""44lL.00""	""serum ldl/hdl ratio""",
"""144451000006114""",UNKNOWN,true,"""44O..00""	""serum lipids""",
"""259211019""",UNKNOWN,true,"""44O3.00""	""serum lipids borderline raised""",
"""259212014""",UNKNOWN,true,"""44O4.00""	""serum lipids high""",
"""259210018""",UNKNOWN,true,"""44O2.00""	""serum lipids normal""",
"""259223013""",UNKNOWN,true,"""44OZ.00""	""serum lipids nos""",
"""144501000006111""",UNKNOWN,true,"""44c..00""	""serum lipoprotein level""",
