code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""111297""",UNKNOWN,true,"""9TC5.00""	""hungarian roma""",
"""112662""",UNKNOWN,true,"""9TC4.00""	""slovak roma""",
"""111609""",UNKNOWN,true,"""9TC3.00""	""romanian roma""",
"""111704""",UNKNOWN,true,"""9TC2.00""	""polish roma""",
"""112719""",UNKNOWN,true,"""9TC1.00""	""czech roma""",
"""111792""",UNKNOWN,true,"""9TC0.00""	""bulgarian roma""",
"""111822""",UNKNOWN,true,"""9TC..00""	""roma ethnic group""",
"""101162""",UNKNOWN,true,"""9T9..00""	""nepali""",
"""101219""",UNKNOWN,true,"""9T8..00""	""portuguese""",
"""101787""",UNKNOWN,true,"""9T7..00""	""slovak""",
"""100143""",UNKNOWN,true,"""9T6..00""	""czech""",
"""99788""",UNKNOWN,true,"""9T5..00""	""bulgarian""",
"""99808""",UNKNOWN,true,"""9T4..00""	""romanian""",
"""94487""",UNKNOWN,true,"""9T3..00""	""yemeni""",
"""111806""",UNKNOWN,true,"""9t2J.00""	""other ethnic grp: any other ethnic grp- scotland 2011 census""",
"""112245""",UNKNOWN,true,"""9t2H.00""	""other ethnic grp: arab/arab scot/arab british- scotland 2011""",
"""112216""",UNKNOWN,true,"""9t2G.00""	""carib/black: any other black/caribbean grp - scotland 2011""",
"""112649""",UNKNOWN,true,"""9t2F.00""	""carib/black: black/black scot/black brit- scotland 2011 cens""",
"""110655""",UNKNOWN,true,"""9t2D.00""	""african: any other african - scotland ethnic cat 2011 census""",
"""111059""",UNKNOWN,true,"""9t2C.00""	""african: african/african scot/african brit - scotland 2011""",
"""110855""",UNKNOWN,true,"""9t2B.00""	""asian: other asian group - scotland ethnic cat 2011 census""",
"""111064""",UNKNOWN,true,"""9t2A.00""	""asian: chinese - scotland ethnic category 2011 census""",
"""112225""",UNKNOWN,true,"""9t29.00""	""bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011""",
"""111368""",UNKNOWN,true,"""9t28.00""	""asian: indian, indian scot/indian brit- scotland 2011 census""",
"""110460""",UNKNOWN,true,"""9t27.00""	""asian: pakistani/pakistani scot/pakistani brit- scot 2011""",
"""110696""",UNKNOWN,true,"""9t26.00""	""mixed/multiple ethnic grps: any- scot ethnic cat 2011 census""",
"""110695""",UNKNOWN,true,"""9t25.00""	""white: other white ethnic grp- scotland ethnic cat 2011 cens""",
"""110465""",UNKNOWN,true,"""9t24.00""	""white: polish - scotland ethnic category 2011 census""",
"""113253""",UNKNOWN,true,"""9t23.00""	""white: gypsy/irish traveller - scotland ethnic cat 2011 cens""",
"""110687""",UNKNOWN,true,"""9t22.00""	""white: irish - scotland ethnic category 2011 census""",
"""110694""",UNKNOWN,true,"""9t21.00""	""white: other british - scotland ethnic category 2011 census""",
"""110432""",UNKNOWN,true,"""9t20.00""	""white: scottish - scotland ethnic category 2011 census""",
"""32781""",UNKNOWN,true,"""9T2..00""	""traveller - gypsy""",
"""71425""",UNKNOWN,true,"""9T1Z.00""	""new zealand ethnic group nos""",
"""96789""",UNKNOWN,true,"""9T1Y.00""	""other new zealand ethnic group""",
"""110646""",UNKNOWN,true,"""9t1F.00""	""other ethnic group: any other grp- ni ethnic cat 2011 census""",
"""32396""",UNKNOWN,true,"""9T1E.00""	""other asian""",
"""110780""",UNKNOWN,true,"""9t1E.00""	""other ethnic group: arab - ni ethnic category 2011 census""",
"""25920""",UNKNOWN,true,"""9T1D.00""	""indian""",
"""111880""",UNKNOWN,true,"""9t1D.00""	""black/afri/carib/black brit: other - ni eth cat 2011 census""",
"""12718""",UNKNOWN,true,"""9T1C.00""	""chinese""",
"""110779""",UNKNOWN,true,"""9t1C.00""	""black/afri/carib/black brit: caribbean- ni eth cat 2011 cens""",
"""46649""",UNKNOWN,true,"""9T1B.00""	""south east asian""",
"""110630""",UNKNOWN,true,"""9t1B.00""	""black/afri/carib/black brit: african- ni eth cat 2011 census""",
"""46752""",UNKNOWN,true,"""9T1A.00""	""other pacific ethnic group""",
"""110425""",UNKNOWN,true,"""9t1A.00""	""asian/asian british: other asian - ni ethnic cat 2011 census""",
"""64609""",UNKNOWN,true,"""9T19.00""	""fijian""",
"""112363""",UNKNOWN,true,"""9t19.00""	""asian/asian british: chinese - ni ethnic cat 2011 census""",
"""25434""",UNKNOWN,true,"""9T18.00""	""tokelauan""",
"""110720""",UNKNOWN,true,"""9t18.00""	""asian/asian british: bangladeshi - ni ethnic cat 2011 census""",
"""55584""",UNKNOWN,true,"""9T17.00""	""niuean""",
"""110538""",UNKNOWN,true,"""9t17.00""	""asian/asian british: pakistani - ni ethnic cat 2011 census""",
"""60837""",UNKNOWN,true,"""9T16.00""	""tongan""",
"""110422""",UNKNOWN,true,"""9t16.00""	""asian or asian british: indian - ni ethnic cat 2011 census""",
"""89910""",UNKNOWN,true,"""9T15.00""	""cook island maori""",
"""110536""",UNKNOWN,true,"""9t15.00""	""mixed: other mixed/multiple ethnic backgrd - ni 2011 census""",
"""64610""",UNKNOWN,true,"""9T14.00""	""samoan""",
"""110471""",UNKNOWN,true,"""9t14.00""	""mixed: white and asian - ni ethnic category 2011 census""",
"""32479""",UNKNOWN,true,"""9T13.00""	""new zealand maori""",
"""110651""",UNKNOWN,true,"""9t13.00""	""mixed: white and black african - ni ethnic cat 2011 census""",
