code,code_system,include,term,notes
"""Read.code""",UNKNOWN,true,"""Term""	""Group""	""Aurum.Medcode""	""Gold.Medcode""	""On.QOF""	""On.OHID""",
"""1464""",UNKNOWN,true,"""H/O: schizophrenia""	""schizophrenia""	""251628010""	""6325""	""NO""	""YES""",
"""146D""",UNKNOWN,true,"""H/O: manic depressive disorder""	""bipolar""	""1780205015""	""11548""	""NO""	""YES""",
"""146H""",UNKNOWN,true,"""H/O: psychosis""	""other psychosis""	""300411000000110""	""12777""	""NO""	""YES""",
"""1S42""",UNKNOWN,true,"""Manic mood""	""bipolar""	""2157096015""	""22713""	""NO""	""YES""",
"""E1""",UNKNOWN,true,"""Non-organic psychoses""	""other psychosis""	""294724012""	""15958""	""YES""	""YES""",
"""E10""",UNKNOWN,true,"""Schizophrenic disorders""	""schizophrenia""	""294725013""	""854""	""YES""	""YES""",
"""E100""",UNKNOWN,true,"""Simple schizophrenia""	""schizophrenia""	""294727017""	""32222""	""YES""	""YES""",
"""E1000""",UNKNOWN,true,"""Unspecified schizophrenia""	""schizophrenia""	""294728010""	""15733""	""YES""	""YES""",
"""E1001""",UNKNOWN,true,"""Subchronic schizophrenia""	""schizophrenia""	""28758018""	""23616""	""YES""	""YES""",
"""E100-1""",UNKNOWN,true,"""Schizophrenia simplex""	""schizophrenia""	""294726014""	""73295""	""YES""	""YES""",
"""E1002""",UNKNOWN,true,"""Chronic schizophrenic""	""schizophrenia""	""1234861017""	""3984""	""YES""	""YES""",
"""E1003""",UNKNOWN,true,"""Acute exacerbation of subchronic schizophrenia""	""schizophrenia""	""294730012""	""57666""	""YES""	""YES""",
"""E1004""",UNKNOWN,true,"""Acute exacerbation of chronic schizophrenia""	""schizophrenia""	""294731011""	""44498""	""YES""	""YES""",
"""E1005""",UNKNOWN,true,"""Schizophrenia in remission""	""schizophrenia""	""9225016""	""58687""	""YES""	""YES""",
"""E100z""",UNKNOWN,true,"""Simple schizophrenia NOS""	""schizophrenia""	""294734015""	""53625""	""YES""	""YES""",
"""E101""",UNKNOWN,true,"""Hebephrenic schizophrenia""	""schizophrenia""	""819351000006115""	""30619""	""YES""	""YES""",
"""E1010""",UNKNOWN,true,"""Unspecified hebephrenic schizophrenia""	""schizophrenia""	""294735019""	""66506""	""YES""	""YES""",
"""E1011""",UNKNOWN,true,"""Subchronic hebephrenic schizophrenia""	""schizophrenia""	""294736018""	""0""	""YES""	""YES""",
"""E1012""",UNKNOWN,true,"""Chronic hebephrenic schizophrenia""	""schizophrenia""	""294737010""	""113781""	""YES""	""YES""",
"""E1013""",UNKNOWN,true,"""Acute exacerbation of subchronic hebephrenic schizophrenia""	""schizophrenia""	""294738017""	""0""	""YES""	""YES""",
"""E1014""",UNKNOWN,true,"""Acute exacerbation of chronic hebephrenic schizophrenia""	""schizophrenia""	""294739013""	""97919""	""YES""	""YES""",
"""E1015""",UNKNOWN,true,"""Hebephrenic schizophrenia in remission""	""schizophrenia""	""294740010""	""67768""	""YES""	""YES""",
"""E101z""",UNKNOWN,true,"""Hebephrenic schizophrenia NOS""	""schizophrenia""	""294741014""	""48054""	""YES""	""YES""",
"""E102""",UNKNOWN,true,"""Catatonic schizophrenia""	""schizophrenia""	""294742019""	""25546""	""YES""	""YES""",
"""E1020""",UNKNOWN,true,"""Unspecified catatonic schizophrenia""	""schizophrenia""	""294744018""	""58716""	""YES""	""YES""",
"""E1021""",UNKNOWN,true,"""Subchronic catatonic schizophrenia""	""schizophrenia""	""71539017""	""99199""	""YES""	""YES""",
"""E1022""",UNKNOWN,true,"""Chronic catatonic schizophrenia""	""schizophrenia""	""114616017""	""113529""	""YES""	""YES""",
"""E1023""",UNKNOWN,true,"""Acute exacerbation of subchronic catatonic schizophrenia""	""schizophrenia""	""294750011""	""0""	""YES""	""YES""",
"""E1024""",UNKNOWN,true,"""Acute exacerbation of chronic catatonic schizophrenia""	""schizophrenia""	""294751010""	""107222""	""YES""	""YES""",
"""E1025""",UNKNOWN,true,"""Catatonic schizophrenia in remission""	""schizophrenia""	""178723016""	""102427""	""YES""	""YES""",
"""E102z""",UNKNOWN,true,"""Catatonic schizophrenia NOS""	""schizophrenia""	""294753013""	""63867""	""YES""	""YES""",
"""E103""",UNKNOWN,true,"""Paranoid schizophrenia""	""schizophrenia""	""107878010""	""1494""	""YES""	""YES""",
"""E1030""",UNKNOWN,true,"""Unspecified paranoid schizophrenia""	""schizophrenia""	""294754019""	""33383""	""YES""	""YES""",
"""E1031""",UNKNOWN,true,"""Subchronic paranoid schizophrenia""	""schizophrenia""	""132503015""	""104760""	""YES""	""YES""",
"""E1032""",UNKNOWN,true,"""Chronic paranoid schizophrenia""	""schizophrenia""	""52897013""	""31362""	""YES""	""YES""",
"""E1033""",UNKNOWN,true,"""Acute exacerbation of subchronic paranoid schizophrenia""	""schizophrenia""	""294757014""	""51322""	""YES""	""YES""",
"""E1034""",UNKNOWN,true,"""Acute exacerbation of chronic paranoid schizophrenia""	""schizophrenia""	""294758016""	""53032""	""YES""	""YES""",
"""E1035""",UNKNOWN,true,"""Paranoid schizophrenia in remission""	""schizophrenia""	""105029017""	""36172""	""YES""	""YES""",
"""E103z""",UNKNOWN,true,"""Paranoid schizophrenia NOS""	""schizophrenia""	""294760019""	""9281""	""YES""	""YES""",
"""E104""",UNKNOWN,true,"""Acute schizophrenic episode""	""schizophrenia""	""401763015""	""576""	""YES""	""YES""",
"""E104-1""",UNKNOWN,true,"""Oneirophrenia""	""other psychosis""	""450785011""	""93167""	""YES""	""YES""",
"""E105""",UNKNOWN,true,"""Latent schizophrenia""	""other psychosis""	""294764011""	""66410""	""YES""	""YES""",
"""E1050""",UNKNOWN,true,"""Unspecified latent schizophrenia""	""other psychosis""	""294765012""	""102311""	""YES""	""YES""",
"""E1051""",UNKNOWN,true,"""Subchronic latent schizophrenia""	""other psychosis""	""294766013""	""0""	""YES""	""YES""",
"""E1052""",UNKNOWN,true,"""Chronic latent schizophrenia""	""other psychosis""	""294767016""	""94299""	""YES""	""YES""",
"""E1053""",UNKNOWN,true,"""Acute exacerbation of subchronic latent schizophrenia""	""other psychosis""	""294768014""	""0""	""YES""	""YES""",
"""E1054""",UNKNOWN,true,"""Acute exacerbation of chronic latent schizophrenia""	""other psychosis""	""294769018""	""114206""	""YES""	""YES""",
"""E1055""",UNKNOWN,true,"""Latent schizophrenia in remission""	""other psychosis""	""294770017""	""96883""	""YES""	""YES""",
"""E105z""",UNKNOWN,true,"""Latent schizophrenia NOS""	""other psychosis""	""294771018""	""102446""	""YES""	""YES""",
"""E106""",UNKNOWN,true,"""Residual schizophrenia""	""schizophrenia""	""43595011""	""38063""	""YES""	""YES""",
"""E106-1""",UNKNOWN,true,"""Restzustand - schizophrenia""	""schizophrenia""	""169061000006112""	""0""	""YES""	""YES""",
"""E107""",UNKNOWN,true,"""Schizo-affective schizophrenia""	""other psychosis""	""155141000006116""	""2117""	""YES""	""YES""",
"""E1070""",UNKNOWN,true,"""Unspecified schizo-affective schizophrenia""	""other psychosis""	""78531000006116""	""58862""	""YES""	""YES""",
"""E1071""",UNKNOWN,true,"""Subchronic schizo-affective schizophrenia""	""other psychosis""	""123611000006110""	""61098""	""YES""	""YES""",
"""E107-1""",UNKNOWN,true,"""Cyclic schizophrenia""	""other psychosis""	""294773015""	""99000""	""YES""	""YES""",
"""E1072""",UNKNOWN,true,"""Chronic schizo-affective schizophrenia""	""other psychosis""	""556631000006116""	""43800""	""YES""	""YES""",
"""E1073""",UNKNOWN,true,"""Acute exacerbation subchronic schizo-affective schizophrenia""	""other psychosis""	""456801000006115""	""58866""	""YES""	""YES""",
"""E1074""",UNKNOWN,true,"""Acute exacerbation of chronic schizo-affective schizophrenia""	""other psychosis""	""456731000006115""	""63478""	""YES""	""YES""",
"""E1075""",UNKNOWN,true,"""Schizo-affective schizophrenia in remission""	""other psychosis""	""155151000006119""	""56438""	""YES""	""YES""",
"""E107-99""",UNKNOWN,true,"""Acute schizo affective psychosis""	""other psychosis""	""882301000006112""	""0""	""YES""	""YES""",
"""E107z""",UNKNOWN,true,"""Schizo-affective schizophrenia NOS""	""other psychosis""	""155161000006117""	""10575""	""YES""	""YES""",
"""E10-98""",UNKNOWN,true,"""Schizophrenic psychoses NOS""	""schizophrenia""	""882281000006113""	""0""	""YES""	""YES""",
"""E10-99""",UNKNOWN,true,"""Schizophrenic psychoses""	""schizophrenia""	""882291000006111""	""0""	""YES""	""YES""",
"""E10y""",UNKNOWN,true,"""Other schizophrenia""	""schizophrenia""	""401764014""	""39062""	""YES""	""YES""",
"""E10y0""",UNKNOWN,true,"""Atypical schizophrenia""	""schizophrenia""	""1219653018""	""33338""	""YES""	""YES""",
"""E10y1""",UNKNOWN,true,"""Coenesthopathic schizophrenia""	""schizophrenia""	""294787015""	""99070""	""YES""	""YES""",
"""E10y-1""",UNKNOWN,true,"""Cenesthopathic schizophrenia""	""schizophrenia""	""294788013""	""92994""	""YES""	""YES""",
"""E10yz""",UNKNOWN,true,"""Other schizophrenia NOS""	""schizophrenia""	""294789017""	""49761""	""YES""	""YES""",
"""E10z""",UNKNOWN,true,"""Schizophrenia NOS""	""schizophrenia""	""294790014""	""8407""	""YES""	""YES""",
"""E110""",UNKNOWN,true,"""\""Manic disorder, single episode\""""	""bipolar""	""401765010""	""37070""	""YES""	""YES""",
"""E1100""",UNKNOWN,true,"""\""Single manic episode, unspecified\""""	""bipolar""	""294802018""	""20110""	""YES""	""YES""",
"""E1101""",UNKNOWN,true,"""\""Single manic episode, mild\""""	""bipolar""	""294803011""	""14728""	""YES""	""YES""",
"""E110-1""",UNKNOWN,true,"""Hypomanic psychoses""	""bipolar""	""789221000006116""	""18909""	""YES""	""YES""",
"""E1102""",UNKNOWN,true,"""\""Single manic episode, moderate\""""	""bipolar""	""294804017""	""24640""	""YES""	""YES""",
"""E1103""",UNKNOWN,true,"""\""Single manic episode, severe without mention of psychosis\""""	""bipolar""	""294805016""	""43093""	""YES""	""YES""",
"""E1104""",UNKNOWN,true,"""\""Single manic episode, severe, with psychosis\""""	""bipolar""	""294806015""	""50218""	""YES""	""YES""",
"""E1105""",UNKNOWN,true,"""Single manic episode in partial or unspecified remission""	""bipolar""	""294807012""	""109485""	""YES""	""YES""",
"""E1106""",UNKNOWN,true,"""Single manic episode in full remission""	""bipolar""	""294808019""	""70000""	""YES""	""YES""",
"""E110-99""",UNKNOWN,true,"""Mania/hypomania""	""bipolar""	""882321000006119""	""0""	""YES""	""YES""",
"""E110z""",UNKNOWN,true,"""\""Manic disorder, single episode NOS\""""	""bipolar""	""294809010""	""36611""	""YES""	""YES""",
"""E111""",UNKNOWN,true,"""Recurrent manic episodes""	""bipolar""	""294810017""	""26227""	""YES""	""YES""",
"""E11-1""",UNKNOWN,true,"""Bipolar psychoses""	""bipolar""	""513871000006118""	""8567""	""NO""	""YES""",
"""E1110""",UNKNOWN,true,"""\""Recurrent manic episodes, unspecified\""""	""bipolar""	""294811018""	""19967""	""YES""	""YES""",
"""E1111""",UNKNOWN,true,"""\""Recurrent manic episodes, mild\""""	""bipolar""	""294812013""	""46425""	""YES""	""YES""",
"""E1112""",UNKNOWN,true,"""\""Recurrent manic episodes, moderate\""""	""bipolar""	""294813015""	""27739""	""YES""	""YES""",
"""E1113""",UNKNOWN,true,"""\""Recurrent manic episodes, severe without mention psychosis\""""	""bipolar""	""182871000006115""	""65811""	""YES""	""YES""",
"""E1114""",UNKNOWN,true,"""\""Recurrent manic episodes, severe, with psychosis\""""	""bipolar""	""294815010""	""32295""	""YES""	""YES""",
"""E1115""",UNKNOWN,true,"""\""Recurrent manic episodes, partial or unspecified remission\""""	""bipolar""	""182861000006110""	""58863""	""YES""	""YES""",
"""E1116""",UNKNOWN,true,"""\""Recurrent manic episodes, in full remission\""""	""bipolar""	""294817019""	""37178""	""YES""	""YES""",
"""E111z""",UNKNOWN,true,"""Recurrent manic episode NOS""	""bipolar""	""294818012""	""46415""	""YES""	""YES""",
"""E11-3""",UNKNOWN,true,"""Manic psychoses""	""bipolar""	""223601000000119""	""26161""	""NO""	""YES""",
"""E114""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic\""""	""bipolar""	""513801000006112""	""3702""	""YES""	""YES""",
"""E1140""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic, unspecified\""""	""bipolar""	""294848010""	""35738""	""YES""	""YES""",
"""E1141""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic, mild\""""	""bipolar""	""294849019""	""36126""	""YES""	""YES""",
"""E114-1""",UNKNOWN,true,"""Manic-depressive - now manic""	""bipolar""	""294847017""	""17385""	""YES""	""YES""",
"""E1142""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic, moderate\""""	""bipolar""	""294850019""	""46434""	""YES""	""YES""",
"""E1143""",UNKNOWN,true,"""\""Bipolar affect disord, currently manic, severe, no psychosis\""""	""bipolar""	""513691000006116""	""16347""	""YES""	""YES""",
"""E1144""",UNKNOWN,true,"""\""Bipolar affect disord, currently manic,severe with psychosis\""""	""bipolar""	""513701000006116""	""55829""	""YES""	""YES""",
"""E1145""",UNKNOWN,true,"""\""Bipolar affect disord,currently manic, part/unspec remission\""""	""bipolar""	""513741000006119""	""59011""	""YES""	""YES""",
"""E1146""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic, full remission\""""	""bipolar""	""513811000006110""	""63784""	""YES""	""YES""",
"""E114z""",UNKNOWN,true,"""\""Bipolar affective disorder, currently manic, NOS\""""	""bipolar""	""294858014""	""57605""	""YES""	""YES""",
"""E115""",UNKNOWN,true,"""\""Bipolar affective disorder, currently depressed\""""	""bipolar""	""513751000006117""	""4677""	""YES""	""YES""",
"""E1150""",UNKNOWN,true,"""\""Bipolar affective disorder, currently depressed, unspecified\""""	""bipolar""	""294861010""	""15923""	""YES""	""YES""",
"""E1151""",UNKNOWN,true,"""\""Bipolar affective disorder, currently depressed, mild\""""	""bipolar""	""294862015""	""35734""	""YES""	""YES""",
"""E115-1""",UNKNOWN,true,"""Manic-depressive - now depressed""	""bipolar""	""294860011""	""12831""	""YES""	""YES""",
"""E1152""",UNKNOWN,true,"""\""Bipolar affective disorder, currently depressed, moderate\""""	""bipolar""	""294863013""	""27890""	""YES""	""YES""",
"""E1153""",UNKNOWN,true,"""\""Bipolar affect disord, now depressed, severe, no psychosis\""""	""bipolar""	""513731000006112""	""35607""	""YES""	""YES""",
"""E1154""",UNKNOWN,true,"""\""Bipolar affect disord, now depressed, severe with psychosis\""""	""bipolar""	""513721000006114""	""63701""	""YES""	""YES""",
"""E1155""",UNKNOWN,true,"""\""Bipolar affect disord, now depressed, part/unspec remission\""""	""bipolar""	""513711000006118""	""72026""	""YES""	""YES""",
"""E1156""",UNKNOWN,true,"""\""Bipolar affective disorder, now depressed, in full remission\""""	""bipolar""	""513861000006113""	""57465""	""YES""	""YES""",
"""E115z""",UNKNOWN,true,"""\""Bipolar affective disorder, currently depressed, NOS\""""	""bipolar""	""294868016""	""37296""	""YES""	""YES""",
"""E116""",UNKNOWN,true,"""Mixed bipolar affective disorder""	""bipolar""	""294869012""	""31316""	""YES""	""YES""",
"""E1160""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, unspecified\""""	""bipolar""	""294870013""	""31535""	""YES""	""YES""",
"""E1161""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, mild\""""	""bipolar""	""294871012""	""24689""	""YES""	""YES""",
"""E1162""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, moderate\""""	""bipolar""	""294872017""	""63150""	""YES""	""YES""",
"""E1163""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, severe, without psychosis\""""	""bipolar""	""701071000006111""	""63284""	""YES""	""YES""",
"""E1164""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, severe, with psychosis\""""	""bipolar""	""294874016""	""54195""	""YES""	""YES""",
"""E1165""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, partial/unspec remission\""""	""bipolar""	""701051000006118""	""63651""	""YES""	""YES""",
"""E1166""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, in full remission\""""	""bipolar""	""294876019""	""55064""	""YES""	""YES""",
"""E116z""",UNKNOWN,true,"""\""Mixed bipolar affective disorder, NOS\""""	""bipolar""	""294877011""	""63583""	""YES""	""YES""",
"""E117""",UNKNOWN,true,"""Unspecified bipolar affective disorder""	""bipolar""	""294880012""	""14784""	""YES""	""YES""",
"""E1170""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, unspecified\""""	""bipolar""	""294881011""	""49763""	""YES""	""YES""",
"""E1171""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, mild\""""	""bipolar""	""294882016""	""63698""	""YES""	""YES""",
"""E1172""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, moderate\""""	""bipolar""	""294883014""	""68647""	""YES""	""YES""",
"""E1173""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, severe, no psychosis\""""	""bipolar""	""82151000006114""	""73423""	""YES""	""YES""",
"""E1174""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder,severe with psychosis\""""	""bipolar""	""82171000006116""	""68326""	""YES""	""YES""",
"""E1175""",UNKNOWN,true,"""\""Unspecified bipolar affect disord, partial/unspec remission\""""	""bipolar""	""82091000006116""	""70721""	""YES""	""YES""",
"""E1176""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, in full remission\""""	""bipolar""	""294887010""	""24230""	""YES""	""YES""",
"""E117z""",UNKNOWN,true,"""\""Unspecified bipolar affective disorder, NOS\""""	""bipolar""	""294888017""	""27986""	""YES""	""YES""",
"""E11-99""",UNKNOWN,true,"""Manic-depressive psychoses""	""bipolar""	""882311000006110""	""0""	""NO""	""YES""",
"""E11y""",UNKNOWN,true,"""Other and unspecified manic-depressive psychoses""	""bipolar""	""294891017""	""60178""	""YES""	""YES""",
"""E11y0""",UNKNOWN,true,"""Unspecified manic-depressive psychoses""	""bipolar""	""294892012""	""11596""	""YES""	""YES""",
"""E11y1""",UNKNOWN,true,"""Atypical manic disorder""	""bipolar""	""294893019""	""70925""	""YES""	""YES""",
"""E11y3""",UNKNOWN,true,"""Other mixed manic-depressive psychoses""	""bipolar""	""294895014""	""70399""	""YES""	""YES""",
