code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""group""	""database""",
"""1452014""",UNKNOWN,true,"""Delusion of persecution""	""other psychosis""	""Aurum""",
"""4569010""",UNKNOWN,true,"""Delusion""	""other psychosis""	""Aurum""",
"""9225016""",UNKNOWN,true,"""Schizophrenia in remission""	""schizophrenia""	""Aurum""",
"""10122017""",UNKNOWN,true,"""Brief reactive psychosis""	""other psychosis""	""Aurum""",
"""28758018""",UNKNOWN,true,"""Subchronic schizophrenia""	""schizophrenia""	""Aurum""",
"""43595011""",UNKNOWN,true,"""Residual schizophrenia""	""schizophrenia""	""Aurum""",
"""44335019""",UNKNOWN,true,"""Paraphrenia""	""other psychosis""	""Aurum""",
"""52897013""",UNKNOWN,true,"""Chronic paranoid schizophrenia""	""schizophrenia""	""Aurum""",
"""71539017""",UNKNOWN,true,"""Subchronic catatonic schizophrenia""	""schizophrenia""	""Aurum""",
"""105029017""",UNKNOWN,true,"""Paranoid schizophrenia in remission""	""schizophrenia""	""Aurum""",
"""107878010""",UNKNOWN,true,"""Paranoid schizophrenia""	""schizophrenia""	""Aurum""",
"""114616017""",UNKNOWN,true,"""Chronic catatonic schizophrenia""	""schizophrenia""	""Aurum""",
"""132503015""",UNKNOWN,true,"""Subchronic paranoid schizophrenia""	""schizophrenia""	""Aurum""",
"""178723016""",UNKNOWN,true,"""Catatonic schizophrenia in remission""	""schizophrenia""	""Aurum""",
"""251628010""",UNKNOWN,true,"""H/O: schizophrenia""	""schizophrenia""	""Aurum""",
"""253124017""",UNKNOWN,true,"""Morbid jealousy""	""other psychosis""	""Aurum""",
"""294724012""",UNKNOWN,true,"""Non-organic psychoses""	""other psychosis""	""Aurum""",
"""294725013""",UNKNOWN,true,"""Schizophrenic disorders""	""schizophrenia""	""Aurum""",
"""294726014""",UNKNOWN,true,"""Schizophrenia simplex""	""schizophrenia""	""Aurum""",
"""294727017""",UNKNOWN,true,"""Simple schizophrenia""	""schizophrenia""	""Aurum""",
"""294728010""",UNKNOWN,true,"""Unspecified schizophrenia""	""schizophrenia""	""Aurum""",
"""294730012""",UNKNOWN,true,"""Acute exacerbation of subchronic schizophrenia""	""schizophrenia""	""Aurum""",
"""294731011""",UNKNOWN,true,"""Acute exacerbation of chronic schizophrenia""	""schizophrenia""	""Aurum""",
"""294734015""",UNKNOWN,true,"""Simple schizophrenia NOS""	""schizophrenia""	""Aurum""",
"""294735019""",UNKNOWN,true,"""Unspecified hebephrenic schizophrenia""	""schizophrenia""	""Aurum""",
