code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""term""	""group""",
"""1452014""",UNKNOWN,true,"""Delusion of persecution""	""other psychosis""",
"""4569010""",UNKNOWN,true,"""Delusion""	""other psychosis""",
"""9225016""",UNKNOWN,true,"""Schizophrenia in remission""	""schizophrenia""",
"""10122017""",UNKNOWN,true,"""Brief reactive psychosis""	""other psychosis""",
"""28758018""",UNKNOWN,true,"""Subchronic schizophrenia""	""schizophrenia""",
"""43595011""",UNKNOWN,true,"""Residual schizophrenia""	""schizophrenia""",
"""44335019""",UNKNOWN,true,"""Paraphrenia""	""other psychosis""",
"""52897013""",UNKNOWN,true,"""Chronic paranoid schizophrenia""	""schizophrenia""",
"""71539017""",UNKNOWN,true,"""Subchronic catatonic schizophrenia""	""schizophrenia""",
"""105029017""",UNKNOWN,true,"""Paranoid schizophrenia in remission""	""schizophrenia""",
"""107878010""",UNKNOWN,true,"""Paranoid schizophrenia""	""schizophrenia""",
"""114616017""",UNKNOWN,true,"""Chronic catatonic schizophrenia""	""schizophrenia""",
"""132503015""",UNKNOWN,true,"""Subchronic paranoid schizophrenia""	""schizophrenia""",
"""178723016""",UNKNOWN,true,"""Catatonic schizophrenia in remission""	""schizophrenia""",
"""251628010""",UNKNOWN,true,"""H/O: schizophrenia""	""schizophrenia""",
"""253124017""",UNKNOWN,true,"""Morbid jealousy""	""other psychosis""",
"""294724012""",UNKNOWN,true,"""Non-organic psychoses""	""other psychosis""",
"""294725013""",UNKNOWN,true,"""Schizophrenic disorders""	""schizophrenia""",
"""294726014""",UNKNOWN,true,"""Schizophrenia simplex""	""schizophrenia""",
"""294727017""",UNKNOWN,true,"""Simple schizophrenia""	""schizophrenia""",
"""294728010""",UNKNOWN,true,"""Unspecified schizophrenia""	""schizophrenia""",
"""294730012""",UNKNOWN,true,"""Acute exacerbation of subchronic schizophrenia""	""schizophrenia""",
"""294731011""",UNKNOWN,true,"""Acute exacerbation of chronic schizophrenia""	""schizophrenia""",
"""294734015""",UNKNOWN,true,"""Simple schizophrenia NOS""	""schizophrenia""",
"""294735019""",UNKNOWN,true,"""Unspecified hebephrenic schizophrenia""	""schizophrenia""",
"""294736018""",UNKNOWN,true,"""Subchronic hebephrenic schizophrenia""	""schizophrenia""",
"""294737010""",UNKNOWN,true,"""Chronic hebephrenic schizophrenia""	""schizophrenia""",
"""294738017""",UNKNOWN,true,"""Acute exacerbation of subchronic hebephrenic schizophrenia""	""schizophrenia""",
"""294739013""",UNKNOWN,true,"""Acute exacerbation of chronic hebephrenic schizophrenia""	""schizophrenia""",
"""294740010""",UNKNOWN,true,"""Hebephrenic schizophrenia in remission""	""schizophrenia""",
"""294741014""",UNKNOWN,true,"""Hebephrenic schizophrenia NOS""	""schizophrenia""",
"""294742019""",UNKNOWN,true,"""Catatonic schizophrenia""	""schizophrenia""",
"""294743012""",UNKNOWN,true,"""[X]Schizophrenic flexibilatis cerea""	""schizophrenia""",
"""294744018""",UNKNOWN,true,"""Unspecified catatonic schizophrenia""	""schizophrenia""",
"""294750011""",UNKNOWN,true,"""Acute exacerbation of subchronic catatonic schizophrenia""	""schizophrenia""",
"""294751010""",UNKNOWN,true,"""Acute exacerbation of chronic catatonic schizophrenia""	""schizophrenia""",
"""294753013""",UNKNOWN,true,"""Catatonic schizophrenia NOS""	""schizophrenia""",
"""294754019""",UNKNOWN,true,"""Unspecified paranoid schizophrenia""	""schizophrenia""",
"""294757014""",UNKNOWN,true,"""Acute exacerbation of subchronic paranoid schizophrenia""	""schizophrenia""",
"""294758016""",UNKNOWN,true,"""Acute exacerbation of chronic paranoid schizophrenia""	""schizophrenia""",
"""294760019""",UNKNOWN,true,"""Paranoid schizophrenia NOS""	""schizophrenia""",
"""294764011""",UNKNOWN,true,"""Latent schizophrenia""	""other psychosis""",
"""294765012""",UNKNOWN,true,"""Unspecified latent schizophrenia""	""other psychosis""",
"""294766013""",UNKNOWN,true,"""Subchronic latent schizophrenia""	""other psychosis""",
"""294767016""",UNKNOWN,true,"""Chronic latent schizophrenia""	""other psychosis""",
"""294768014""",UNKNOWN,true,"""Acute exacerbation of subchronic latent schizophrenia""	""other psychosis""",
"""294769018""",UNKNOWN,true,"""Acute exacerbation of chronic latent schizophrenia""	""other psychosis""",
"""294770017""",UNKNOWN,true,"""Latent schizophrenia in remission""	""other psychosis""",
"""294771018""",UNKNOWN,true,"""Latent schizophrenia NOS""	""other psychosis""",
"""294773015""",UNKNOWN,true,"""Cyclic schizophrenia""	""schizophrenia""",
"""294787015""",UNKNOWN,true,"""Coenesthopathic schizophrenia""	""schizophrenia""",
"""294788013""",UNKNOWN,true,"""Cenesthopathic schizophrenia""	""schizophrenia""",
"""294789017""",UNKNOWN,true,"""Other schizophrenia NOS""	""schizophrenia""",
"""294790014""",UNKNOWN,true,"""Schizophrenia""	""schizophrenia""",
"""294802018""",UNKNOWN,true,"""Single manic episode, unspecified""	""bipolar""",
"""294803011""",UNKNOWN,true,"""Single manic episode, mild""	""bipolar""",
"""294804017""",UNKNOWN,true,"""Single manic episode, moderate""	""bipolar""",
"""294805016""",UNKNOWN,true,"""Single manic episode, severe""	""bipolar""",
"""294806015""",UNKNOWN,true,"""Single manic episode, severe, with psychosis""	""bipolar""",
"""294807012""",UNKNOWN,true,"""Single manic episode in partial remission""	""bipolar""",
"""294808019""",UNKNOWN,true,"""Single manic episode in full remission""	""bipolar""",
"""294809010""",UNKNOWN,true,"""Manic disorder, single episode NOS""	""bipolar""",
"""294810017""",UNKNOWN,true,"""Recurrent manic episodes""	""bipolar""",
"""294811018""",UNKNOWN,true,"""Recurrent manic episodes, unspecified""	""bipolar""",
"""294812013""",UNKNOWN,true,"""Recurrent manic episodes, mild""	""bipolar""",
"""294813015""",UNKNOWN,true,"""Recurrent manic episodes, moderate""	""bipolar""",
"""294815010""",UNKNOWN,true,"""Recurrent manic episodes, severe, with psychosis""	""bipolar""",
"""294817019""",UNKNOWN,true,"""Recurrent manic episodes, in full remission""	""bipolar""",
"""294818012""",UNKNOWN,true,"""Recurrent manic episode NOS""	""bipolar""",
"""294847017""",UNKNOWN,true,"""Manic-depressive - now manic""	""bipolar""",
"""294848010""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, unspecified""	""bipolar""",
"""294849019""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, mild""	""bipolar""",
"""294850019""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, moderate""	""bipolar""",
"""294858014""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, NOS""	""bipolar""",
"""294860011""",UNKNOWN,true,"""Manic-depressive - now depressed""	""bipolar""",
"""294861010""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, unspecified""	""bipolar""",
"""294862015""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, mild""	""bipolar""",
"""294863013""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, moderate""	""bipolar""",
"""294868016""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, NOS""	""bipolar""",
"""294869012""",UNKNOWN,true,"""Mixed bipolar affective disorder""	""bipolar""",
"""294870013""",UNKNOWN,true,"""Mixed bipolar affective disorder, unspecified""	""bipolar""",
"""294871012""",UNKNOWN,true,"""Mixed bipolar affective disorder, mild""	""bipolar""",
"""294872017""",UNKNOWN,true,"""Mixed bipolar affective disorder, moderate""	""bipolar""",
"""294874016""",UNKNOWN,true,"""Mixed bipolar affective disorder, severe, with psychosis""	""bipolar""",
"""294876019""",UNKNOWN,true,"""Mixed bipolar affective disorder, in full remission""	""bipolar""",
"""294877011""",UNKNOWN,true,"""Mixed bipolar affective disorder, NOS""	""bipolar""",
"""294880012""",UNKNOWN,true,"""Unspecified bipolar affective disorder""	""bipolar""",
"""294881011""",UNKNOWN,true,"""Unspecified bipolar affective disorder, unspecified""	""bipolar""",
"""294882016""",UNKNOWN,true,"""Mild bipolar disorder""	""bipolar""",
"""294883014""",UNKNOWN,true,"""Moderate bipolar disorder""	""bipolar""",
"""294887010""",UNKNOWN,true,"""Bipolar disorder in full remission""	""bipolar""",
"""294888017""",UNKNOWN,true,"""Unspecified bipolar affective disorder, NOS""	""bipolar""",
"""294891017""",UNKNOWN,true,"""Other and unspecified manic-depressive psychoses""	""bipolar""",
"""294892012""",UNKNOWN,true,"""Unspecified manic-depressive psychoses""	""bipolar""",
"""294893019""",UNKNOWN,true,"""Atypical manic disorder""	""bipolar""",
"""294895014""",UNKNOWN,true,"""Mixed bipolar I disorder""	""bipolar""",
"""294896010""",UNKNOWN,true,"""Other and unspecified manic-depressive psychoses NOS""	""bipolar""",
"""294897018""",UNKNOWN,true,"""Affective psychosis""	""other psychosis""",
"""294898011""",UNKNOWN,true,"""Unspecified affective psychoses NOS""	""other psychosis""",
"""294902017""",UNKNOWN,true,"""Other affective psychosis NOS""	""other psychosis""",
"""294904016""",UNKNOWN,true,"""Simple paranoid state""	""other psychosis""",
"""294908018""",UNKNOWN,true,"""Folie a deux""	""other psychosis""",
"""294909014""",UNKNOWN,true,"""Shared paranoid disorder""	""other psychosis""",
"""294910016""",UNKNOWN,true,"""Other paranoid states""	""other psychosis""",
"""294911017""",UNKNOWN,true,"""Paranoia querulans""	""other psychosis""",
"""294912012""",UNKNOWN,true,"""Other paranoid states NOS""	""other psychosis""",
"""294913019""",UNKNOWN,true,"""Paranoid psychosis""	""other psychosis""",
"""294924017""",UNKNOWN,true,"""Psychogenic paranoid psychosis""	""other psychosis""",
"""294926015""",UNKNOWN,true,"""Other reactive psychoses""	""other psychosis""",
"""294927012""",UNKNOWN,true,"""Psychogenic stupor""	""other psychosis""",
"""294929010""",UNKNOWN,true,"""Other reactive psychoses NOS""	""other psychosis""",
"""294949018""",UNKNOWN,true,"""Other specified non-organic psychoses""	""other psychosis""",
"""296022017""",UNKNOWN,true,"""[X]Schizophrenia, schizotypal and delusional disorders""	""other psychosis""",
"""296031017""",UNKNOWN,true,"""Undifferentiated schizophrenia""	""schizophrenia""",
"""296040018""",UNKNOWN,true,"""[X]Schizophrenia, unspecified""	""schizophrenia""",
"""296066015""",UNKNOWN,true,"""[X]Persistent delusional disorder, unspecified""	""other psychosis""",
"""296083012""",UNKNOWN,true,"""[X]Other acute and transient psychotic disorders""	""other psychosis""",
"""296095012""",UNKNOWN,true,"""[X]Other schizoaffective disorders""	""other psychosis""",
"""296096013""",UNKNOWN,true,"""[X]Schizoaffective disorder, unspecified""	""other psychosis""",
"""296110017""",UNKNOWN,true,"""Mania""	""bipolar""",
"""296118012""",UNKNOWN,true,"""[X]Other manic episodes""	""bipolar""",
"""296130018""",UNKNOWN,true,"""Bipolar disorder in remission""	""bipolar""",
"""296135011""",UNKNOWN,true,"""[X]Bipolar affective disorder, unspecified""	""bipolar""",
"""346895011""",UNKNOWN,true,"""Psychotic disorder""	""other psychosis""",
"""346896012""",UNKNOWN,true,"""Reactive psychoses""	""other psychosis""",
"""369805011""",UNKNOWN,true,"""Grandiose delusions""	""other psychosis""",
"""401763015""",UNKNOWN,true,"""Acute schizophrenic episode""	""schizophrenia""",
"""401764014""",UNKNOWN,true,"""Other schizophrenia""	""schizophrenia""",
"""401765010""",UNKNOWN,true,"""Manic disorder, single episode""	""bipolar""",
"""401768012""",UNKNOWN,true,"""Chronic paranoid psychosis""	""other psychosis""",
"""401770015""",UNKNOWN,true,"""Acute paranoid reaction""	""other psychosis""",
"""401771016""",UNKNOWN,true,"""Non-organic psychosis NOS""	""other psychosis""",
"""401855010""",UNKNOWN,true,"""[X]Other schizophrenia""	""schizophrenia""",
"""401856011""",UNKNOWN,true,"""Schizotypal personality disorder""	""other psychosis""",
"""401857019""",UNKNOWN,true,"""[X]Other persistent delusional disorders""	""other psychosis""",
"""401859016""",UNKNOWN,true,"""[X]Other acute predominantly delusional psychotic disorders""	""other psychosis""",
"""401860014""",UNKNOWN,true,"""[X]Acute and transient psychotic disorder, unspecified""	""other psychosis""",
"""401862018""",UNKNOWN,true,"""[X]Unspecified nonorganic psychosis""	""other psychosis""",
"""401863011""",UNKNOWN,true,"""[X]Mania with psychotic symptoms""	""bipolar""",
"""401864017""",UNKNOWN,true,"""[X]Manic episode, unspecified""	""bipolar""",
"""401865016""",UNKNOWN,true,"""[X]Other bipolar affective disorders""	""bipolar""",
"""402504012""",UNKNOWN,true,"""Psychotic condition, insight present""	""other psychosis""",
"""460273017""",UNKNOWN,true,"""[V]Personal history of schizophrenia""	""schizophrenia""",
"""480834016""",UNKNOWN,true,"""Delusions""	""other psychosis""",
"""492910018""",UNKNOWN,true,"""Ideas of reference""	""other psychosis""",
"""1219653018""",UNKNOWN,true,"""Atypical schizophrenia""	""schizophrenia""",
"""1227584015""",UNKNOWN,true,"""[V]Personal history of manic-depressive psychosis""	""bipolar""",
"""1234861017""",UNKNOWN,true,"""Chronic schizophrenic""	""schizophrenia""",
"""1780205015""",UNKNOWN,true,"""H/O: manic depressive disorder""	""bipolar""",
"""2157096015""",UNKNOWN,true,"""Manic mood""	""bipolar""",
"""2532965018""",UNKNOWN,true,"""Erotomania""	""other psychosis""",
"""2548181016""",UNKNOWN,true,"""Paranoid ideation""	""other psychosis""",
"""2549129012""",UNKNOWN,true,"""O/E - paranoid delusions""	""other psychosis""",
"""2549426013""",UNKNOWN,true,"""O/E - delusion of persecution""	""other psychosis""",
"""25461000006115""",UNKNOWN,true,"""Other nonorganic psychoses""	""other psychosis""",
"""78531000006116""",UNKNOWN,true,"""Unspecified schizo-affective schizophrenia""	""other psychosis""",
"""82091000006116""",UNKNOWN,true,"""Bipolar disorder in partial remission""	""bipolar""",
"""82151000006114""",UNKNOWN,true,"""Severe bipolar disorder without psychotic features""	""bipolar""",
"""82171000006116""",UNKNOWN,true,"""Severe bipolar disorder with psychotic features""	""bipolar""",
"""123611000006110""",UNKNOWN,true,"""Subchronic schizo-affective schizophrenia""	""other psychosis""",
"""155141000006116""",UNKNOWN,true,"""Schizoaffective schizophrenia""	""other psychosis""",
"""155151000006119""",UNKNOWN,true,"""Schizoaffective schizophrenia in remission""	""other psychosis""",
"""155161000006117""",UNKNOWN,true,"""Schizo-affective schizophrenia NOS""	""other psychosis""",
"""155281000006119""",UNKNOWN,true,"""Schizotypal personality""	""other psychosis""",
"""161371000006118""",UNKNOWN,true,"""Sander's disease""	""other psychosis""",
"""169061000006112""",UNKNOWN,true,"""Restzustand - schizophrenia""	""schizophrenia""",
"""182861000006110""",UNKNOWN,true,"""Recurrent manic episodes, in partial remission""	""bipolar""",
"""182871000006115""",UNKNOWN,true,"""Recurrent manic episodes, severe""	""bipolar""",
"""215691000006112""",UNKNOWN,true,"""Poor insight into psychotic condition""	""other psychosis""",
"""215841000000114""",UNKNOWN,true,"""Delusional disorder""	""other psychosis""",
"""215851000000112""",UNKNOWN,true,"""[X]Paranoid psychosis""	""other psychosis""",
"""215871000000115""",UNKNOWN,true,"""[X]Paranoia""	""other psychosis""",
"""223601000000119""",UNKNOWN,true,"""Manic psychosis""	""bipolar""",
"""223611000000117""",UNKNOWN,true,"""Non-organic psychosis""	""other psychosis""",
"""243361000006117""",UNKNOWN,true,"""Paranoid disorder""	""other psychosis""",
"""300411000000110""",UNKNOWN,true,"""H/O: psychosis""	""other psychosis""",
"""362271000006110""",UNKNOWN,true,"""Acute transient psychotic disorder""	""other psychosis""",
"""362381000006115""",UNKNOWN,true,"""Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia""	""other psychosis""",
"""362391000006117""",UNKNOWN,true,"""Acute polymorphic psychotic disorder without symptoms of schizophrenia""	""other psychosis""",
"""362421000006113""",UNKNOWN,true,"""Acute schizophrenia-like psychotic disorder""	""other psychosis""",
"""362781000006116""",UNKNOWN,true,"""[X]Affective psychosis NOS""	""other psychosis""",
"""366571000006114""",UNKNOWN,true,"""[X]Atypical schizophrenia""	""schizophrenia""",
"""367051000006112""",UNKNOWN,true,"""Severe depressed bipolar I disorder without psychotic features""	""bipolar""",
"""367061000006114""",UNKNOWN,true,"""Psychosis and severe depression co-occurrent and due to bipolar affective disorder""	""bipolar""",
"""367071000006119""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, severe, with psychosis""	""bipolar""",
"""367081000006116""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi manic wout psychotic symp""	""bipolar""",
"""367091000006118""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi mild or moderate depressn""	""bipolar""",
"""367101000006112""",UNKNOWN,true,"""Bipolar affective disorder""	""bipolar""",
"""367111000006110""",UNKNOWN,true,"""Bipolar affective disorder, current episode hypomanic""	""bipolar""",
"""367121000006119""",UNKNOWN,true,"""[X]Bipolar affective disorder, current episode mixed""	""bipolar""",
"""367151000006111""",UNKNOWN,true,"""[X]Bipolar disorder, single manic episode""	""bipolar""",
"""367161000006113""",UNKNOWN,true,"""[X]Bipolar II disorder""	""bipolar""",
"""367951000006113""",UNKNOWN,true,"""Borderline schizophrenia""	""other psychosis""",
"""367961000006110""",UNKNOWN,true,"""[X]Bouffee delirante""	""other psychosis""",
"""367971000006115""",UNKNOWN,true,"""[X]Bouffee delirante with symptoms of schizophrenia""	""other psychosis""",
"""367991000006119""",UNKNOWN,true,"""[X]Brief reactive psychosis NOS""	""other psychosis""",
"""368001000006112""",UNKNOWN,true,"""[X]Brief schizophreniform disorder""	""other psychosis""",
"""368011000006110""",UNKNOWN,true,"""[X]Brief schizophrenifrm psych""	""other psychosis""",
"""370451000006110""",UNKNOWN,true,"""[X]Catatonic schizophrenia""	""schizophrenia""",
"""370461000006112""",UNKNOWN,true,"""[X]Catatonic stupor""	""schizophrenia""",
"""370631000006117""",UNKNOWN,true,"""[X]Cenesthopathic schizophrenia""	""schizophrenia""",
"""370981000006112""",UNKNOWN,true,"""[X]Chronic hallucinatory psychosis""	""other psychosis""",
"""371031000006115""",UNKNOWN,true,"""[X]Chronic undifferentiated schizophrenia""	""schizophrenia""",
"""376251000006112""",UNKNOWN,true,"""[X]Cyclic schizophrenia""	""schizophrenia""",
"""376271000006119""",UNKNOWN,true,"""[X]Cycloid psychosis""	""other psychosis""",
"""376281000006116""",UNKNOWN,true,"""Cycloid psychosis""	""other psychosis""",
"""376501000006110""",UNKNOWN,true,"""[X]Delusional dysmorphophobia""	""other psychosis""",
"""378051000006119""",UNKNOWN,true,"""[X]Disorganised schizophrenia""	""schizophrenia""",
"""387071000006117""",UNKNOWN,true,"""[X]Folie a deux""	""other psychosis""",
"""388741000006110""",UNKNOWN,true,"""[X]Hebephrenic schizophrenia""	""schizophrenia""",
"""389401000006111""",UNKNOWN,true,"""Hypomania""	""bipolar""",
"""389641000006110""",UNKNOWN,true,"""Induced delusional disorder""	""other psychosis""",
"""389651000006112""",UNKNOWN,true,"""[X]Induced paranoid disorder""	""other psychosis""",
