code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""33469""",UNKNOWN,true,"""Eu33200""	2196	0	41	0	""[x]recurr depress disorder cur epi severe without psyc sympt""	""February 2009""",
"""7011""",UNKNOWN,true,"""E112z00""	2884	0	288	0	""single major depressive episode nos""	""February 2009""",
"""15220""",UNKNOWN,true,"""Eu34114""	8355	0	317	0	""[x]persistant anxiety depression""	""February 2009""",
"""8584""",UNKNOWN,true,"""Eu34111""	1627	0	19	0	""[x]depressive neurosis""	""February 2009""",
"""7737""",UNKNOWN,true,"""Eu34113""	6359	0	21	0	""[x]neurotic depression""	""February 2009""",
"""42931""",UNKNOWN,true,"""9HA0.00""	22735	0	3	0	""on depression register""	""February 2009""",
"""34390""",UNKNOWN,true,"""E112000""	1895	0	18	0	""single major depressive episode, unspecified""	""February 2009""",
"""1131""",UNKNOWN,true,"""E204.00""	312163	0	8023	2	""neurotic depression reactive type""	""February 2009""",
"""2716""",UNKNOWN,true,"""1465.00""	419882	0	12983	13	""h/o: depression""	""February 2009""",
"""100977""",UNKNOWN,true,"""1JJ..00""	7561	0	170	0	""suspected depression""	""November 2010""",
"""98414""",UNKNOWN,true,"""Eu32700""	3034	0	17	0	""[x]major depression, severe without psychotic symptoms""	""January 2010""",
"""2560""",UNKNOWN,true,"""E11..12""	6948	0	410	0	""depressive psychoses""	""February 2009""",
"""32841""",UNKNOWN,true,"""8HHq.00""	3019	0	1199	0	""referral for guided self-help for depression""	""February 2009""",
"""96995""",UNKNOWN,true,"""9kQ..00""	12	0	0	0	""on full dose long term treatment depression - enh serv admin""	""June 2009""",
"""28008""",UNKNOWN,true,"""Eu3y.00""	199	0	3	0	""[x]other mood affective disorders""	""February 2009""",
"""24171""",UNKNOWN,true,"""E113400""	830	0	9	0	""recurrent major depressive episodes, severe, with psychosis""	""February 2009""",
"""112682""",UNKNOWN,true,"""8IH5200""	0	0	0	0	""referral for guided self-help for depression declined""	""May 2018""",
"""22116""",UNKNOWN,true,"""Eu33400""	846	0	2	0	""[x]recurrent depressive disorder, currently in remission""	""February 2009""",
"""47009""",UNKNOWN,true,"""Eu33300""	1319	0	11	0	""[x]recurrent depress disorder cur epi severe with psyc symp""	""February 2009""",
"""324""",UNKNOWN,true,"""E2B..00""	2138913	0	93992	94	""depressive disorder nec""	""February 2009""",
"""44300""",UNKNOWN,true,"""Eu33z00""	3426	0	23	0	""[x]recurrent depressive disorder, unspecified""	""February 2009""",
"""27491""",UNKNOWN,true,"""E11y200""	253	0	14	0	""atypical depressive disorder""	""February 2009""",
"""1996""",UNKNOWN,true,"""1B17.00""	554690	0	18306	0	""depressed""	""February 2009""",
"""30483""",UNKNOWN,true,"""8CAa.00""	58220	0	9	0	""patient given advice about management of depression""	""February 2009""",
"""15219""",UNKNOWN,true,"""E112300""	3907	0	43	0	""single major depressive episode, severe, without psychosis""	""February 2009""",
"""30405""",UNKNOWN,true,"""9H92.00""	949191	0	6069	0	""depression interim review""	""February 2009""",
"""51258""",UNKNOWN,true,"""9Ov..00""	23125	0	108	0	""depression monitoring administration""	""February 2009""",
"""543""",UNKNOWN,true,"""Eu32z11""	961249	0	24246	1	""[x]depression nos""	""February 2009""",
"""98252""",UNKNOWN,true,"""Eu32600""	3053	0	16	0	""[x]major depression, moderately severe""	""December 2009""",
"""19439""",UNKNOWN,true,"""212S.00""	79704	0	101	0	""depression resolved""	""February 2009""",
"""12122""",UNKNOWN,true,"""9H91.00""	154958	0	266	0	""depression medication review""	""February 2009""",
"""56273""",UNKNOWN,true,"""E113500""	240	0	9	0	""recurrent major depressive episodes,partial/unspec remission""	""February 2009""",
"""9796""",UNKNOWN,true,"""1B1U.00""	312270	0	12791	0	""symptoms of depression""	""February 2009""",
"""15155""",UNKNOWN,true,"""E112200""	19369	0	173	0	""single major depressive episode, moderate""	""February 2009""",
"""16632""",UNKNOWN,true,"""E291.00""	2892	0	122	0	""prolonged depressive reaction""	""February 2009""",
"""6932""",UNKNOWN,true,"""E113.11""	107117	0	5132	0	""endogenous depression - recurrent""	""February 2009""",
"""47731""",UNKNOWN,true,"""Eu33y00""	345	0	3	0	""[x]other recurrent depressive disorders""	""February 2009""",
"""71009""",UNKNOWN,true,"""9Ov0.00""	42035	0	32	0	""depression monitoring first letter""	""February 2009""",
"""32941""",UNKNOWN,true,"""Eu33313""	426	0	27	0	""[x]recurr severe episodes/major depression+psychotic symptom""	""February 2009""",
"""37764""",UNKNOWN,true,"""Eu33316""	106	0	7	0	""[x]recurrent severe episodes/reactive depressive psychosis""	""February 2009""",
"""16861""",UNKNOWN,true,"""Eu33315""	615	0	20	0	""[x]recurrent severe episodes of psychotic depression""	""February 2009""",
"""31757""",UNKNOWN,true,"""Eu33314""	60	0	3	0	""[x]recurr severe episodes/psychogenic depressive psychosis""	""February 2009""",
"""4824""",UNKNOWN,true,"""1B17.11""	372686	0	15440	0	""c/o - feeling depressed""	""February 2009""",
"""65435""",UNKNOWN,true,"""9k40.00""	25674	0	1	0	""depression - enhanced service completed""	""February 2009""",
"""29579""",UNKNOWN,true,"""Eu3yy00""	47	0	1	0	""[x]other specified mood affective disorders""	""February 2009""",
"""88644""",UNKNOWN,true,"""9Ov3.00""	2961	0	6	0	""depression monitoring verbal invite""	""February 2009""",
"""39767""",UNKNOWN,true,"""Eu34z00""	67	0	4	0	""[x]persistent mood affective disorder, unspecified""	""February 2009""",
"""43239""",UNKNOWN,true,"""9hC1.00""	52950	0	1	0	""excepted from depression quality indicators: informed dissen""	""February 2009""",
"""14709""",UNKNOWN,true,"""E113200""	19659	0	320	0	""recurrent major depressive episodes, moderate""	""February 2009""",
"""9183""",UNKNOWN,true,"""E11z200""	3888	0	81	0	""masked depression""	""February 2009""",
