code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""group""",
"""92994""",UNKNOWN,true,"""Cenesthopathic schizophrenia""	""schizophrenia""",
"""2741""",UNKNOWN,true,"""[X]Hypomania""	""bipolar""",
"""15958""",UNKNOWN,true,"""Non-organic psychoses""	""other psychosis""",
"""50023""",UNKNOWN,true,"""[X]Bouffee delirante""	""other psychosis""",
"""21455""",UNKNOWN,true,"""[X]Cycloid psychosis""	""other psychosis""",
"""102446""",UNKNOWN,true,"""Latent schizophrenia NOS""	""other psychosis""",
"""12831""",UNKNOWN,true,"""Manic-depressive - now depressed""	""bipolar""",
"""70925""",UNKNOWN,true,"""Atypical manic disorder""	""bipolar""",
"""4261""",UNKNOWN,true,"""Paranoid states""	""other psychosis""",
"""24640""",UNKNOWN,true,"""Single manic episode, moderate""	""bipolar""",
"""40981""",UNKNOWN,true,"""[X]Delusional dysmorphophobia""	""other psychosis""",
"""60178""",UNKNOWN,true,"""Other and unspecified manic-depressive psychoses""	""bipolar""",
"""31984""",UNKNOWN,true,"""Other nonorganic psychoses""	""other psychosis""",
"""32875""",UNKNOWN,true,"""Grandiose delusions""	""other psychosis""",
"""36611""",UNKNOWN,true,"""Manic disorder, single episode NOS""	""bipolar""",
"""16905""",UNKNOWN,true,"""[X]Schizoaffective psychosis, manic type""	""other psychosis""",
"""104051""",UNKNOWN,true,"""[X]Bipolar II disorder""	""bipolar""",
"""59011""",UNKNOWN,true,"""Bipolar affect disord,currently manic, part/unspec remission""	""bipolar""",
"""55064""",UNKNOWN,true,"""Mixed bipolar affective disorder, in full remission""	""bipolar""",
"""11055""",UNKNOWN,true,"""[X]Schizoaffective disorder, depressive type""	""other psychosis""",
"""15053""",UNKNOWN,true,"""Acute paranoid reaction""	""other psychosis""",
"""36720""",UNKNOWN,true,"""[X]Acute polymorphic psychot disord without symp of schizoph""	""other psychosis""",
"""11778""",UNKNOWN,true,"""[X]Acute schizophrenia-like psychotic disorder""	""other psychosis""",
"""16644""",UNKNOWN,true,"""Morbid jealousy""	""other psychosis""",
"""27584""",UNKNOWN,true,"""[X]Bipolar affective disorder, currently in remission""	""bipolar""",
"""34168""",UNKNOWN,true,"""[X]Acute and transient psychotic disorder, unspecified""	""other psychosis""",
"""4390""",UNKNOWN,true,"""Psychotic condition, insight present""	""other psychosis""",
"""70721""",UNKNOWN,true,"""Unspecified bipolar affect disord, partial/unspec remission""	""bipolar""",
"""43800""",UNKNOWN,true,"""Chronic schizo-affective schizophrenia""	""other psychosis""",
"""32088""",UNKNOWN,true,"""[X]Other manic episodes""	""bipolar""",
"""104763""",UNKNOWN,true,"""[X]Cyclic schizophrenia""	""schizophrenia""",
"""53032""",UNKNOWN,true,"""Acute exacerbation of chronic paranoid schizophrenia""	""schizophrenia""",
"""46425""",UNKNOWN,true,"""Recurrent manic episodes, mild""	""bipolar""",
"""52523""",UNKNOWN,true,"""O/E - delusion of persecution""	""other psychosis""",
"""54607""",UNKNOWN,true,"""Unspecified affective psychoses NOS""	""other psychosis""",
"""31633""",UNKNOWN,true,"""[X]Affective psychosis NOS""	""other psychosis""",
"""19967""",UNKNOWN,true,"""Recurrent manic episodes, unspecified""	""bipolar""",
"""14784""",UNKNOWN,true,"""Unspecified bipolar affective disorder""	""bipolar""",
"""55829""",UNKNOWN,true,"""Bipolar affect disord, currently manic,severe with psychosis""	""bipolar""",
"""64264""",UNKNOWN,true,"""[X]Residual schizophrenia""	""schizophrenia""",
"""22713""",UNKNOWN,true,"""Manic mood""	""bipolar""",
"""25019""",UNKNOWN,true,"""[X]Acute and transient psychotic disorders""	""other psychosis""",
"""23713""",UNKNOWN,true,"""[X]Bipol aff disord, curr epis sev depress, no psychot symp""	""bipolar""",
"""17385""",UNKNOWN,true,"""Manic-depressive - now manic""	""bipolar""",
"""22188""",UNKNOWN,true,"""Non-organic psychosis NOS""	""other psychosis""",
"""91547""",UNKNOWN,true,"""[X]Atypical schizophrenia""	""schizophrenia""",
"""33426""",UNKNOWN,true,"""Other and unspecified manic-depressive psychoses NOS""	""bipolar""",
"""55236""",UNKNOWN,true,"""[X]Paranoia querulans""	""other psychosis""",
"""14728""",UNKNOWN,true,"""Single manic episode, mild""	""bipolar""",
"""49852""",UNKNOWN,true,"""[X]Pseudoneurotic schizophrenia""	""other psychosis""",
"""57605""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, NOS""	""bipolar""",
"""37681""",UNKNOWN,true,"""[X]Schizoaffective disorder, unspecified""	""other psychosis""",
"""24689""",UNKNOWN,true,"""Mixed bipolar affective disorder, mild""	""bipolar""",
"""16764""",UNKNOWN,true,"""[X]Paranoid schizophrenia""	""schizophrenia""",
"""20228""",UNKNOWN,true,"""Reactive psychoses""	""other psychosis""",
"""61098""",UNKNOWN,true,"""Subchronic schizo-affective schizophrenia""	""other psychosis""",
"""24345""",UNKNOWN,true,"""Psychogenic paranoid psychosis""	""other psychosis""",
"""14965""",UNKNOWN,true,"""Nonorganic psychosis NOS""	""other psychosis""",
"""51322""",UNKNOWN,true,"""Acute exacerbation of subchronic paranoid schizophrenia""	""schizophrenia""",
"""27739""",UNKNOWN,true,"""Recurrent manic episodes, moderate""	""bipolar""",
"""70884""",UNKNOWN,true,"""[X]Brief schizophrenifrm psych""	""other psychosis""",
"""94604""",UNKNOWN,true,"""[X]Schizophrenic reaction""	""other psychosis""",
"""8407""",UNKNOWN,true,"""Schizophrenia NOS""	""schizophrenia""",
"""30985""",UNKNOWN,true,"""[X]Other nonorganic psychotic disorders""	""other psychosis""",
"""47947""",UNKNOWN,true,"""[X]Paraphrenia - late""	""other psychosis""",
"""65127""",UNKNOWN,true,"""[X]Sensitiver Beziehungswahn""	""other psychosis""",
"""4843""",UNKNOWN,true,"""[X]Paranoia""	""other psychosis""",
"""29651""",UNKNOWN,true,"""[X]Reactive psychosis""	""other psychosis""",
"""31707""",UNKNOWN,true,"""[X]Brief reactive psychosis NOS""	""other psychosis""",
"""49420""",UNKNOWN,true,"""[X]Other schizophrenia""	""schizophrenia""",
"""70399""",UNKNOWN,true,"""Other mixed manic-depressive psychoses""	""bipolar""",
"""39316""",UNKNOWN,true,"""[X]Schizotypal disorder""	""other psychosis""",
"""37070""",UNKNOWN,true,"""Manic disorder, single episode""	""bipolar""",
"""16537""",UNKNOWN,true,"""Other specified non-organic psychoses""	""other psychosis""",
"""15733""",UNKNOWN,true,"""Unspecified schizophrenia""	""schizophrenia""",
"""6325""",UNKNOWN,true,"""H/O: schizophrenia""	""schizophrenia""",
"""11172""",UNKNOWN,true,"""[X]Paranoid state""	""other psychosis""",
"""24230""",UNKNOWN,true,"""Unspecified bipolar affective disorder, in full remission""	""bipolar""",
"""16347""",UNKNOWN,true,"""Bipolar affect disord, currently manic, severe, no psychosis""	""bipolar""",
"""1915""",UNKNOWN,true,"""Delusions""	""other psychosis""",
"""35848""",UNKNOWN,true,"""[X]Simple schizophrenia""	""schizophrenia""",
"""66410""",UNKNOWN,true,"""Latent schizophrenia""	""other psychosis""",
"""101720""",UNKNOWN,true,"""[X]Paranoid state in remission""	""other psychosis""",
"""85972""",UNKNOWN,true,"""Psychosis resolved""	""other psychosis""",
"""28277""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi manic with psychotic symp""	""bipolar""",
"""4732""",UNKNOWN,true,"""[X]Bipolar affect dis cur epi severe depres with psyc symp""	""bipolar""",
"""33751""",UNKNOWN,true,"""[X]Bipolar affective disorder, unspecified""	""bipolar""",
"""12173""",UNKNOWN,true,"""[X]Manic episode""	""bipolar""",
"""21595""",UNKNOWN,true,"""[X]Acute polymorphic psychot disord with symp of schizophren""	""other psychosis""",
"""58862""",UNKNOWN,true,"""Unspecified schizo-affective schizophrenia""	""other psychosis""",
"""58716""",UNKNOWN,true,"""Unspecified catatonic schizophrenia""	""schizophrenia""",
"""20110""",UNKNOWN,true,"""Single manic episode, unspecified""	""bipolar""",
"""50060""",UNKNOWN,true,"""[X]Paraphrenic schizophrenia""	""schizophrenia""",
"""12472""",UNKNOWN,true,"""O/E - paranoid delusions""	""other psychosis""",
"""28677""",UNKNOWN,true,"""[X]Manic-depress psychosis,depressed type+psychotic symptoms""	""bipolar""",
"""26119""",UNKNOWN,true,"""Other reactive psychoses NOS""	""other psychosis""",
"""99070""",UNKNOWN,true,"""Coenesthopathic schizophrenia""	""schizophrenia""",
"""57666""",UNKNOWN,true,"""Acute exacerbation of subchronic schizophrenia""	""schizophrenia""",
"""41022""",UNKNOWN,true,"""[X]Schizophreniform psychosis, depressive type""	""other psychosis""",
"""50248""",UNKNOWN,true,"""[X]Involutional paranoid state""	""other psychosis""",
"""66506""",UNKNOWN,true,"""Unspecified hebephrenic schizophrenia""	""schizophrenia""",
"""30282""",UNKNOWN,true,"""Profile of mood states, bipolar""	""bipolar""",
"""58532""",UNKNOWN,true,"""[X]Other schizoaffective disorders""	""other psychosis""",
"""30688""",UNKNOWN,true,"""[X]Mixed affective episode""	""bipolar""",
"""15923""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, unspecified""	""bipolar""",
"""1531""",UNKNOWN,true,"""[X]Manic-depressive illness""	""bipolar""",
"""6710""",UNKNOWN,true,"""[X]Manic-depressive psychosis""	""bipolar""",
"""66153""",UNKNOWN,true,"""[X]Manic-depressive reaction""	""bipolar""",
"""31535""",UNKNOWN,true,"""Mixed bipolar affective disorder, unspecified""	""bipolar""",
"""22104""",UNKNOWN,true,"""[V]Personal history of schizophrenia""	""schizophrenia""",
"""62680""",UNKNOWN,true,"""Shared paranoid disorder""	""other psychosis""",
"""9422""",UNKNOWN,true,"""[X]Schizoaffective disorders""	""other psychosis""",
"""58863""",UNKNOWN,true,"""Recurrent manic episodes, partial or unspecified remission""	""bipolar""",
"""31738""",UNKNOWN,true,"""[X]Chronic hallucinatory psychosis""	""other psychosis""",
"""49761""",UNKNOWN,true,"""Other schizophrenia NOS""	""schizophrenia""",
"""33847""",UNKNOWN,true,"""[X]Schizoaffective disorder, manic type""	""other psychosis""",
"""21065""",UNKNOWN,true,"""[X]Mania with psychotic symptoms""	""bipolar""",
"""33410""",UNKNOWN,true,"""[X]Schizoaffective psychosis NOS""	""other psychosis""",
"""11548""",UNKNOWN,true,"""H/O: manic depressive disorder""	""bipolar""",
"""96883""",UNKNOWN,true,"""Latent schizophrenia in remission""	""other psychosis""",
"""694""",UNKNOWN,true,"""[X]Psychosis NOS""	""other psychosis""",
"""31362""",UNKNOWN,true,"""Chronic paranoid schizophrenia""	""schizophrenia""",
"""47230""",UNKNOWN,true,"""[X]Induced paranoid disorder""	""other psychosis""",
"""11973""",UNKNOWN,true,"""[X]Induced psychotic disorder""	""other psychosis""",
"""105606""",UNKNOWN,true,"""[X]Folie a deux""	""other psychosis""",
"""53625""",UNKNOWN,true,"""Simple schizophrenia NOS""	""schizophrenia""",
"""30619""",UNKNOWN,true,"""Hebephrenic schizophrenia""	""schizophrenia""",
"""1494""",UNKNOWN,true,"""Paranoid schizophrenia""	""schizophrenia""",
"""48632""",UNKNOWN,true,"""[X]Mania with mood-incongruent psychotic symptoms""	""bipolar""",
"""854""",UNKNOWN,true,"""Schizophrenic disorders""	""schizophrenia""",
"""46434""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, moderate""	""bipolar""",
"""3636""",UNKNOWN,true,"""Psychotic episode NOS""	""other psychosis""",
"""34389""",UNKNOWN,true,"""[X]Delusional disorder""	""other psychosis""",
"""18909""",UNKNOWN,true,"""Hypomanic psychoses""	""bipolar""",
"""49223""",UNKNOWN,true,"""[X]Persistent delusional disorder, unspecified""	""other psychosis""",
"""16562""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi mild or moderate depressn""	""bipolar""",
"""17982""",UNKNOWN,true,"""Delusion""	""other psychosis""",
"""38063""",UNKNOWN,true,"""Residual schizophrenia""	""schizophrenia""",
"""4677""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed""	""bipolar""",
"""99199""",UNKNOWN,true,"""Subchronic catatonic schizophrenia""	""schizophrenia""",
"""104760""",UNKNOWN,true,"""Subchronic paranoid schizophrenia""	""schizophrenia""",
"""26227""",UNKNOWN,true,"""Recurrent manic episodes""	""bipolar""",
"""51903""",UNKNOWN,true,"""[X]Schizophreniform psychosis, manic type""	""other psychosis""",
"""115050""",UNKNOWN,true,"""[X]Bouffee delirante with symptoms of schizophrenia""	""other psychosis""",
"""26143""",UNKNOWN,true,"""[X]Cycloid psychosis with symptoms of schizophrenia""	""other psychosis""",
"""33338""",UNKNOWN,true,"""Atypical schizophrenia""	""schizophrenia""",
"""9521""",UNKNOWN,true,"""[X]Bipolar disorder, single manic episode""	""bipolar""",
"""35734""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, mild""	""bipolar""",
"""68326""",UNKNOWN,true,"""Unspecified bipolar affective disorder,severe with psychosis""	""bipolar""",
"""85102""",UNKNOWN,true,"""Bipolar affective disorder resolved""	""bipolar""",
"""55479""",UNKNOWN,true,"""Ideas of reference""	""other psychosis""",
"""65811""",UNKNOWN,true,"""Recurrent manic episodes, severe without mention psychosis""	""bipolar""",
"""6874""",UNKNOWN,true,"""[X]Bipolar affective disorder""	""bipolar""",
"""66766""",UNKNOWN,true,"""Paranoia querulans""	""other psychosis""",
"""8766""",UNKNOWN,true,"""[X]Symptomatic psychosis NOS""	""other psychosis""",
"""91511""",UNKNOWN,true,"""[X]Latent schizophrenic reaction""	""other psychosis""",
"""64993""",UNKNOWN,true,"""[X]Latent schizophrenia""	""other psychosis""",
"""54387""",UNKNOWN,true,"""[X]Borderline schizophrenia""	""other psychosis""",
"""40386""",UNKNOWN,true,"""[X]Prodromal schizophrenia""	""other psychosis""",
"""62449""",UNKNOWN,true,"""[X]Prepsychotic schizophrenia""	""other psychosis""",
"""71250""",UNKNOWN,true,"""[X]Pseudopsychopathic schizophrenia""	""other psychosis""",
"""26859""",UNKNOWN,true,"""[X]Schizotypal personality disorder""	""other psychosis""",
"""50868""",UNKNOWN,true,"""Folie a deux""	""other psychosis""",
"""44513""",UNKNOWN,true,"""[X]Manic episode, unspecified""	""bipolar""",
"""114206""",UNKNOWN,true,"""Acute exacerbation of chronic latent schizophrenia""	""other psychosis""",
"""94299""",UNKNOWN,true,"""Chronic latent schizophrenia""	""other psychosis""",
"""32295""",UNKNOWN,true,"""Recurrent manic episodes, severe, with psychosis""	""bipolar""",
"""113529""",UNKNOWN,true,"""Chronic catatonic schizophrenia""	""schizophrenia""",
"""46415""",UNKNOWN,true,"""Recurrent manic episode NOS""	""bipolar""",
"""63867""",UNKNOWN,true,"""Catatonic schizophrenia NOS""	""schizophrenia""",
"""44498""",UNKNOWN,true,"""Acute exacerbation of chronic schizophrenia""	""schizophrenia""",
"""12771""",UNKNOWN,true,"""Paranoid psychosis NOS""	""other psychosis""",
"""63651""",UNKNOWN,true,"""Mixed bipolar affective disorder, partial/unspec remission""	""bipolar""",
"""36126""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, mild""	""bipolar""",
"""34236""",UNKNOWN,true,"""[X]Schizophrenia""	""schizophrenia""",
"""101987""",UNKNOWN,true,"""[X]Nonorganic psychosis in remission""	""other psychosis""",
"""51302""",UNKNOWN,true,"""[X]Induced delusional disorder""	""other psychosis""",
"""63150""",UNKNOWN,true,"""Mixed bipolar affective disorder, moderate""	""bipolar""",
"""62405""",UNKNOWN,true,"""[X]Delusional misidentification syndrome""	""other psychosis""",
"""17281""",UNKNOWN,true,"""[X]Schizophrenia, schizotypal and delusional disorders""	""other psychosis""",
"""37102""",UNKNOWN,true,"""[X]Mania with mood-congruent psychotic symptoms""	""bipolar""",
