code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Insulin""",
"""7341000033112""",UNKNOWN,true,"""Actrapid Mc  Injection  100 units/1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""9641000033112""",UNKNOWN,true,"""Human Actrapid  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""148841000033116""",UNKNOWN,true,"""Biphasic Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""266641000033113""",UNKNOWN,true,"""Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""266741000033116""",UNKNOWN,true,"""Clinipak  Disposable insulin syringe with needle  1 ml, 30g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""444941000033119""",UNKNOWN,true,"""Disposable  Insulin syringe with needle  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""445041000033119""",UNKNOWN,true,"""Disposable  Insulin syringe with needle  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""719841000033112""",UNKNOWN,true,"""Humulin I  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""719941000033116""",UNKNOWN,true,"""Humulin M1  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720041000033118""",UNKNOWN,true,"""Humulin M2  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720141000033119""",UNKNOWN,true,"""Humulin M3 (Lilly)  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720241000033114""",UNKNOWN,true,"""Humulin M4  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720341000033116""",UNKNOWN,true,"""Humulin S  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720441000033110""",UNKNOWN,true,"""Humulin M5  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""720541000033111""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""720941000033117""",UNKNOWN,true,"""Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""721041000033110""",UNKNOWN,true,"""Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""721141000033114""",UNKNOWN,true,"""Humulin M5 50/50  Cartridges""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""721641000033116""",UNKNOWN,true,"""Human Insulatard Ge  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""722841000033112""",UNKNOWN,true,"""Humulin M5 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml""	NA	""Insulin""",
