code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Metformin""",
"""43684""",UNKNOWN,true,"42448	""Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)""	""Metformin""	""1gram + 50mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""30316""",UNKNOWN,true,"8156	""Metformin with pioglitazone 850mg + 15mg Tablet""	""Metformin""	""850mg + 15mg""	""Tablet""	""Oral""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin""",
"""73808""",UNKNOWN,true,"2	""Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""62265""",UNKNOWN,true,"0	""Metformin 500mg modified-release tablets (Mawdsley-Brooks & Company Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""60074""",UNKNOWN,true,"0	""Metformin 1g modified-release tablets (Waymade Healthcare Plc)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""50570""",UNKNOWN,true,"1	""Glucophage SR 500mg tablets (Lexon (UK) Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""63031""",UNKNOWN,true,"2032	""Dapagliflozin 5mg / Metformin 850mg tablets""	""Metformin""	""850mg + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""48149""",UNKNOWN,true,"1	""Metformin 500mg tablets (Almus Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""58865""",UNKNOWN,true,"65	""Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)""	""Metformin""	""850mg + 2.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""11609""",UNKNOWN,true,"569	""Metformin with rosiglitazone 500mg + 1mg Tablet""	""Metformin""	""500mg + 1mg""	""Tablet""	""Oral""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin""",
"""49738""",UNKNOWN,true,"29	""Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
