code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""100139""",UNKNOWN,true,"""14AT.00""	""history of myocardial infarction""",
"""10562""",UNKNOWN,true,"""G307100""	""acute non-st segment elevation myocardial infarction""",
"""106812""",UNKNOWN,true,"""G383.00""	""postoperative transmural myocardial infarction unspec site""",
"""109035""",UNKNOWN,true,"""Gyu3500""	""[x]subsequent myocardial infarction of other sites""",
"""1204""",UNKNOWN,true,"""G30..14""	""heart attack""",
"""12139""",UNKNOWN,true,"""G300.00""	""acute anterolateral infarction""",
"""12229""",UNKNOWN,true,"""G30X000""	""acute st segment elevation myocardial infarction""",
"""13571""",UNKNOWN,true,"""G30..16""	""thrombosis - coronary""",
"""14658""",UNKNOWN,true,"""G30z.00""	""acute myocardial infarction nos""",
"""14897""",UNKNOWN,true,"""G301z00""	""anterior myocardial infarction nos""",
"""14898""",UNKNOWN,true,"""G305.00""	""lateral myocardial infarction nos""",
"""16408""",UNKNOWN,true,"""G32..11""	""healed myocardial infarction""",
"""1677""",UNKNOWN,true,"""G30..15""	""mi - acute myocardial infarction""",
"""1678""",UNKNOWN,true,"""G308.00""	""inferior myocardial infarction nos""",
"""17464""",UNKNOWN,true,"""G32..12""	""personal history of myocardial infarction""",
"""17689""",UNKNOWN,true,"""G30..17""	""silent myocardial infarction""",
"""17872""",UNKNOWN,true,"""G301100""	""acute anteroseptal infarction""",
"""18842""",UNKNOWN,true,"""G35..00""	""subsequent myocardial infarction""",
"""23579""",UNKNOWN,true,"""G310.00""	""postmyocardial infarction syndrome""",
"""23892""",UNKNOWN,true,"""G304.00""	""posterior myocardial infarction nos""",
"""241""",UNKNOWN,true,"""G30..00""	""acute myocardial infarction""",
"""2491""",UNKNOWN,true,"""G30..12""	""coronary thrombosis""",
"""29643""",UNKNOWN,true,"""G303.00""	""acute inferoposterior infarction""",
"""29758""",UNKNOWN,true,"""G30X.00""	""acute transmural myocardial infarction of unspecif site""",
"""30421""",UNKNOWN,true,"""G30..13""	""cardiac rupture following myocardial infarction (mi)""",
"""32272""",UNKNOWN,true,"""G38..00""	""postoperative myocardial infarction""",
"""32854""",UNKNOWN,true,"""G30B.00""	""acute posterolateral myocardial infarction""",
"""33650""",UNKNOWN,true,"""7929100""	""percut transluminal coronary thrombolysis with streptokinase""",
"""34803""",UNKNOWN,true,"""G30y.00""	""other acute myocardial infarction""",
"""35674""",UNKNOWN,true,"""14A3.00""	""h/o: myocardial infarct <60""",
"""36423""",UNKNOWN,true,"""G36..00""	""certain current complication follow acute myocardial infarct""",
"""3704""",UNKNOWN,true,"""G307.00""	""acute subendocardial infarction""",
"""38609""",UNKNOWN,true,"""G351.00""	""subsequent myocardial infarction of inferior wall""",
"""39904""",UNKNOWN,true,"""3232.00""	""ecg: old myocardial infarction""",
"""4017""",UNKNOWN,true,"""G32..00""	""old myocardial infarction""",
"""40399""",UNKNOWN,true,"""14A4.00""	""h/o: myocardial infarct >60""",
"""40996""",UNKNOWN,true,"""7929111""	""percut translum coronary thrombolytic therapy- streptokinase""",
"""41835""",UNKNOWN,true,"""G384.00""	""postoperative subendocardial myocardial infarction""",
"""45809""",UNKNOWN,true,"""G350.00""	""subsequent myocardial infarction of anterior wall""",
"""46017""",UNKNOWN,true,"""G30yz00""	""other acute myocardial infarction nos""",
"""46112""",UNKNOWN,true,"""G380.00""	""postoperative transmural myocardial infarction anterior wall""",
"""46166""",UNKNOWN,true,"""G35X.00""	""subsequent myocardial infarction of unspecified site""",
"""46276""",UNKNOWN,true,"""G381.00""	""postoperative transmural myocardial infarction inferior wall""",
"""50372""",UNKNOWN,true,"""14AH.00""	""h/o: myocardial infarction in last year""",
"""5387""",UNKNOWN,true,"""G301.00""	""other specified anterior myocardial infarction""",
"""55137""",UNKNOWN,true,"""G311011""	""mi - myocardial infarction aborted""",
"""59032""",UNKNOWN,true,"""323Z.00""	""ecg: myocardial infarct nos""",
"""61072""",UNKNOWN,true,"""G311000""	""myocardial infarction aborted""",
"""61670""",UNKNOWN,true,"""889A.00""	""diab mellit insulin-glucose infus acute myocardial infarct""",
"""63467""",UNKNOWN,true,"""G306.00""	""true posterior myocardial infarction""",
"""68748""",UNKNOWN,true,"""G38z.00""	""postoperative myocardial infarction, unspecified""",
"""72562""",UNKNOWN,true,"""G353.00""	""subsequent myocardial infarction of other sites""",
"""7783""",UNKNOWN,true,"""323..00""	""ecg: myocardial infarction""",
"""8935""",UNKNOWN,true,"""G302.00""	""acute inferolateral infarction""",
"""9507""",UNKNOWN,true,"""G307000""	""acute non-q wave infarction""",
"""96838""",UNKNOWN,true,"""Gyu3400""	""[x]acute transmural myocardial infarction of unspecif site""",
"""99991""",UNKNOWN,true,"""Gyu3600""	""[x]subsequent myocardial infarction of unspecified site""",
"""1204""",UNKNOWN,true,"""429 AH""	""heart attack""",
"""9555""",UNKNOWN,true,"""G33z500""	""post infarct angina""",
"""23708""",UNKNOWN,true,"""G361.00""	""atrial septal defect/curr comp folow acut myocardal infarct""",
"""24126""",UNKNOWN,true,"""G360.00""	""haemopericardium/current comp folow acut myocard infarct""",
"""26972""",UNKNOWN,true,"""3234.00""	""ecg:posterior/inferior infarct""",
"""26975""",UNKNOWN,true,"""3233.00""	""ecg: antero-septal infarct.""",
"""28736""",UNKNOWN,true,"""G30y000""	""acute atrial infarction""",
"""30330""",UNKNOWN,true,"""G309.00""	""acute q-wave infarct""",
"""35119""",UNKNOWN,true,"""G501.00""	""post infarction pericarditis""",
"""37657""",UNKNOWN,true,"""G362.00""	""ventric septal defect/curr comp fol acut myocardal infarctn""",
"""39449""",UNKNOWN,true,"""G312.00""	""coronary thrombosis not resulting in myocardial infarction""",
"""39655""",UNKNOWN,true,"""G311.12""	""impending infarction""",
"""40429""",UNKNOWN,true,"""G301000""	""acute anteroapical infarction""",
"""41221""",UNKNOWN,true,"""G30y200""	""acute septal infarction""",
"""52705""",UNKNOWN,true,"""3236.00""	""ecg: lateral infarction""",
"""55401""",UNKNOWN,true,"""3235.00""	""ecg: subendocardial infarct""",
"""59940""",UNKNOWN,true,"""G364.00""	""ruptur chordae tendinae/curr comp fol acute myocard infarct""",
"""62626""",UNKNOWN,true,"""G30y100""	""acute papillary muscle infarction""",
"""68357""",UNKNOWN,true,"""G31y100""	""microinfarction of heart""",
"""69474""",UNKNOWN,true,"""G365.00""	""rupture papillary muscle/curr comp fol acute myocard infarct""",
"""70695""",UNKNOWN,true,"""C132200""	""postinfarction panhypopituitarism""",
"""100437""",UNKNOWN,true,"""9hM..00""	""exception reporting: myocardial infarction quality indicator""",
"""101695""",UNKNOWN,true,"""9hM0.00""	""exc myocard infarction quality indicators: informed dissent""",
"""102917""",UNKNOWN,true,"""9hM1.00""	""exc myocar infarction quality indicators: patient unsuitable""",
"""113358""",UNKNOWN,true,"""Gyu3100""	""[x]other current complicatns following acute myocard infarct""",
"""29553""",UNKNOWN,true,"""G366.00""	""thrombosis atrium,auric append&vent/curr comp foll acute mi""",
"""59189""",UNKNOWN,true,"""G363.00""	""ruptur cardiac wall w'out haemopericard/cur comp fol ac mi""",
