code,code_system,include,term,notes
prodcodeid,UNKNOWN,true,productname,
7341000033112,UNKNOWN,true,Actrapid Mc  Injection  100 units/1 ml,
9641000033112,UNKNOWN,true,Human Actrapid  Preloaded pen  100 units/ml,
11441000033114,UNKNOWN,true,Acarbose 100mg tablets,
11541000033110,UNKNOWN,true,Acarbose 50mg tablets,
58841000033113,UNKNOWN,true,Amaryl 2mg tablets,
59541000033116,UNKNOWN,true,Amaryl 1mg tablets,
59641000033115,UNKNOWN,true,Amaryl 3mg tablets,
59741000033112,UNKNOWN,true,Amaryl 4mg tablets,
148841000033116,UNKNOWN,true,Biphasic Insulin  Injection  100 units/ml,
249441000033114,UNKNOWN,true,Chlorpropamide 100mg tablets,
249541000033110,UNKNOWN,true,Chlorpropamide 250mg tablets,
266641000033113,UNKNOWN,true,"Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g",
266741000033116,UNKNOWN,true,"Clinipak  Disposable insulin syringe with needle  1 ml, 30g",
406741000033116,UNKNOWN,true,Daonil  Tablets  2.5 mg,
406841000033114,UNKNOWN,true,Daonil 5mg tablets,
444941000033119,UNKNOWN,true,Disposable  Insulin syringe with needle  0.5 ml,
445041000033119,UNKNOWN,true,Disposable  Insulin syringe with needle  1 ml,
462041000033119,UNKNOWN,true,Diabetamide 2.5mg tablets,
462141000033115,UNKNOWN,true,Diabetamide 5mg tablets,
463541000033118,UNKNOWN,true,Diamicron 80mg tablets,
557241000033113,UNKNOWN,true,Euglucon 2.5mg tablets,
557341000033115,UNKNOWN,true,Euglucon 5mg tablets,
644541000033111,UNKNOWN,true,Glibenclamide 2.5mg tablets,
644641000033112,UNKNOWN,true,Glibenclamide 5mg tablets,
644741000033115,UNKNOWN,true,Glibenese 5mg tablets,
644841000033113,UNKNOWN,true,Glipizide 5mg tablets,
644941000033117,UNKNOWN,true,Glucophage 500mg tablets,
645041000033117,UNKNOWN,true,Glucophage 850mg tablets,
645241000033113,UNKNOWN,true,Glucobay 100mg tablets,
645341000033115,UNKNOWN,true,Glucobay 50mg tablets,
645841000033112,UNKNOWN,true,Glimepiride 2mg tablets,
645941000033116,UNKNOWN,true,Glimepiride 1mg tablets,
646041000033114,UNKNOWN,true,Glimepiride 3mg tablets,
