code,code_system,include,term,notes
medcode,UNKNOWN,true,term,
64668,UNKNOWN,true,insulin treated type ii diabetes mellitus,
106061,UNKNOWN,true,type ii diabetes mellitus with ketoacidotic coma,
43951,UNKNOWN,true,diabetic - cooperative patient,
28769,UNKNOWN,true,diabetic on insulin and oral treatment,
62674,UNKNOWN,true,type 2 diabetes mellitus with mononeuropathy,
711,UNKNOWN,true,diabetes mellitus,
61071,UNKNOWN,true,type 2 diabetes mellitus with hypoglycaemic coma,
26054,UNKNOWN,true,type 2 diabetes mellitus with persistent proteinuria,
39317,UNKNOWN,true,"diabetes mellitus, adult onset, + neurological manifestation",
37806,UNKNOWN,true,type 2 diabetes mellitus with peripheral angiopathy,
108005,UNKNOWN,true,type 2 diabetes mellitus with multiple complications,
45491,UNKNOWN,true,diabetes mellitus with unspecified complication,
98616,UNKNOWN,true,type ii diabetes mellitus with neurological complications,
40401,UNKNOWN,true,non-insulin dependent diabetes mellitus with gangrene,
49074,UNKNOWN,true,type 2 diabetes mellitus with ulcer,
65062,UNKNOWN,true,diabetes mellitus nos with ketoacidotic coma,
42505,UNKNOWN,true,diabetes mellitus nos with ketoacidosis,
1407,UNKNOWN,true,insulin treated type 2 diabetes mellitus,
63357,UNKNOWN,true,"diabetes mellitus, adult, + peripheral circulatory disorder",
35399,UNKNOWN,true,diabetes mellitus with peripheral circulatory disorder,
18278,UNKNOWN,true,insulin treated type 2 diabetes mellitus,
758,UNKNOWN,true,type 2 diabetes mellitus,
36695,UNKNOWN,true,diabetes mellitus autosomal dominant type 2,
24693,UNKNOWN,true,non-insulin dependent diabetes mellitus with arthropathy,
7795,UNKNOWN,true,diabetes mellitus with neuropathy,
51756,UNKNOWN,true,type 2 diabetes mellitus with ketoacidotic coma,
18390,UNKNOWN,true,type 2 diabetes mellitus with persistent microalbuminuria,
64357,UNKNOWN,true,diabetes mellitus nos with unspecified complication,
95351,UNKNOWN,true,type ii diabetes mellitus with mononeuropathy,
56268,UNKNOWN,true,type ii diabetes mellitus with hypoglycaemic coma,
59725,UNKNOWN,true,type ii diabetes mellitus with ophthalmic complications,
34268,UNKNOWN,true,type 2 diabetes mellitus with neurological complications,
34912,UNKNOWN,true,non-insulin dependent diabetes mellitus with ulcer,
47954,UNKNOWN,true,type 2 diabetes mellitus without complication,
