code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Psychotropic""	""group""	""database""",
"""38741000033119""",UNKNOWN,true,"""Allegron 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nortriptyline""	""10.000mg""	""Nortriptyline""	""Antidepressants""	""Aurum""",
"""38841000033112""",UNKNOWN,true,"""Allegron 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nortriptyline""	""25.000mg""	""Nortriptyline""	""Antidepressants""	""Aurum""",
"""43441000033118""",UNKNOWN,true,"""Amitriptyline Sr  Capsules  75 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""43541000033117""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  25 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""43641000033116""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  50 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""43741000033113""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  75 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""45841000033119""",UNKNOWN,true,"""Amitriptyline 25mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Amitriptyline""	""25.000mg""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""45941000033110""",UNKNOWN,true,"""Amitriptyline 50mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Amitriptyline""	""50.000mg""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""50041000033116""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Injection  10mg/ml""	""Solution for injection""	""Intramuscular""	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""51941000033114""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml""	NA	NA	""Amitriptyline""	NA	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""55441000033119""",UNKNOWN,true,"""Amitriptyline 25mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Amitriptyline""	""5.000mg/1.000ml""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""55541000033118""",UNKNOWN,true,"""Amitriptyline 50mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Amitriptyline""	""10.000mg/1.000ml""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""58941000033117""",UNKNOWN,true,"""Amisulpride 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""200.000mg""	""Amisulpride""	""Antipsychotics""	""Aurum""",
"""59041000033114""",UNKNOWN,true,"""Amisulpride 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""50.000mg""	""Amisulpride""	""Antipsychotics""	""Aurum""",
"""60441000033116""",UNKNOWN,true,"""Amitriptyline 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""10.000mg""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""60541000033115""",UNKNOWN,true,"""Amitriptyline 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""50.000mg""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""60641000033119""",UNKNOWN,true,"""Amitriptyline 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""25.000mg""	""Amitriptyline""	""Antidepressants""	""Aurum""",
"""60841000033118""",UNKNOWN,true,"""Amoxapine  Tablets  25 mg""	""Tablet""	""Oral""	""Amoxapine""	NA	""Amoxapine""	""Antidepressants""	""Aurum""",
"""60941000033114""",UNKNOWN,true,"""Amoxapine 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""50.000mg""	""Amoxapine""	""Antidepressants""	""Aurum""",
"""61041000033116""",UNKNOWN,true,"""Amoxapine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""100.000mg""	""Amoxapine""	""Antidepressants""	""Aurum""",
"""61141000033117""",UNKNOWN,true,"""Amoxapine  Tablets  150 mg""	""Tablet""	""Oral""	""Amoxapine""	NA	""Amoxapine""	""Antidepressants""	""Aurum""",
"""61941000033115""",UNKNOWN,true,"""Anafranil 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""10.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""62041000033114""",UNKNOWN,true,"""Anafranil 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""25.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""62141000033113""",UNKNOWN,true,"""Anafranil 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""50.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""64241000033110""",UNKNOWN,true,"""Anafranil  Injection  12.5mg/ml""	""Solution for injection""	""Intramuscular""	""Clomipramine""	NA	""Clomipramine""	""Antidepressants""	""Aurum""",
"""68641000033117""",UNKNOWN,true,"""Anafranil 25mg/5ml syrup""	""Oral solution""	""Oral""	""Clomipramine""	""5.000mg/1.000ml""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""69041000033115""",UNKNOWN,true,"""Anquil 250microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""Benperidol""	""Antipsychotics""	""Aurum""",
"""70241000033114""",UNKNOWN,true,"""Anafranil SR 75mg tablets""	""Modified-release tablet""	""Oral""	""Clomipramine""	""75.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""87641000033116""",UNKNOWN,true,"""Asendis 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""100.000mg""	""Amoxapine""	""Antidepressants""	""Aurum""",
"""87941000033111""",UNKNOWN,true,"""Asendis 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""50.000mg""	""Amoxapine""	""Antidepressants""	""Aurum""",
"""145141000033119""",UNKNOWN,true,"""Benperidol 250microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""Benperidol""	""Antipsychotics""	""Aurum""",
"""173841000033113""",UNKNOWN,true,"""Buccastem 3mg tablets""	""Buccal tablet""	""Buccal""	""Prochlorperazine""	""3.000mg""	""Prochlorperazine""	""Antipsychotics""	""Aurum""",
"""178741000033110""",UNKNOWN,true,"""Carbamazepine 100mg chewable tablets sugar free""	""Chewable tablet""	""Oral""	""Carbamazepine""	""100.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""178841000033117""",UNKNOWN,true,"""Carbamazepine 200mg chewable tablets sugar free""	""Chewable tablet""	""Oral""	""Carbamazepine""	""200.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""198141000033115""",UNKNOWN,true,"""Carbamazepine 100mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Carbamazepine""	""20.000mg/1.000ml""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""207541000033111""",UNKNOWN,true,"""Carbamazepine 125mg suppositories""	""Suppository""	""Rectal""	""Carbamazepine""	""125.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""207641000033112""",UNKNOWN,true,"""Carbamazepine 250mg suppositories""	""Suppository""	""Rectal""	""Carbamazepine""	""250.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""208141000033115""",UNKNOWN,true,"""Carbamazepine  Sugar-free liquid  100mg/5ml""	NA	NA	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""208541000033112""",UNKNOWN,true,"""Carbamazepine  Syrup  100 mg/5 ml""	""Oral solution""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""212541000033112""",UNKNOWN,true,"""Carbamazepine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""100.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""212641000033113""",UNKNOWN,true,"""Carbamazepine 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""200.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""212741000033116""",UNKNOWN,true,"""Carbamazepine 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""400.000mg""	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""213841000033116""",UNKNOWN,true,"""Camcolit 250 tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lithium""	""250.000mg""	""Lithium""	""Mood Stabilisers""	""Aurum""",
"""214741000033112""",UNKNOWN,true,"""Carbamazepine  Tablets  100 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""214841000033119""",UNKNOWN,true,"""Carbamazepine  Tablets  200 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""214941000033110""",UNKNOWN,true,"""Carbamazepine  Tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""215541000033117""",UNKNOWN,true,"""Camcolit 400 modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""400.000mg""	""Lithium""	""Mood Stabilisers""	""Aurum""",
"""218241000033113""",UNKNOWN,true,"""Carbamazepine  C/r tablets  200 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""218341000033115""",UNKNOWN,true,"""Carbamazepine  C/r tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	""Carbamazepine""	""Mood Stabilisers""	""Aurum""",
"""240041000033110""",UNKNOWN,true,"""Chlorpromazine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Chlorpromazine""	""5.000mg/1.000ml""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""241341000033116""",UNKNOWN,true,"""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	""25.000mg/1.000ml""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""242241000033115""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  100 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""242341000033113""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  25 mg/ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""246541000033119""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Suppositories  100 mg""	""Suppository""	""Rectal""	""Chlorpromazine""	NA	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""246641000033118""",UNKNOWN,true,"""Chlorpromazine 100mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Chlorpromazine""	""20.000mg/1.000ml""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""249041000033117""",UNKNOWN,true,"""Chlorpromazine 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""10.000mg""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""249141000033118""",UNKNOWN,true,"""Chlorpromazine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""100.000mg""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""249241000033113""",UNKNOWN,true,"""Chlorpromazine 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""25.000mg""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""249341000033115""",UNKNOWN,true,"""Chlorpromazine 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""50.000mg""	""Chlorpromazine""	""Antipsychotics""	""Aurum""",
"""259141000033116""",UNKNOWN,true,"""Cipramil 20mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Citalopram""	""20.000mg""	""Citalopram""	""Antidepressants""	""Aurum""",
"""259241000033111""",UNKNOWN,true,"""Citalopram 20mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Citalopram""	""20.000mg""	""Citalopram""	""Antidepressants""	""Aurum""",
"""262041000033115""",UNKNOWN,true,"""Clomipramine 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""10.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""262141000033116""",UNKNOWN,true,"""Clomipramine 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""25.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""262241000033111""",UNKNOWN,true,"""Clomipramine 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""50.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""273641000033114""",UNKNOWN,true,"""Clopixol Acuphase 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""50.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""274841000033112""",UNKNOWN,true,"""Clopixol Acuphase 100mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""50.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""275441000033113""",UNKNOWN,true,"""Clomipramine Hydrochloride  Injection  12.5mg/ml""	""Solution for injection""	""Intramuscular""	""Clomipramine""	NA	""Clomipramine""	""Antidepressants""	""Aurum""",
"""276041000033113""",UNKNOWN,true,"""Clopixol 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""200.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""276141000033112""",UNKNOWN,true,"""Clopixol Conc 500mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""500.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""284741000033110""",UNKNOWN,true,"""Clomipramine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Clomipramine""	""5.000mg/1.000ml""	""Clomipramine""	""Antidepressants""	""Aurum""",
