code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Psychotropic""	""group""",
"""64458""",UNKNOWN,true,"""Clomipramine 25mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Clomipramine""	""5mg/1ml""	""Tricyclic And Related Antidepressants""	""Clomipramine""	""Antidepressants""",
"""85144""",UNKNOWN,true,"""Clopixol 10mg tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Zuclopenthixol""	""10mg""	""First-Generation Antipsychotic Drugs""	""Zuclopenthixol""	""Antipsychotics""",
"""87904""",UNKNOWN,true,"""Paroxetine 20mg tablets (Crescent Pharma Ltd)""	""Oral tablet""	""Oral""	""Paroxetine""	""20mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Paroxetine""	""Antidepressants""",
"""35493""",UNKNOWN,true,"""Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd)""	""Oral capsule""	""Oral""	""Doxepin""	""50mg""	""Tricyclic And Related Antidepressants""	""Doxepin""	""Antidepressants""",
"""29972""",UNKNOWN,true,"""PERICYAZINE""	NA	NA	""Pericyazine""	NA	""Unknown""	""Pericyazine""	""Antipsychotics""",
"""65944""",UNKNOWN,true,"""Olanzapine 2.5mg tablets (Viatris UK Healthcare Ltd)""	""Oral tablet""	""Oral""	""Olanzapine""	""2.5mg""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""	""Antipsychotics""",
"""62869""",UNKNOWN,true,"""Lamotrigine 50mg tablets (Sigma Pharmaceuticals Plc)""	""Oral tablet""	""Oral""	""Lamotrigine""	""50mg""	""Products Used In Psychoses And Related Disorders/Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
"""79244""",UNKNOWN,true,"""Carbamazepine 200mg tablets (Phoenix Healthcare Distribution Ltd)""	""Oral tablet""	""Oral""	""Carbamazepine""	""200mg""	""Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy""	""Carbamazepine""	""Mood Stabilisers""",
"""8136""",UNKNOWN,true,"""HALOPERIDOL 5 MG LIQ""	NA	NA	""Haloperidol""	NA	""Unknown""	""Haloperidol""	""Antipsychotics""",
"""39279""",UNKNOWN,true,"""Epilim Chronosphere MR 500mg granules sachets (Sanofi)""	""Modified-release granules""	""Oral""	""Valproate""	""500mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""54686""",UNKNOWN,true,"""Tryptophan 500mg capsules""	""Oral capsule""	""Oral""	""Tryptophan""	""500mg""	""Other Antidepressants""	""Tryptophan""	""Antidepressants""",
"""88116""",UNKNOWN,true,"""Chlorpromazine 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)""	""Oral tablet""	""Oral""	""Chlorpromazine""	""25mg""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""	""Antipsychotics""",
"""67820""",UNKNOWN,true,"""Chlorpromazine 100mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Chlorpromazine""	""20mg/1ml""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""	""Antipsychotics""",
"""77890""",UNKNOWN,true,"""Droperidol 2.5mg/1ml solution for injection ampoules (Panpharma UK Ltd)""	""Solution for injection""	""Intravenous""	""Droperidol""	""2.5mg/1ml""	""Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Droperidol""	""Antipsychotics""",
"""12932""",UNKNOWN,true,"""Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Oral tablet""	""Oral""	""Carbamazepine""	""100mg""	""Control Of Epilepsy""	""Carbamazepine""	""Mood Stabilisers""",
"""55139""",UNKNOWN,true,"""Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Oral tablet""	""Oral""	""Amitriptyline""	""25mg""	""Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine""	""Amitriptyline""	""Antidepressants""",
"""33624""",UNKNOWN,true,"""Amitriptyline 50mg tablets (Teva UK Ltd)""	""Oral tablet""	""Oral""	""Amitriptyline""	""50mg""	""Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine""	""Amitriptyline""	""Antidepressants""",
"""52824""",UNKNOWN,true,"""Citalopram 10mg tablets (PLIVA Pharma Ltd)""	""Oral tablet""	""Oral""	""Citalopram""	""10mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Citalopram""	""Antidepressants""",
"""3358""",UNKNOWN,true,"""PRIADEL 800 MG TAB""	""Tablet""	""Oral""	""Lithium""	NA	""Unknown""	""Lithium""	""Mood Stabilisers""",
"""3842""",UNKNOWN,true,"""Doxepin 10mg capsules""	""Oral capsule""	""Oral""	""Doxepin""	""10mg""	""Tricyclic And Related Antidepressants""	""Doxepin""	""Antidepressants""",
"""5997""",UNKNOWN,true,"""Convulex 150mg gastro-resistant capsules (G.L. Pharma UK Ltd)""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""150mg""	""Prophylaxis Of Migraine/Control Of Epilepsy""	""Valproic""	""Mood Stabilisers""",
"""16149""",UNKNOWN,true,"""Lamotrigine 50mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""50mg""	""Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
