code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""	""smoking_status""",
"""78013015""",UNKNOWN,true,"11089	""H3101""	""H310100""	""smokers' cough""	""46802002""	""78013015""	32	""current or former""",
"""99639019""",UNKNOWN,true,"486534	""137J""	""137J.00""	""cigar smoker""	""59978006""	""99639019""	17	""current or former""",
"""108938018""",UNKNOWN,true,"28535015	""137P""	""137P.00""	""cigarette smoker""	""65568007""	""108938018""	17	""current or former""",
"""128130017""",UNKNOWN,true,"3305851	""137P-1""	""137P.11""	""smoker""	""77176002""	""128130017""	17	""current or former""",
"""136515019""",UNKNOWN,true,"292353	""137H""	""137H.00""	""pipe smoker""	""82302008""	""136515019""	17	""current or former""",
"""150398019""",UNKNOWN,true,"6512	""E023""	""E023.00""	""nicotine withdrawal""	""90755006""	""150398019""	32	""current or former""",
"""216212011""",UNKNOWN,true,"57120	""137V""	""137V.00""	""smoking reduced""	""134406006""	""216212011""	17	""current or former""",
"""250363016""",UNKNOWN,true,"775442	""1377""	""1377.00""	""ex-trivial cigarette smoker (<1/day)""	""266921000""	""397736014""	17	""current or former""",
"""250364010""",UNKNOWN,true,"2388938	""1378""	""1378.00""	""ex-light cigarette smoker (1-9/day)""	""266922007""	""397737017""	17	""current or former""",
"""250365011""",UNKNOWN,true,"3110590	""1379""	""1379.00""	""ex-moderate cigarette smoker (10-19/day)""	""266923002""	""397738010""	17	""current or former""",
"""250366012""",UNKNOWN,true,"1473133	""137A""	""137A.00""	""ex-heavy cigarette smoker (20-39/day)""	""266924008""	""397739019""	17	""current or former""",
"""250367015""",UNKNOWN,true,"245799	""137B""	""137B.00""	""ex-very heavy cigarette smoker (40+/day)""	""266925009""	""397740017""	17	""current or former""",
"""250368013""",UNKNOWN,true,"106792	""137C""	""137C.00""	""keeps trying to stop smoking""	""160612007""	""250368013""	17	""current or former""",
"""250370016""",UNKNOWN,true,"139252	""137E""	""137E.00""	""tobacco consumption unknown""	""160614008""	""250370016""	17	""current or former""",
"""250371017""",UNKNOWN,true,"1589290	""137F""	""137F.00""	""ex-smoker - amount unknown""	""8517006""	""15047015""	17	""current or former""",
"""250372012""",UNKNOWN,true,"2799572	""137G""	""137G.00""	""trying to give up smoking""	""160616005""	""250372012""	17	""current or former""",
"""250373019""",UNKNOWN,true,"5172682	""137K""	""137K.00""	""stopped smoking""	""160617001""	""250373019""	17	""current or former""",
"""250375014""",UNKNOWN,true,"1792079	""137M""	""137M.00""	""rolls own cigarettes""	""160619003""	""250375014""	17	""current or former""",
"""250385010""",UNKNOWN,true,"2492499	""137T""	""137T.00""	""date ceased smoking""	""160625004""	""250385010""	17	""current or former""",
"""250387019""",UNKNOWN,true,"91989	""137Z""	""137Z.00""	""tobacco consumption nos""	""266918002""	""397730015""	17	""current or former""",
"""285792013""",UNKNOWN,true,"79630	""9OO2""	""9OO2.00""	""monitoring of smoking cessation therapy refused""	""765001003""	""3656021018""	37	""current or former""",
"""285793015""",UNKNOWN,true,"13771	""9OO3""	""9OO3.00""	""stop smoking monitor default""	""185791003""	""285793015""	37	""current or former""",
"""285805010""",UNKNOWN,true,"486	""9OO9""	""9OO9.00""	""stop smoking monitoring delete""	""185798009""	""285805010""	37	""current or former""",
"""295256013""",UNKNOWN,true,"987	""E2510""	""E251000""	""tobacco dependence, unspecified""	""89765005""	""148820017""	32	""current or former""",
"""295257016""",UNKNOWN,true,"154	""E2511""	""E251100""	""tobacco dependence, continuous""	""191887008""	""295257016""	32	""current or former""",
"""295258014""",UNKNOWN,true,"35	""E2512""	""E251200""	""tobacco dependence, episodic""	""191888003""	""295258014""	32	""current or former""",
"""295259018""",UNKNOWN,true,"138	""E2513""	""E251300""	""tobacco dependence in remission""	""191889006""	""295259018""	32	""current or former""",
"""295260011""",UNKNOWN,true,"507	""E251z""	""E251z00""	""tobacco dependence nos""	""89765005""	""2951656017""	32	""current or former""",
"""295951010""",UNKNOWN,true,"203	""Eu17""	""Eu17.00""	""nicotine-induced organic mental disorder""	""30310000""	""50736017""	32	""current or former""",
"""324597019""",UNKNOWN,true,"99	""SMC""	""SMC..00""	""toxic effect of tobacco and nicotine""	""212899006""	""324597019""	32	""current or former""",
"""338608011""",UNKNOWN,true,"54230101	""8CAL""	""8CAL.00""	""smoking cessation advice""	""225323000""	""338608011""	17	""current or former""",
"""342443012""",UNKNOWN,true,"23103	""13cA""	""13cA.00""	""smokes drugs""	""228377000""	""342443012""	17	""current or former""",
"""342444018""",UNKNOWN,true,"3162	""1V08""	""1V08.00""	""smokes drugs in cigarette form""	""228378005""	""342444018""	27	""current or former""",
"""342445017""",UNKNOWN,true,"1556	""1V09""	""1V09.00""	""smokes drugs through a pipe""	""228379002""	""342445017""	27	""current or former""",
"""342602019""",UNKNOWN,true,"144	""137i""	""137i.00""	""ex-tobacco chewer""	""228513009""	""342602019""	17	""current or former""",
"""344793011""",UNKNOWN,true,"1288012	""137X""	""137X.00""	""cigarette consumption""	""230056004""	""344793011""	17	""current or former""",
"""344794017""",UNKNOWN,true,"64840	""137Y""	""137Y.00""	""cigar consumption""	""230057008""	""344794017""	17	""current or former""",
"""344795016""",UNKNOWN,true,"10547	""137a""	""137a.00""	""pipe tobacco consumption""	""230058003""	""344795016""	17	""current or former""",
"""397733018""",UNKNOWN,true,"227320	""1372-1""	""1372.11""	""occasional smoker""	""428041000124106""	""2717161000000119""	17	""current or former""",
"""408878014""",UNKNOWN,true,"18430	""38DH""	""38DH.00""	""fagerstrom test for nicotine dependence total score""	""762991003""	""3637499017""	3	""current or former""",
"""418914010""",UNKNOWN,true,"2518725	""137j""	""137j.00""	""ex-cigarette smoker""	""281018007""	""418914010""	17	""current or former""",
"""457286014""",UNKNOWN,true,"1107902	""8B2B""	""8B2B.00""	""nicotine replacement therapy""	""313396002""	""457286014""	32	""current or former""",
"""459484017""",UNKNOWN,true,"17348	""8I39""	""8I39.00""	""nicotine replacement therapy refused""	""315022003""	""459484017""	32	""current or former""",
"""459524018""",UNKNOWN,true,"52023	""8B3Y""	""8B3Y.00""	""over the counter nicotine replacement therapy""	""315055008""	""459524018""	32	""current or former""",
"""459722017""",UNKNOWN,true,"1145567	""8HTK""	""8HTK.00""	""referral to stop-smoking clinic""	""315232003""	""459722017""	40	""current or former""",
"""460828018""",UNKNOWN,true,"3202	""ZV4K0""	""ZV4K000""	""tobacco user""	""110483000""	""175325014""	32	""current or former""",
"""461114016""",UNKNOWN,true,"676	""ZV6D8""	""ZV6D800""	""counselling about tobacco use""	""711028002""	""3047058010""	32	""current or former""",
"""503483019""",UNKNOWN,true,"17579725	""137R""	""137R.00""	""current smoker""	""77176002""	""503483019""	17	""current or former""",
"""504769011""",UNKNOWN,true,"33410	""137W""	""137W.00""	""chews tobacco""	""81703003""	""504769011""	17	""current or former""",
"""1484932017""",UNKNOWN,true,"238991	""13p""	""13p..00""	""smoking cessation milestones""	""390900001""	""1484932017""	17	""current or former""",
"""1484933010""",UNKNOWN,true,"554836	""13p0""	""13p0.00""	""negotiated date for cessation of smoking""	""390901002""	""1484933010""	17	""current or former""",
"""1484937011""",UNKNOWN,true,"115706	""8B3f""	""8B3f.00""	""nicotine replacement therapy provided free""	""390905006""	""1484937011""	32	""current or former""",
"""1488576014""",UNKNOWN,true,"1030122	""137c""	""137c.00""	""thinking about stopping smoking""	""394871007""	""1488576014""	17	""current or former""",
"""1488577017""",UNKNOWN,true,"602149	""137b""	""137b.00""	""ready to stop smoking""	""394872000""	""1488577017""	17	""current or former""",
"""1488578010""",UNKNOWN,true,"1428923	""137d""	""137d.00""	""not interested in stopping smoking""	""394873005""	""1488578010""	17	""current or former""",
"""1488666019""",UNKNOWN,true,"465244	""13WK""	""13WK.00""	""no smokers in the household""	""394964001""	""1488666019""	17	""current or former""",
"""1488870013""",UNKNOWN,true,"4114	""8I2I""	""8I2I.00""	""nicotine replacement therapy contraindicated""	""395174005""	""1488870013""	32	""current or former""",
"""1488871012""",UNKNOWN,true,"3299	""8I2J""	""8I2J.00""	""bupropion contraindicated""	""395175006""	""1488871012""	32	""current or former""",
"""1488872017""",UNKNOWN,true,"680	""8I3M""	""8I3M.00""	""bupropion refused""	""395176007""	""1488872017""	32	""current or former""",
"""1488873010""",UNKNOWN,true,"169502	""13p4""	""13p4.00""	""smoking free weeks""	""395177003""	""1488873010""	17	""current or former""",
"""1489355012""",UNKNOWN,true,"1459651	""8H7i""	""8H7i.00""	""referral to smoking cessation advisor""	""395700008""	""1489355012""	40	""current or former""",
"""1773560017""",UNKNOWN,true,"342856	""13p5""	""13p5.00""	""smoking cessation programme start date""	""401160008""	""1773560017""	17	""current or former""",
"""1780273014""",UNKNOWN,true,"1541236	""9N2k""	""9N2k.00""	""seen by smoking cessation advisor""	""401068004""	""1780273014""	37	""current or former""",
"""1780360012""",UNKNOWN,true,"24892	""137f""	""137f.00""	""reason for restarting smoking""	""401159003""	""1780360012""	17	""current or former""",
"""1780396011""",UNKNOWN,true,"611670	""137g""	""137g.00""	""cigarette pack-years""	""401201003""	""1780396011""	17	""current or former""",
"""2159962015""",UNKNOWN,true,"18890	""8I6H""	""8I6H.00""	""smoking review not indicated""	""408398007""	""2159962015""	32	""current or former""",
"""2474719011""",UNKNOWN,true,"133640	""137h""	""137h.00""	""minutes from waking to first tobacco consumption""	""413173009""	""2474719011""	17	""current or former""",
"""2669652019""",UNKNOWN,true,"162568	""137Q""	""137Q.00""	""smoking started""	""266929003""	""2669652019""	17	""current or former""",
"""2670126018""",UNKNOWN,true,"25464	""137e""	""137e.00""	""smoking restarted""	""308438006""	""2670126018""	17	""current or former""",
"""3513101011""",UNKNOWN,true,"4	""^ESCT1165101""	NA	""date ceased using moist tobacco""	""735112005""	""3513101011""	17	""current or former""",
"""3513199018""",UNKNOWN,true,"1470	""^ESCT1165113""	NA	""ex-smoker for less than 1 year""	""735128000""	""3513199018""	17	""current or former""",
"""16261000000110""",UNKNOWN,true,"108830	""9OOZ""	""9OOZ.00""	""stop smoking monitoring administration""	""714001000000108""	""1567181000000113""	37	""current or former""",
"""21681000000118""",UNKNOWN,true,"217242	""9OO""	""9OO..00""	""anti-smoking monitoring admin.""	""714001000000108""	""1565241000000115""	37	""current or former""",
"""21691000000116""",UNKNOWN,true,"132522	""9OO-2""	""9OO..12""	""anti-smoking monitoring administration""	""714001000000108""	""1565241000000115""	37	""current or former""",
"""25281000000119""",UNKNOWN,true,"49086	""9OO-1""	""9OO..11""	""stop smoking clinic administration""	""714021000000104""	""1565261000000119""	37	""current or former""",
"""37311000006117""",UNKNOWN,true,"60305	""EMISHGT222""	NA	""other anti-smoking drug given""	""37311000006101""	""37311000006117""	1	""current or former""",
"""67621000006112""",UNKNOWN,true,"134579	""1376""	""1376.00""	""very heavy cigarette smoker (40+ cigs/day)""	""160606002""	""250362014""	17	""current or former""",
"""88471000006112""",UNKNOWN,true,"794464	""1372""	""1372.00""	""trivial cigarette smoker (less than one cigarette/day)""	""266920004""	""397735013""	17	""current or former""",
"""102921000006112""",UNKNOWN,true,"2450548	""137""	""137..00""	""tobacco smoking consumption""	""266918002""	""397730015""	17	""current or former""",
"""102951000006115""",UNKNOWN,true,"91493	""E251""	""E251.00""	""tobacco dependence""	""89765005""	""2951656017""	32	""current or former""",
"""103221000033113""",UNKNOWN,true,"1	""DRGC1142""	NA	""nicotine""	""68540007""	""103221000033113""	31	""current or former""",
"""128311000006112""",UNKNOWN,true,"170360	""9OO4""	""9OO4.00""	""stop smoking monitoring first letter""	""185792005""	""285794014""	37	""current or former""",
"""128321000006116""",UNKNOWN,true,"15883	""9OO5""	""9OO5.00""	""stop smoking monitoring second letter""	""185793000""	""285795010""	37	""current or former""",
