code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""smoking_status""",
"""109716""",UNKNOWN,true,"""8B2B000""	34	0	0	0	""issue of nicotine replacement therapy voucher""	""June 2015""	""current or former""",
"""32572""",UNKNOWN,true,"""8B3Y.00""	5236	0	0	0	""over the counter nicotine replacement therapy""	""February 2009""	""current or former""",
"""98447""",UNKNOWN,true,"""9km..00""	224	0	0	0	""ex-smoker annual review - enhanced services administration""	""February 2010""	""current or former""",
"""63299""",UNKNOWN,true,"""ZRBm211""	27	0	0	0	""ftnd - fagerstrom test for nicotine dependence""	""February 2009""	""current or former""",
"""58597""",UNKNOWN,true,"""9OO8.00""	10885	0	1	0	""stop smoking monitor phone inv""	""February 2009""	""current or former""",
"""18573""",UNKNOWN,true,"""8H7i.00""	221422	0	22624	20	""referral to smoking cessation advisor""	""February 2009""	""current or former""",
"""12941""",UNKNOWN,true,"""1372.11""	205716	0	6	0	""occasional smoker""	""February 2009""	""current or former""",
"""12963""",UNKNOWN,true,"""137Y.00""	8471	0	0	0	""cigar consumption""	""February 2009""	""current or former""",
"""6359""",UNKNOWN,true,"""E023.00""	2651	0	4	0	""nicotine withdrawal""	""February 2009""	""current or former""",
"""101325""",UNKNOWN,true,"""9NdY.00""	333	0	0	0	""declin cons follow-up evaluation after smoking cess interven""	""January 2011""	""current or former""",
"""12946""",UNKNOWN,true,"""137F.00""	433003	0	23	3	""ex-smoker - amount unknown""	""February 2009""	""current or former""",
"""107792""",UNKNOWN,true,"""Eu17200""	5	0	0	0	""[x]mental and behav dis due to use tobacco: dependence syndr""	""March 2014""	""current or former""",
"""12945""",UNKNOWN,true,"""137M.00""	143158	0	8	1	""rolls own cigarettes""	""February 2009""	""current or former""",
"""12964""",UNKNOWN,true,"""137C.00""	15509	0	12	0	""keeps trying to stop smoking""	""February 2009""	""current or former""",
