code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""64025010""",UNKNOWN,true,"273	""E245""	""E245.00""	""hallucinogen dependence""	""38247002""	""64025010""	32",
"""253488010""",UNKNOWN,true,"17200	""1J1""	""1J1..00""	""suspected drug abuse""	""162591001""	""253488010""	27",
"""263571015""",UNKNOWN,true,"4643	""63C6""	""63C6.00""	""maternal drug abuse""	""169941005""	""263571015""	16",
"""295145018""",UNKNOWN,true,"1432961	""E24""	""E24..00""	""drug dependence""	""191816009""	""295145018""	32",
"""295153014""",UNKNOWN,true,"8047	""E2400""	""E240000""	""unspecified opioid dependence""	""75544000""	""125472011""	32",
"""295154015""",UNKNOWN,true,"35794	""E2401""	""E240100""	""continuous opioid dependence""	""191819002""	""295154015""	32",
"""295155019""",UNKNOWN,true,"4626	""E2402""	""E240200""	""episodic opioid dependence""	""191820008""	""295155019""	32",
"""295156018""",UNKNOWN,true,"5267	""E2403""	""E240300""	""opioid dependence in remission""	""191821007""	""295156018""	32",
"""295157010""",UNKNOWN,true,"95198	""E240z""	""E240z00""	""opioid drug dependence nos""	""75544000""	""125472011""	32",
"""295172014""",UNKNOWN,true,"43609	""E242""	""E242.00""	""cocaine type drug dependence""	""191829009""	""295172014""	32",
"""295173016""",UNKNOWN,true,"43145	""E2420""	""E242000""	""cocaine dependence""	""31956009""	""53398019""	32",
"""295176012""",UNKNOWN,true,"5987	""E2421""	""E242100""	""cocaine dependence, continuous""	""191831000""	""295176012""	32",
"""295177015""",UNKNOWN,true,"2698	""E2422""	""E242200""	""cocaine dependence, episodic""	""191832007""	""295177015""	32",
"""295178013""",UNKNOWN,true,"1216	""E2423""	""E242300""	""cocaine dependence in remission""	""191833002""	""295178013""	32",
"""295179017""",UNKNOWN,true,"4270	""E242z""	""E242z00""	""cocaine drug dependence nos""	""31956009""	""53398019""	32",
"""295187016""",UNKNOWN,true,"46619	""E2430""	""E243000""	""cannabis dependence""	""85005007""	""140938016""	32",
"""295188014""",UNKNOWN,true,"11330	""E2431""	""E243100""	""cannabis dependence, continuous""	""191837001""	""295188014""	32",
"""295189018""",UNKNOWN,true,"2535	""E2432""	""E243200""	""cannabis dependence, episodic""	""191838006""	""295189018""	32",
"""295190010""",UNKNOWN,true,"980	""E2433""	""E243300""	""cannabis dependence in remission""	""191839003""	""295190010""	32",
"""295191014""",UNKNOWN,true,"16646	""E243z""	""E243z00""	""cannabis drug dependence nos""	""85005007""	""140938016""	32",
"""295197013""",UNKNOWN,true,"1685	""E2440""	""E244000""	""amphetamine or psychostimulant dependence, unspecified""	""191816009""	""295145018""	32",
"""295198015""",UNKNOWN,true,"934	""E2441""	""E244100""	""amphetamine or psychostimulant dependence, continuous""	""191843004""	""295198015""	32",
"""295199011""",UNKNOWN,true,"620	""E2442""	""E244200""	""amphetamine or psychostimulant dependence, episodic""	""191844005""	""295199011""	32",
"""295200014""",UNKNOWN,true,"357	""E2443""	""E244300""	""amphetamine or psychostimulant dependence in remission""	""191845006""	""295200014""	32",
"""295201013""",UNKNOWN,true,"1528	""E244z""	""E244z00""	""amphetamine or psychostimulant dependence nos""	""191816009""	""295145018""	32",
"""295207012""",UNKNOWN,true,"31	""E2450""	""E245000""	""hallucinogen dependence, unspecified""	""38247002""	""64025010""	32",
"""295208019""",UNKNOWN,true,"9	""E2451""	""E245100""	""hallucinogen dependence, continuous""	""191849000""	""295208019""	32",
"""295209010""",UNKNOWN,true,"60	""E2452""	""E245200""	""hallucinogen dependence, episodic""	""191850000""	""295209010""	32",
"""295210017""",UNKNOWN,true,"11	""E2453""	""E245300""	""hallucinogen dependence in remission""	""191851001""	""295210017""	32",
"""295211018""",UNKNOWN,true,"22	""E245z""	""E245z00""	""hallucinogen dependence nos""	""38247002""	""64025010""	32",
"""295212013""",UNKNOWN,true,"3680	""E246""	""E246.00""	""glue sniffing dependence""	""191853003""	""295212013""	32",
"""295214014""",UNKNOWN,true,"721	""E2460""	""E246000""	""glue sniffing dependence, unspecified""	""191853003""	""295212013""	32",
"""295215010""",UNKNOWN,true,"52	""E2461""	""E246100""	""glue sniffing dependence, continuous""	""191855005""	""295215010""	32",
"""295216011""",UNKNOWN,true,"956	""E2462""	""E246200""	""glue sniffing dependence, episodic""	""191856006""	""295216011""	32",
"""295217019""",UNKNOWN,true,"43	""E2463""	""E246300""	""glue sniffing dependence in remission""	""191857002""	""295217019""	32",
"""295218012""",UNKNOWN,true,"326	""E246z""	""E246z00""	""glue sniffing dependence nos""	""191853003""	""295212013""	32",
"""295222019""",UNKNOWN,true,"210	""E2470""	""E247000""	""other specified drug dependence, unspecified""	""191816009""	""295145018""	32",
"""295224018""",UNKNOWN,true,"1129	""E2471""	""E247100""	""other specified drug dependence, continuous""	""191816009""	""295145018""	32",
"""295225017""",UNKNOWN,true,"49	""E2472""	""E247200""	""other specified drug dependence, episodic""	""191816009""	""295145018""	32",
"""295226016""",UNKNOWN,true,"245	""E2473""	""E247300""	""other specified drug dependence in remission""	""191816009""	""295145018""	32",
"""295227013""",UNKNOWN,true,"399	""E247z""	""E247z00""	""other specified drug dependence nos""	""191816009""	""295145018""	32",
"""295228015""",UNKNOWN,true,"7542	""E248""	""E248.00""	""combined opioid with other drug dependence""	""191865004""	""295228015""	32",
"""295229011""",UNKNOWN,true,"651	""E2480""	""E248000""	""combined opioid with other drug dependence, unspecified""	""191865004""	""295228015""	32",
"""295230018""",UNKNOWN,true,"2154	""E2481""	""E248100""	""combined opioid with other drug dependence, continuous""	""191867007""	""295230018""	32",
"""295231019""",UNKNOWN,true,"547	""E2482""	""E248200""	""combined opioid with other drug dependence, episodic""	""191868002""	""295231019""	32",
"""295232014""",UNKNOWN,true,"255	""E2483""	""E248300""	""combined opioid with other drug dependence in remission""	""191869005""	""295232014""	32",
"""295233016""",UNKNOWN,true,"563	""E248z""	""E248z00""	""combined opioid with other drug dependence nos""	""191865004""	""295228015""	32",
"""295234010""",UNKNOWN,true,"928	""E249""	""E249.00""	""combined drug dependence, excluding opioids""	""191871005""	""295234010""	32",
"""295235011""",UNKNOWN,true,"34	""E2490""	""E249000""	""combined drug dependence, excluding opioid, unspecified""	""191871005""	""295234010""	32",
