code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""109558""",UNKNOWN,true,"""1V30.00""	31	0	0	0	""injects drugs subcutaneously""	""April 2015""",
"""37770""",UNKNOWN,true,"""T841000""	54	0	1	0	""accidental poisoning by cannabis derivatives""	""February 2009""",
"""37389""",UNKNOWN,true,"""Eu12000""	62	0	0	0	""[x]mental & behav dis due cannabinoids: acute intoxication""	""February 2009""",
"""92359""",UNKNOWN,true,"""1T21.00""	12	0	0	0	""h/o weekly ecstasy misuse""	""February 2009""",
"""97586""",UNKNOWN,true,"""9k51.00""	5729	0	1	0	""shared care drug misuse treatment - enhanced services admin""	""September 2009""",
"""98566""",UNKNOWN,true,"""9k53.00""	261	0	0	0	""pharmacy attended for drug misuse - enhanced services admin""	""February 2010""",
"""21662""",UNKNOWN,true,"""Eu12211""	7637	0	223	0	""[x]drug addiction - cannabis""	""February 2009""",
"""53071""",UNKNOWN,true,"""E252300""	42	0	0	0	""nondependent cannabis abuse in remission""	""February 2009""",
"""46896""",UNKNOWN,true,"""E256100""	11	0	0	0	""nondependent cocaine abuse, continuous""	""February 2009""",
"""106802""",UNKNOWN,true,"""9s...00""	239	0	1	0	""drug misuse clinic administration""	""August 2013""",
"""97031""",UNKNOWN,true,"""1V66.00""	675	0	0	0	""ecstasy misuse""	""July 2009""",
"""63076""",UNKNOWN,true,"""E25y000""	65	0	0	0	""nondependent other drug abuse, unspecified""	""February 2009""",
"""91260""",UNKNOWN,true,"""E249000""	8	0	0	0	""combined drug dependence, excluding opioid, unspecified""	""February 2009""",
"""89930""",UNKNOWN,true,"""1T93.00""	115	0	0	0	""previous history of solvent misuse""	""February 2009""",
"""93109""",UNKNOWN,true,"""1T11.00""	17	0	0	0	""h/o weekly methadone misuse""	""February 2009""",
"""60676""",UNKNOWN,true,"""Eu19000""	89	0	0	0	""[x]mental/behav dis multi drg use/psychoac subs: acute intox""	""February 2009""",
"""94693""",UNKNOWN,true,"""13r4.00""	36	0	0	0	""abstinent from drug misuse when receiving blocking therapy""	""February 2009""",
"""116730""",UNKNOWN,true,"""Eu13y00""	1	0	0	0	""[x]men/behav dis due to use seds/hypntcs: oth men/behav disd""	""April 2025""",
"""40536""",UNKNOWN,true,"""E255000""	31	0	0	0	""nondependent opioid abuse, unspecified""	""February 2009""",
"""101724""",UNKNOWN,true,"""1TB..00""	136	0	0	0	""h/o major tranquilliser misuse""	""February 2011""",
"""24616""",UNKNOWN,true,"""E243000""	1104	0	11	0	""cannabis dependence, unspecified""	""February 2009""",
"""54983""",UNKNOWN,true,"""Eu16500""	24	0	1	0	""[x]mental & behav dis due to hallucinogens: psychotic disord""	""February 2009""",
"""88760""",UNKNOWN,true,"""1TD0.00""	213	0	1	0	""h/o daily opiate misuse""	""February 2009""",
"""49585""",UNKNOWN,true,"""E244200""	69	0	1	0	""amphetamine or psychostimulant dependence, episodic""	""February 2009""",
"""97698""",UNKNOWN,true,"""1V02.00""	210	0	0	0	""poly-drug misuser""	""October 2009""",
"""40781""",UNKNOWN,true,"""E247z00""	158	0	0	0	""other specified drug dependence nos""	""February 2009""",
"""92232""",UNKNOWN,true,"""1T30.00""	130	0	1	0	""h/o daily benzodiazepine misuse""	""February 2009""",
"""98528""",UNKNOWN,true,"""1V01.00""	53	0	0	0	""long-term drug misuser""	""February 2010""",
"""62717""",UNKNOWN,true,"""E249200""	4	0	0	0	""combined drug dependence, excluding opioid, episodic""	""February 2009""",
"""51197""",UNKNOWN,true,"""E247.00""	814	0	1	0	""other specified drug dependence""	""February 2009""",
"""14809""",UNKNOWN,true,"""E249.00""	653	0	52	0	""combined drug dependence, excluding opioids""	""February 2009""",
"""32709""",UNKNOWN,true,"""13cJ.00""	13648	0	0	0	""previously injecting drug user""	""February 2009""",
"""42140""",UNKNOWN,true,"""E252000""	315	0	2	0	""nondependent cannabis abuse, unspecified""	""February 2009""",
"""88990""",UNKNOWN,true,"""1T60.00""	117	0	0	0	""h/o daily crack cocaine misuse""	""February 2009""",
"""111914""",UNKNOWN,true,"""677W.00""	81	0	5	0	""substance abuse counselling""	""July 2017""",
"""99429""",UNKNOWN,true,"""1T91.00""	10	0	0	0	""h/o weekly solvent misuse""	""May 2010""",
"""48131""",UNKNOWN,true,"""E253z00""	25	0	0	0	""nondependent hallucinogen abuse nos""	""February 2009""",
"""64277""",UNKNOWN,true,"""E248200""	23	0	0	0	""combined opioid with other drug dependence, episodic""	""February 2009""",
"""59533""",UNKNOWN,true,"""13c3.00""	106	0	0	0	""intramuscular drug user""	""February 2009""",
