code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Sulfonylurea""",
"""58841000033113""",UNKNOWN,true,"""Amaryl 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""2.000mg""	NA	""Glimepiride""",
"""59541000033116""",UNKNOWN,true,"""Amaryl 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""1.000mg""	NA	""Glimepiride""",
"""59641000033115""",UNKNOWN,true,"""Amaryl 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""3.000mg""	NA	""Glimepiride""",
"""59741000033112""",UNKNOWN,true,"""Amaryl 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""4.000mg""	NA	""Glimepiride""",
"""249441000033114""",UNKNOWN,true,"""Chlorpropamide 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpropamide""	""100.000mg""	""06010201""	""Chlorpropamide""",
"""249541000033110""",UNKNOWN,true,"""Chlorpropamide 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpropamide""	""250.000mg""	""06010201""	""Chlorpropamide""",
"""406741000033116""",UNKNOWN,true,"""Daonil  Tablets  2.5 mg""	""Tablet""	""Oral""	""Glibenclamide""	NA	NA	""Glibenclamide""",
"""406841000033114""",UNKNOWN,true,"""Daonil 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""5.000mg""	NA	""Glibenclamide""",
"""462041000033119""",UNKNOWN,true,"""Diabetamide 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	NA	""Glibenclamide""",
"""462141000033115""",UNKNOWN,true,"""Diabetamide 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""5.000mg""	NA	""Glibenclamide""",
"""463541000033118""",UNKNOWN,true,"""Diamicron 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	NA	""Gliclazide""",
"""557241000033113""",UNKNOWN,true,"""Euglucon 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	NA	""Glibenclamide""",
"""557341000033115""",UNKNOWN,true,"""Euglucon 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""5.000mg""	NA	""Glibenclamide""",
"""644541000033111""",UNKNOWN,true,"""Glibenclamide 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	""06010201""	""Glibenclamide""",
"""644641000033112""",UNKNOWN,true,"""Glibenclamide 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""5.000mg""	""06010201""	""Glibenclamide""",
"""644741000033115""",UNKNOWN,true,"""Glibenese 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""5.000mg""	NA	""Glipizide""",
"""644841000033113""",UNKNOWN,true,"""Glipizide 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""5.000mg""	""06010201""	""Glipizide""",
"""645841000033112""",UNKNOWN,true,"""Glimepiride 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""2.000mg""	""06010201""	""Glimepiride""",
"""645941000033116""",UNKNOWN,true,"""Glimepiride 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""1.000mg""	""06010201""	""Glimepiride""",
"""646041000033114""",UNKNOWN,true,"""Glimepiride 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""3.000mg""	""06010201""	""Glimepiride""",
"""646141000033113""",UNKNOWN,true,"""Glimepiride 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""4.000mg""	""06010201""	""Glimepiride""",
"""646441000033117""",UNKNOWN,true,"""Gliclazide 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	""06010201""	""Gliclazide""",
"""646541000033116""",UNKNOWN,true,"""Glipizide 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	""06010201""	""Glipizide""",
"""646841000033119""",UNKNOWN,true,"""Glurenorm 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	NA	""Gliquidone""",
"""646941000033110""",UNKNOWN,true,"""Gliquidone 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	""06010201""	""Gliquidone""",
"""920141000033112""",UNKNOWN,true,"""Minodiab 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	NA	""Glipizide""",
"""920241000033117""",UNKNOWN,true,"""Minodiab 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""5.000mg""	NA	""Glipizide""",
"""1278041000033114""",UNKNOWN,true,"""Semi-Daonil 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glibenclamide""	""2.500mg""	NA	""Glibenclamide""",
"""1450941000033113""",UNKNOWN,true,"""Tolbutamide 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Tolbutamide""	""500.000mg""	""06010201""	""Tolbutamide""",
"""1602941000033117""",UNKNOWN,true,"""Diaglyk 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	NA	""Gliclazide""",
"""2289441000033115""",UNKNOWN,true,"""Gliclazide 30mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	""06010201""	""Gliclazide""",
"""2289941000033113""",UNKNOWN,true,"""Diamicron 30mg MR tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
"""3953041000033113""",UNKNOWN,true,"""Gliclazide 80mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Gliclazide""	""16.000mg/1.000ml""	""06010201""	""Gliclazide""",
"""4941241000033119""",UNKNOWN,true,"""Nazdol MR 30mg tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
"""5378141000033117""",UNKNOWN,true,"""Dacadis MR 30mg tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
"""5709741000033116""",UNKNOWN,true,"""Gliclazide 40mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""40.000mg""	""06010201""	""Gliclazide""",
"""5709841000033114""",UNKNOWN,true,"""Zicron 40mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""40.000mg""	NA	""Gliclazide""",
"""5815341000033115""",UNKNOWN,true,"""Edicil MR 30mg tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
"""5869241000033114""",UNKNOWN,true,"""Gliclazide 40mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Gliclazide""	""8.000mg/1.000ml""	""06010201""	""Gliclazide""",
"""5968741000033115""",UNKNOWN,true,"""Glibenclamide 5mg/5ml oral solution""	""Oral solution""	""Oral""	""Glibenclamide""	""1.000mg/1.000ml""	""06010201""	""Glibenclamide""",
"""5968841000033113""",UNKNOWN,true,"""Glibenclamide 5mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Glibenclamide""	""1.000mg/1.000ml""	""06010201""	""Glibenclamide""",
"""8125241000033119""",UNKNOWN,true,"""Glimepiride 6mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Glimepiride""	""1.200mg/1.000ml""	""06010201""	""Glimepiride""",
"""8298141000033113""",UNKNOWN,true,"""Gliclazide 60mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""60.000mg""	""06010201""	""Gliclazide""",
"""8298241000033118""",UNKNOWN,true,"""Laaglyda MR 60mg tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""60.000mg""	NA	""Gliclazide""",
"""10043341000033116""",UNKNOWN,true,"""Vamju 30mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
"""10043441000033110""",UNKNOWN,true,"""Vamju 60mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""60.000mg""	NA	""Gliclazide""",
"""10701641000033116""",UNKNOWN,true,"""Bilxona 30mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30.000mg""	NA	""Gliclazide""",
