code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""73466011""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus""	""Aurum""",
"""121589010""",UNKNOWN,true,"""diabetes mellitus""	""Aurum""",
"""197761014""",UNKNOWN,true,"""type 2 diabetes mellitus""	""Aurum""",
"""264681018""",UNKNOWN,true,"""diabetic on oral treatment""	""Aurum""",
"""264682013""",UNKNOWN,true,"""diabetic on insulin""	""Aurum""",
"""264707013""",UNKNOWN,true,"""diabetic - good control""	""Aurum""",
"""264716012""",UNKNOWN,true,"""diabetic - poor control nos""	""Aurum""",
"""264717015""",UNKNOWN,true,"""diabetic - cooperative patient""	""Aurum""",
"""264718013""",UNKNOWN,true,"""diabetic-uncooperative patient""	""Aurum""",
"""264719017""",UNKNOWN,true,"""diabetic - follow-up default""	""Aurum""",
"""292466013""",UNKNOWN,true,"""diabetes mellitus without complication""	""Aurum""",
"""292475010""",UNKNOWN,true,"""diabetes mellitus nos with no mention of complication""	""Aurum""",
"""292479016""",UNKNOWN,true,"""diabetes mellitus nos with ketoacidosis""	""Aurum""",
"""292480018""",UNKNOWN,true,"""diabetes mellitus with hyperosmolar coma""	""Aurum""",
"""292483016""",UNKNOWN,true,"""diabetes mellitus, adult onset, with hyperosmolar coma""	""Aurum""",
"""292489017""",UNKNOWN,true,"""diabetes mellitus nos with ketoacidotic coma""	""Aurum""",
"""292496015""",UNKNOWN,true,"""diabetes mellitus with nephropathy nos""	""Aurum""",
"""292503016""",UNKNOWN,true,"""diabetes mellitus nos with ophthalmic manifestation""	""Aurum""",
"""292512019""",UNKNOWN,true,"""diabetes mellitus nos with neurological manifestation""	""Aurum""",
"""292523015""",UNKNOWN,true,"""diabetes mellitus nos with peripheral circulatory disorder""	""Aurum""",
"""292565014""",UNKNOWN,true,"""diabetes mellitus with multiple complications""	""Aurum""",
"""292576013""",UNKNOWN,true,"""type ii diabetes mellitus with multiple complications""	""Aurum""",
"""292577016""",UNKNOWN,true,"""type 2 diabetes mellitus with multiple complications""	""Aurum""",
"""292579018""",UNKNOWN,true,"""type 2 diabetes mellitus with ulcer""	""Aurum""",
"""292581016""",UNKNOWN,true,"""type ii diabetes mellitus with ulcer""	""Aurum""",
"""292582011""",UNKNOWN,true,"""type ii diabetes mellitus with gangrene""	""Aurum""",
"""292583018""",UNKNOWN,true,"""type 2 diabetes mellitus with gangrene""	""Aurum""",
"""292589019""",UNKNOWN,true,"""type ii diabetes mellitus - poor control""	""Aurum""",
"""292590011""",UNKNOWN,true,"""type ii diabetes mellitus poorly controlled""	""Aurum""",
"""292617015""",UNKNOWN,true,"""diabetes mellitus with other specified manifestation""	""Aurum""",
"""292621010""",UNKNOWN,true,"""diabetes mellitus nos with other specified manifestation""	""Aurum""",
"""292622015""",UNKNOWN,true,"""diabetes mellitus with unspecified complication""	""Aurum""",
"""345487013""",UNKNOWN,true,"""diabetes mellitus with neuropathy""	""Aurum""",
"""401531012""",UNKNOWN,true,"""diabetic - poor control""	""Aurum""",
"""411891014""",UNKNOWN,true,"""unstable diabetes""	""Aurum""",
"""457328010""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus without complication""	""Aurum""",
"""457329019""",UNKNOWN,true,"""type 2 diabetes mellitus without complication""	""Aurum""",
"""457330012""",UNKNOWN,true,"""type ii diabetes mellitus without complication""	""Aurum""",
"""458512016""",UNKNOWN,true,"""diabetic on insulin and oral treatment""	""Aurum""",
"""459167016""",UNKNOWN,true,"""type 2 diabetes mellitus with hypoglycaemic coma""	""Aurum""",
"""459306016""",UNKNOWN,true,"""type ii diabetes mellitus with peripheral angiopathy""	""Aurum""",
"""459308015""",UNKNOWN,true,"""type 2 diabetes mellitus with peripheral angiopathy""	""Aurum""",
"""459309011""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with arthropathy""	""Aurum""",
"""459310018""",UNKNOWN,true,"""type 2 diabetes mellitus with arthropathy""	""Aurum""",
"""459311019""",UNKNOWN,true,"""type ii diabetes mellitus with arthropathy""	""Aurum""",
"""459312014""",UNKNOWN,true,"""type ii diabetes mellitus with neuropathic arthropathy""	""Aurum""",
"""459313016""",UNKNOWN,true,"""type 2 diabetes mellitus with neuropathic arthropathy""	""Aurum""",
"""493773010""",UNKNOWN,true,"""niddm - non-insulin dependent diabetes mellitus""	""Aurum""",
"""493774016""",UNKNOWN,true,"""type ii diabetes mellitus""	""Aurum""",
"""1223147012""",UNKNOWN,true,"""insulin treated type ii diabetes mellitus""	""Aurum""",
"""1223148019""",UNKNOWN,true,"""insulin treated non-insulin dependent diabetes mellitus""	""Aurum""",
"""2622193012""",UNKNOWN,true,"""diabetes mellitus with ketoacidosis""	""Aurum""",
