code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""73466011""",UNKNOWN,true,"159254	""C1001-2""	""C100112""	""non-insulin dependent diabetes mellitus""	""44054006""	""493773010""	32",
"""121589010""",UNKNOWN,true,"6768615	""C10""	""C10..00""	""diabetes mellitus""	""73211009""	""121589010""	32",
"""197761014""",UNKNOWN,true,"32171039	""C10F""	""C10F.00""	""type 2 diabetes mellitus""	""44054006""	""197761014""	32",
"""264681018""",UNKNOWN,true,"6727276	""66A4""	""66A4.00""	""diabetic on oral treatment""	""170746002""	""264681018""	1",
"""264682013""",UNKNOWN,true,"1831336	""66A5""	""66A5.00""	""diabetic on insulin""	""170747006""	""264682013""	1",
"""264707013""",UNKNOWN,true,"671978	""66AI""	""66AI.00""	""diabetic - good control""	""170763003""	""264707013""	1",
"""264716012""",UNKNOWN,true,"20110	""66AJz""	""66AJz00""	""diabetic - poor control nos""	""268519009""	""401531012""	27",
"""264717015""",UNKNOWN,true,"16652	""66AK""	""66AK.00""	""diabetic - cooperative patient""	""170769004""	""264717015""	1",
"""264718013""",UNKNOWN,true,"2798	""66AL""	""66AL.00""	""diabetic-uncooperative patient""	""170770003""	""264718013""	1",
"""264719017""",UNKNOWN,true,"45229	""66AM""	""66AM.00""	""diabetic - follow-up default""	""170771004""	""264719017""	1",
"""292466013""",UNKNOWN,true,"19496	""C100""	""C100.00""	""diabetes mellitus without complication""	""111552007""	""178796018""	32",
"""292475010""",UNKNOWN,true,"6671	""C100z""	""C100z00""	""diabetes mellitus nos with no mention of complication""	""111552007""	""178796018""	32",
"""292479016""",UNKNOWN,true,"1827	""C101z""	""C101z00""	""diabetes mellitus nos with ketoacidosis""	""420422005""	""2616611010""	32",
"""292480018""",UNKNOWN,true,"816	""C102""	""C102.00""	""diabetes mellitus with hyperosmolar coma""	""422126006""	""2618221017""	32",
"""292483016""",UNKNOWN,true,"103	""C1021""	""C102100""	""diabetes mellitus, adult onset, with hyperosmolar coma""	""190331003""	""292483016""	32",
"""292489017""",UNKNOWN,true,"118	""C103z""	""C103z00""	""diabetes mellitus nos with ketoacidotic coma""	""420422005""	""2616611010""	32",
"""292496015""",UNKNOWN,true,"1918	""C104z""	""C104z00""	""diabetes mellitus with nephropathy nos""	""127013003""	""301016""	32",
"""292503016""",UNKNOWN,true,"256	""C105z""	""C105z00""	""diabetes mellitus nos with ophthalmic manifestation""	""25093002""	""42062018""	32",
"""292512019""",UNKNOWN,true,"2020	""C106z""	""C106z00""	""diabetes mellitus nos with neurological manifestation""	""422088007""	""2618195014""	32",
"""292523015""",UNKNOWN,true,"921	""C107z""	""C107z00""	""diabetes mellitus nos with peripheral circulatory disorder""	""421895002""	""2618203015""	32",
"""292565014""",UNKNOWN,true,"287	""C108z""	""C108z00""	""diabetes mellitus with multiple complications""	""385041000000108""	""760111000000115""	32",
"""292576013""",UNKNOWN,true,"33	""C10F3-1""	""C10F311""	""type ii diabetes mellitus with multiple complications""	""190388001""	""292576013""	32",
"""292577016""",UNKNOWN,true,"3004	""C10F3""	""C10F300""	""type 2 diabetes mellitus with multiple complications""	""190388001""	""292577016""	32",
"""292579018""",UNKNOWN,true,"1330	""C10F4""	""C10F400""	""type 2 diabetes mellitus with ulcer""	""190389009""	""292579018""	32",
"""292581016""",UNKNOWN,true,"32	""C10F4-1""	""C10F411""	""type ii diabetes mellitus with ulcer""	""190389009""	""292581016""	32",
"""292582011""",UNKNOWN,true,"8	""C10F5-1""	""C10F511""	""type ii diabetes mellitus with gangrene""	""421631007""	""2618206011""	32",
"""292583018""",UNKNOWN,true,"301	""C10F5""	""C10F500""	""type 2 diabetes mellitus with gangrene""	""421631007""	""2618206011""	32",
"""292589019""",UNKNOWN,true,"365	""C10F7-1""	""C10F711""	""type ii diabetes mellitus - poor control""	""443694000""	""2921019012""	32",
"""292590011""",UNKNOWN,true,"18445	""C10F7""	""C10F700""	""type ii diabetes mellitus poorly controlled""	""443694000""	""2921019012""	32",
"""292617015""",UNKNOWN,true,"1659	""C10y""	""C10y.00""	""diabetes mellitus with other specified manifestation""	""74627003""	""123939015""	32",
"""292621010""",UNKNOWN,true,"63	""C10yz""	""C10yz00""	""diabetes mellitus nos with other specified manifestation""	""73211009""	""121589010""	32",
"""292622015""",UNKNOWN,true,"1918	""C10z""	""C10z.00""	""diabetes mellitus with unspecified complication""	""74627003""	""123939015""	32",
"""345487013""",UNKNOWN,true,"26025	""C106-2""	""C106.12""	""diabetes mellitus with neuropathy""	""230572002""	""345487013""	32",
"""401531012""",UNKNOWN,true,"504572	""66AJ""	""66AJ.00""	""diabetic - poor control""	""268519009""	""401531012""	27",
"""411891014""",UNKNOWN,true,"4076	""66AJ-1""	""66AJ.11""	""unstable diabetes""	""11530004""	""19931010""	27",
"""457328010""",UNKNOWN,true,"5829	""C1099""	""C109900""	""non-insulin-dependent diabetes mellitus without complication""	""313436004""	""457328010""	32",
"""457329019""",UNKNOWN,true,"13438	""C10F9""	""C10F900""	""type 2 diabetes mellitus without complication""	""313436004""	""457329019""	32",
"""457330012""",UNKNOWN,true,"1182	""C10F9-1""	""C10F911""	""type ii diabetes mellitus without complication""	""313436004""	""457330012""	32",
"""458512016""",UNKNOWN,true,"388522	""66AV""	""66AV.00""	""diabetic on insulin and oral treatment""	""314194001""	""458512016""	1",
"""459167016""",UNKNOWN,true,"249	""C10FD""	""C10FD00""	""type 2 diabetes mellitus with hypoglycaemic coma""	""719216001""	""3316336015""	32",
"""459306016""",UNKNOWN,true,"69	""C10FF-1""	""C10FF11""	""type ii diabetes mellitus with peripheral angiopathy""	""314902007""	""459306016""	32",
"""459308015""",UNKNOWN,true,"379	""C10FF""	""C10FF00""	""type 2 diabetes mellitus with peripheral angiopathy""	""314902007""	""459308015""	32",
"""459309011""",UNKNOWN,true,"9	""C109G""	""C109G00""	""non-insulin dependent diabetes mellitus with arthropathy""	""314903002""	""459309011""	32",
"""459310018""",UNKNOWN,true,"244	""C10FG""	""C10FG00""	""type 2 diabetes mellitus with arthropathy""	""314903002""	""459310018""	32",
"""459311019""",UNKNOWN,true,"49	""C10FG-1""	""C10FG11""	""type ii diabetes mellitus with arthropathy""	""314903002""	""459311019""	32",
"""459312014""",UNKNOWN,true,"41	""C10FH-1""	""C10FH11""	""type ii diabetes mellitus with neuropathic arthropathy""	""314904008""	""459312014""	32",
"""459313016""",UNKNOWN,true,"976	""C10FH""	""C10FH00""	""type 2 diabetes mellitus with neuropathic arthropathy""	""314904008""	""459313016""	32",
"""493773010""",UNKNOWN,true,"47040	""C109-1""	""C109.11""	""niddm - non-insulin dependent diabetes mellitus""	""44054006""	""493773010""	32",
"""493774016""",UNKNOWN,true,"751366	""C10F-1""	""C10F.11""	""type ii diabetes mellitus""	""44054006""	""493774016""	32",
"""1223147012""",UNKNOWN,true,"1774	""C10FJ-1""	""C10FJ11""	""insulin treated type ii diabetes mellitus""	""237599002""	""1223147012""	32",
"""1223148019""",UNKNOWN,true,"1263	""C109J-1""	""C109J11""	""insulin treated non-insulin dependent diabetes mellitus""	""237599002""	""1223148019""	32",
"""2622193012""",UNKNOWN,true,"68485	""C101""	""C101.00""	""diabetes mellitus with ketoacidosis""	""420422005""	""2622193012""	32",
"""84471000006119""",UNKNOWN,true,"291033	""C109-2""	""C109.12""	""type 2 diabetes mellitus""	""44054006""	""197761014""	32",
"""84481000006116""",UNKNOWN,true,"1520	""C1097-2""	""C109712""	""type 2 diabetes mellitus - poor control""	""443694000""	""2921019012""	32",
"""84491000006118""",UNKNOWN,true,"15	""C109G-2""	""C109G12""	""type 2 diabetes mellitus with arthropathy""	""314903002""	""459310018""	32",
"""84511000006112""",UNKNOWN,true,"17	""C1095-2""	""C109512""	""type 2 diabetes mellitus with gangrene""	""421631007""	""2618206011""	32",
"""84521000006116""",UNKNOWN,true,"27	""C109D-2""	""C109D12""	""type 2 diabetes mellitus with hypoglycaemic coma""	""719216001""	""3316336015""	32",
"""84531000006118""",UNKNOWN,true,"19	""C109A-2""	""C109A12""	""type 2 diabetes mellitus with mononeuropathy""	""420436000""	""2618201018""	32",
"""84541000006111""",UNKNOWN,true,"214	""C1093-2""	""C109312""	""type 2 diabetes mellitus with multiple complications""	""190388001""	""292577016""	32",
"""84551000006113""",UNKNOWN,true,"1122	""C109C-2""	""C109C12""	""type 2 diabetes mellitus with nephropathy""	""420279001""	""3035432019""	32",
"""84561000006110""",UNKNOWN,true,"121	""C1092-2""	""C109212""	""type 2 diabetes mellitus with neurological complications""	""421326000""	""3695406015""	32",
"""84571000006115""",UNKNOWN,true,"22	""C109H-2""	""C109H12""	""type 2 diabetes mellitus with neuropathic arthropathy""	""314904008""	""459313016""	32",
"""84581000006117""",UNKNOWN,true,"195	""C1091-2""	""C109112""	""type 2 diabetes mellitus with ophthalmic complications""	""422099009""	""3698440016""	32",
"""84591000006119""",UNKNOWN,true,"8	""C109F-2""	""C109F12""	""type 2 diabetes mellitus with peripheral angiopathy""	""314902007""	""459308015""	32",
"""84631000006119""",UNKNOWN,true,"93	""C1094-2""	""C109412""	""type 2 diabetes mellitus with ulcer""	""190389009""	""292579018""	32",
"""84641000006112""",UNKNOWN,true,"106	""C1099-2""	""C109912""	""type 2 diabetes mellitus without complication""	""313436004""	""457329019""	32",
"""84841000006113""",UNKNOWN,true,"60059	""C109-3""	""C109.13""	""type ii diabetes mellitus""	""44054006""	""493774016""	32",
"""84851000006110""",UNKNOWN,true,"906	""C1097-1""	""C109711""	""type ii diabetes mellitus - poor control""	""443694000""	""2921019012""	32",
"""84861000006112""",UNKNOWN,true,"4	""C109G-1""	""C109G11""	""type ii diabetes mellitus with arthropathy""	""314903002""	""459311019""	32",
"""84881000006119""",UNKNOWN,true,"8	""C1095-1""	""C109511""	""type ii diabetes mellitus with gangrene""	""421631007""	""2618206011""	32",
"""84891000006116""",UNKNOWN,true,"5	""C109D-1""	""C109D11""	""type ii diabetes mellitus with hypoglycaemic coma""	""719216001""	""3316336015""	32",
"""84911000006119""",UNKNOWN,true,"8	""C1093-1""	""C109311""	""type ii diabetes mellitus with multiple complications""	""190388001""	""292576013""	32",
"""84931000006113""",UNKNOWN,true,"54	""C1092-1""	""C109211""	""neurological disorder with diabetes type 2""	""421326000""	""3695406015""	32",
"""84941000006115""",UNKNOWN,true,"14	""C109H-1""	""C109H11""	""type ii diabetes mellitus with neuropathic arthropathy""	""314904008""	""459312014""	32",
"""84961000006116""",UNKNOWN,true,"19	""C109F-1""	""C109F11""	""type ii diabetes mellitus with peripheral angiopathy""	""314902007""	""459306016""	32",
"""85001000006117""",UNKNOWN,true,"76	""C1094-1""	""C109411""	""type ii diabetes mellitus with ulcer""	""190389009""	""292581016""	32",
"""85011000006119""",UNKNOWN,true,"66	""C1099-1""	""C109911""	""type ii diabetes mellitus without complication""	""313436004""	""457330012""	32",
"""280511000006113""",UNKNOWN,true,"62	""C109D""	""C109D00""	""non-insulin dependent diabetes mellitus with hypoglyca coma""	""719216001""	""3316336015""	32",
"""280521000006117""",UNKNOWN,true,"33	""C109A""	""C109A00""	""non-insulin dependent diabetes mellitus with mononeuropathy""	""420436000""	""3697667019""	32",
"""280531000006119""",UNKNOWN,true,"211	""C109C""	""C109C00""	""non-insulin dependent diabetes mellitus with nephropathy""	""420279001""	""3035432019""	32",
"""280551000006114""",UNKNOWN,true,"365	""C1094""	""C109400""	""non-insulin-dependent diabetes mellitus with ulcer""	""190389009""	""292580015""	32",
"""280561000006111""",UNKNOWN,true,"85	""C109F""	""C109F00""	""non-insulin-dependent diabetes mellitus with peripheral angiopathy""	""314902007""	""459307013""	32",
"""280571000006116""",UNKNOWN,true,"846569	""C109""	""C109.00""	""non-insulin dependent diabetes mellitus""	""44054006""	""493773010""	32",
"""280581000006118""",UNKNOWN,true,"289	""C1093""	""C109300""	""non-insulin-dependent diabetes mellitus with multiple complications""	""190388001""	""292578014""	32",
"""280591000006115""",UNKNOWN,true,"603	""C1092""	""C109200""	""non-insulin-dependent diabetes mellitus with neuro comps""	""421326000""	""3695406015""	32",
"""281171000006119""",UNKNOWN,true,"32918	""C1097""	""C109700""	""type ii diabetes mellitus uncontrolled""	""443694000""	""2842387018""	32",
"""281181000006116""",UNKNOWN,true,"20	""C109H""	""C109H00""	""non-insulin dependent diabetes mellitus with neuropathic arthropathy""	""314904008""	""459314010""	32",
"""377001000006117""",UNKNOWN,true,"617	""Cyu2""	""Cyu2.00""	""[x]diabetes mellitus""	""73211009""	""121589010""	32",
"""587111000006111""",UNKNOWN,true,"728	""C1091""	""C109100""	""non-insulin-dependent diabetes mellitus with ophthalm comps""	""422099009""	""3698440016""	32",
"""616351000006115""",UNKNOWN,true,"442	""C107-1""	""C107.11""	""diabetes mellitus with gangrene""	""422275004""	""2616612015""	32",
"""616381000006111""",UNKNOWN,true,"844	""C103""	""C103.00""	""diabetes mellitus with ketoacidotic coma""	""26298008""	""44045012""	32",
"""616481000006119""",UNKNOWN,true,"1779	""C1061""	""C106100""	""diabetes mellitus, adult onset, + neurological manifestation""	""421326000""	""2618196010""	32",
"""616491000006116""",UNKNOWN,true,"957	""C1051""	""C105100""	""diabetes mellitus, adult onset, + ophthalmic manifestation""	""422099009""	""2618233010""	32",
"""616511000006110""",UNKNOWN,true,"97612	""C1001""	""C100100""	""diabetes mellitus, adult onset, no mention of complication""	""313436004""	""457329019""	32",
"""616531000006116""",UNKNOWN,true,"932	""C1011""	""C101100""	""diabetes mellitus, adult onset, with ketoacidosis""	""421750000""	""2618220016""	32",
"""616541000006114""",UNKNOWN,true,"26	""C1031""	""C103100""	""diabetes mellitus, adult onset, with ketoacidotic coma""	""421847006""	""2618218019""	32",
"""616561000006113""",UNKNOWN,true,"269	""C1072""	""C107200""	""diabetes mellitus, adult with gangrene""	""421631007""	""2618206011""	32",
"""616571000006118""",UNKNOWN,true,"1097	""C10y1""	""C10y100""	""diabetes mellitus, adult, + other specified manifestation""	""73211009""	""121589010""	32",
"""616581000006115""",UNKNOWN,true,"609	""C1071""	""C107100""	""diabetes mellitus, adult, + peripheral circulatory disorder""	""422166005""	""2618204014""	32",
"""616831000006118""",UNKNOWN,true,"553	""C107-2""	""C107.12""	""diabetes with gangrene""	""422275004""	""2616612015""	32",
"""616891000006119""",UNKNOWN,true,"226307	""EMISHGT48""	NA	""diabetic - moderate control""	""616891000006103""	""616891000006119""	1",
