code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""64668""",UNKNOWN,true,"""C10FJ11""	164	0	0	0	""insulin treated type ii diabetes mellitus""	""February 2009""",
"""106061""",UNKNOWN,true,"""C10FP11""	1	0	0	0	""type ii diabetes mellitus with ketoacidotic coma""	""May 2013""",
"""43951""",UNKNOWN,true,"""66AK.00""	1461	0	2	0	""diabetic - cooperative patient""	""February 2009""",
"""28769""",UNKNOWN,true,"""66AV.00""	43730	0	26	0	""diabetic on insulin and oral treatment""	""February 2009""",
"""62674""",UNKNOWN,true,"""C10FA00""	86	0	1	0	""type 2 diabetes mellitus with mononeuropathy""	""February 2009""",
"""711""",UNKNOWN,true,"""C10..00""	1013274	0	42870	4	""diabetes mellitus""	""February 2009""",
"""61071""",UNKNOWN,true,"""C109D12""	9	0	1	0	""type 2 diabetes mellitus with hypoglycaemic coma""	""February 2009""",
"""26054""",UNKNOWN,true,"""C10FL00""	6496	0	64	3	""type 2 diabetes mellitus with persistent proteinuria""	""February 2009""",
"""39317""",UNKNOWN,true,"""C106100""	616	0	0	0	""diabetes mellitus, adult onset, + neurological manifestation""	""February 2009""",
"""37806""",UNKNOWN,true,"""C10FF00""	230	0	3	0	""type 2 diabetes mellitus with peripheral angiopathy""	""February 2009""",
"""108005""",UNKNOWN,true,"""C109312""	58	0	0	0	""type 2 diabetes mellitus with multiple complications""	""May 2014""",
"""45491""",UNKNOWN,true,"""C10z.00""	403	0	5	0	""diabetes mellitus with unspecified complication""	""February 2009""",
"""98616""",UNKNOWN,true,"""C10F211""	3	0	0	0	""type ii diabetes mellitus with neurological complications""	""March 2010""",
"""40401""",UNKNOWN,true,"""C109500""	27	0	1	0	""non-insulin dependent diabetes mellitus with gangrene""	""February 2009""",
"""49074""",UNKNOWN,true,"""C10F400""	189	0	5	0	""type 2 diabetes mellitus with ulcer""	""February 2009""",
"""65062""",UNKNOWN,true,"""C103z00""	23	0	0	0	""diabetes mellitus nos with ketoacidotic coma""	""February 2009""",
"""42505""",UNKNOWN,true,"""C101z00""	674	0	9	0	""diabetes mellitus nos with ketoacidosis""	""February 2009""",
"""1407""",UNKNOWN,true,"""C10FJ00""	20666	0	146	0	""insulin treated type 2 diabetes mellitus""	""February 2009""",
"""63357""",UNKNOWN,true,"""C107100""	233	0	1	0	""diabetes mellitus, adult, + peripheral circulatory disorder""	""February 2009""",
"""35399""",UNKNOWN,true,"""C107.00""	4128	0	30	0	""diabetes mellitus with peripheral circulatory disorder""	""February 2009""",
"""18278""",UNKNOWN,true,"""C109J00""	6131	0	54	0	""insulin treated type 2 diabetes mellitus""	""February 2009""",
"""758""",UNKNOWN,true,"""C10F.00""	1651429	0	17728	21	""type 2 diabetes mellitus""	""February 2009""",
"""36695""",UNKNOWN,true,"""C10D.00""	412	0	4	0	""diabetes mellitus autosomal dominant type 2""	""February 2009""",
"""24693""",UNKNOWN,true,"""C109G00""	12	0	0	0	""non-insulin dependent diabetes mellitus with arthropathy""	""February 2009""",
"""7795""",UNKNOWN,true,"""C106.12""	12786	0	252	0	""diabetes mellitus with neuropathy""	""February 2009""",
"""51756""",UNKNOWN,true,"""C10FP00""	47	0	1	0	""type 2 diabetes mellitus with ketoacidotic coma""	""February 2009""",
"""18390""",UNKNOWN,true,"""C10FM00""	12794	0	68	0	""type 2 diabetes mellitus with persistent microalbuminuria""	""February 2009""",
"""64357""",UNKNOWN,true,"""C10zz00""	1419	0	0	0	""diabetes mellitus nos with unspecified complication""	""February 2009""",
"""95351""",UNKNOWN,true,"""C10FA11""	40	0	0	0	""type ii diabetes mellitus with mononeuropathy""	""February 2009""",
"""56268""",UNKNOWN,true,"""C109D11""	2	0	0	0	""type ii diabetes mellitus with hypoglycaemic coma""	""February 2009""",
"""59725""",UNKNOWN,true,"""C109111""	6	0	0	0	""type ii diabetes mellitus with ophthalmic complications""	""February 2009""",
"""34268""",UNKNOWN,true,"""C10F200""	211	0	2	0	""type 2 diabetes mellitus with neurological complications""	""February 2009""",
