"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"193541000033115"	"Canusal 200units/2ml patency solution ampoules"	"Not applicable"	"Route of administration not applicable"	"Heparin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Heparin"
"194441000033119"	"Calciparine 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Heparin"
"195741000033110"	"Calciparine 5,000units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Heparin"
"274941000033116"	"Clexane 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"275041000033116"	"Clexane 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"275141000033117"	"Clexane 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"276441000033116"	"Clexane 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"276541000033115"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"404041000033110"	"Dalteparin sodium 10,000units/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Dalteparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Dalteparin"
"404141000033114"	"Dalteparin sodium 2,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"12500.000unit/1.000ml + 12500.000unit/1.000ml"	"02080100"	"Dalteparin"
"404241000033119"	"Dalteparin sodium 10,000units/4ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Dalteparin"	"2500.000unit/1.000ml + 2500.000unit/1.000ml"	"02080100"	"Dalteparin"
