"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"38741000033119"	"Allegron 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"10.000mg"	NA	"Nortriptyline"
"38841000033112"	"Allegron 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"25.000mg"	NA	"Nortriptyline"
"43441000033118"	"Amitriptyline Sr  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"
"43541000033117"	"Amitriptyline Hydrochloride  Capsules  25 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"
"43641000033116"	"Amitriptyline Hydrochloride  Capsules  50 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"
"43741000033113"	"Amitriptyline Hydrochloride  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"
"45841000033119"	"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25.000mg"	"04030100"	"Amitriptyline"
"45941000033110"	"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"50.000mg"	"04030100"	"Amitriptyline"
"50041000033116"	"Amitriptyline Hydrochloride  Injection  10mg/ml"	"Solution for injection"	"Intramuscular"	"Amitriptyline"	NA	NA	"Amitriptyline"
"51941000033114"	"Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml"	NA	NA	"Amitriptyline"	NA	NA	"Amitriptyline"
"55441000033119"	"Amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"5.000mg/1.000ml"	"04030100"	"Amitriptyline"
"55541000033118"	"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"10.000mg/1.000ml"	"04030100"	"Amitriptyline"
"60441000033116"	"Amitriptyline 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"10.000mg"	"04030100"	"Amitriptyline"
"60541000033115"	"Amitriptyline 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"50.000mg"	"04030100"	"Amitriptyline"
"60641000033119"	"Amitriptyline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"25.000mg"	"04030100"	"Amitriptyline"
"60841000033118"	"Amoxapine  Tablets  25 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	NA	"Amoxapine"
"60941000033114"	"Amoxapine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"04030100"	"Amoxapine"
"61041000033116"	"Amoxapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"04030100"	"Amoxapine"
"61141000033117"	"Amoxapine  Tablets  150 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	NA	"Amoxapine"
"61941000033115"	"Anafranil 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	NA	"Clomipramine"
"62041000033114"	"Anafranil 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	NA	"Clomipramine"
"62141000033113"	"Anafranil 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	NA	"Clomipramine"
"64241000033110"	"Anafranil  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	NA	"Clomipramine"
"68641000033117"	"Anafranil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	NA	"Clomipramine"
"70241000033114"	"Anafranil SR 75mg tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	NA	"Clomipramine"
"87641000033116"	"Asendis 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	NA	"Amoxapine"
"87941000033111"	"Asendis 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	NA	"Amoxapine"
"259141000033116"	"Cipramil 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	NA	"Citalopram"
"259241000033111"	"Citalopram 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	"04030300"	"Citalopram"
"262041000033115"	"Clomipramine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	"04030100"	"Clomipramine"
"262141000033116"	"Clomipramine 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	"04030100"	"Clomipramine"
"262241000033111"	"Clomipramine 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	"04030100"	"Clomipramine"
"275441000033113"	"Clomipramine Hydrochloride  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	NA	"Clomipramine"
"284741000033110"	"Clomipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	"04030100"	"Clomipramine"
"285741000033111"	"Clomipramine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	"04030100"	"Clomipramine"
"472141000033110"	"Dothapax 25 capsules"	"Capsule/ Oral capsule"	"Oral"	"Dosulepin"	"25.000mg"	NA	"Dosulepin"
"473041000033119"	"Doxepin 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"10.000mg"	"04030100"	"Doxepin"
"473141000033115"	"Doxepin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"25.000mg"	"04030100"	"Doxepin"
"473241000033110"	"Doxepin 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"50.000mg"	"04030100"	"Doxepin"
"473341000033117"	"Doxepin 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"75.000mg"	"04030100"	"Doxepin"
"479641000033111"	"Dothapax 75 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dosulepin"	"75.000mg"	NA	"Dosulepin"
"489741000033113"	"Dutonin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"100.000mg"	NA	"Nefazodone"
"489841000033115"	"Dutonin 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"200.000mg"	NA	"Nefazodone"
"496741000033118"	"Edronax 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Reboxetine"	"4.000mg"	NA	"Reboxetine"
"498441000033112"	"Efexor XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"498541000033113"	"Efexor XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"499041000033111"	"Efexor 37.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"499141000033110"	"Efexor 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"499241000033115"	"Efexor 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"50.000mg"	NA	"Venlafaxine"
"561941000033115"	"Faverin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	NA	"Fluvoxamine"
"563341000033115"	"Faverin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"50.000mg"	NA	"Fluvoxamine"
"577841000033114"	"Fluoxetine 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	"04030300"	"Fluoxetine"
"579041000033111"	"Fluoxetine 60mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"60.000mg"	"04030300"	"Fluoxetine"
"592541000033118"	"Fluoxetine Hydrochloride  Liquid  20 mg/5 ml"	NA	NA	"Fluoxetine"	NA	NA	"Fluoxetine"
"592841000033116"	"Fluvoxamine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	"04030300"	"Fluvoxamine"
"595541000033113"	"Fluvoxamine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"50.000mg"	"04030300"	"Fluvoxamine"
"626241000033115"	"Gamanil 70mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lofepramine"	"70.000mg"	NA	"Lofepramine"
"754141000033110"	"Imipramine Hydrochloride  Syrup  25 mg/5 ml"	"Oral solution"	"Oral"	"Imipramine"	NA	NA	"Imipramine"
"754241000033115"	"Imipramine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Imipramine"	"25.000mg"	"04030100"	"Imipramine"
"755541000033119"	"Imipramine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Imipramine"	"10.000mg"	"04030100"	"Imipramine"
"787141000033110"	"Isocarboxazid 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Isocarboxazid"	"10.000mg"	"04030200"	"Isocarboxazid"
"819741000033117"	"Lentizol 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25.000mg"	NA	"Amitriptyline"
"819841000033110"	"Lentizol 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"50.000mg"	NA	"Amitriptyline"
"849241000033115"	"Lofepramine 70mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Lofepramine"	"14.000mg/1.000ml"	"04030100"	"Lofepramine"
"850141000033116"	"Lofepramine 70mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lofepramine"	"70.000mg"	"04030100"	"Lofepramine"
"853441000033119"	"Ludiomil 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"10.000mg"	NA	"Maprotiline"
"853541000033118"	"Ludiomil 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"25.000mg"	NA	"Maprotiline"
"853641000033117"	"Ludiomil 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"50.000mg"	NA	"Maprotiline"
"853741000033114"	"Ludiomil 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"75.000mg"	NA	"Maprotiline"
"854141000033113"	"Lustral 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"100.000mg"	NA	"Sertraline"
"854241000033118"	"Lustral 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"50.000mg"	NA	"Sertraline"
"868841000033115"	"Manerix 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moclobemide"	"150.000mg"	NA	"Moclobemide"
"868941000033111"	"Manerix 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moclobemide"	"300.000mg"	NA	"Moclobemide"
"870441000033114"	"Maprotiline 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"10.000mg"	"04030100"	"Maprotiline"
"870741000033119"	"Maprotiline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"25.000mg"	"04030100"	"Maprotiline"
"870841000033112"	"Maprotiline 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Maprotiline"	"50.000mg"	"04030100"	"Maprotiline"
