"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"7341000033112"	"Actrapid Mc  Injection  100 units/1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"9641000033112"	"Human Actrapid  Preloaded pen  100 units/ml"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"11441000033114"	"Acarbose 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"100.000mg"	"Acarbose"	"Other"	"Aurum"
"11541000033110"	"Acarbose 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"50.000mg"	"Acarbose"	"Other"	"Aurum"
"58841000033113"	"Amaryl 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"2.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"59541000033116"	"Amaryl 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"1.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"59641000033115"	"Amaryl 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"3.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"59741000033112"	"Amaryl 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"4.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"148841000033116"	"Biphasic Insulin  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"249441000033114"	"Chlorpropamide 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"100.000mg"	"Chlorpropamide"	"Sulfonylureas"	"Aurum"
"249541000033110"	"Chlorpropamide 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"250.000mg"	"Chlorpropamide"	"Sulfonylureas"	"Aurum"
"266641000033113"	"Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"266741000033116"	"Clinipak  Disposable insulin syringe with needle  1 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"406741000033116"	"Daonil  Tablets  2.5 mg"	"Tablet"	"Oral"	"Glibenclamide"	NA	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"406841000033114"	"Daonil 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"444941000033119"	"Disposable  Insulin syringe with needle  0.5 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"445041000033119"	"Disposable  Insulin syringe with needle  1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"462041000033119"	"Diabetamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"462141000033115"	"Diabetamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"463541000033118"	"Diamicron 80mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliclazide"	"80.000mg"	"Gliclazide"	"Sulfonylureas"	"Aurum"
"557241000033113"	"Euglucon 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"557341000033115"	"Euglucon 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"644541000033111"	"Glibenclamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"644641000033112"	"Glibenclamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"Glibenclamide"	"Sulfonylureas"	"Aurum"
"644741000033115"	"Glibenese 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glipizide"	"5.000mg"	"Glipizide"	"Sulfonylureas"	"Aurum"
"644841000033113"	"Glipizide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glipizide"	"5.000mg"	"Glipizide"	"Sulfonylureas"	"Aurum"
"644941000033117"	"Glucophage 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg"	"Metformin"	"Metformin"	"Aurum"
"645041000033117"	"Glucophage 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg"	"Metformin"	"Metformin"	"Aurum"
"645241000033113"	"Glucobay 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"100.000mg"	"Acarbose"	"Other"	"Aurum"
"645341000033115"	"Glucobay 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"50.000mg"	"Acarbose"	"Other"	"Aurum"
"645841000033112"	"Glimepiride 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"2.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"645941000033116"	"Glimepiride 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"1.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"646041000033114"	"Glimepiride 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"3.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"646141000033113"	"Glimepiride 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"4.000mg"	"Glimepiride"	"Sulfonylureas"	"Aurum"
"646441000033117"	"Gliclazide 80mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliclazide"	"80.000mg"	"Gliclazide"	"Sulfonylureas"	"Aurum"
"646541000033116"	"Glipizide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glipizide"	"2.500mg"	"Glipizide"	"Sulfonylureas"	"Aurum"
"646841000033119"	"Glurenorm 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliquidone"	"30.000mg"	"Gliquidone"	"Sulfonylureas"	"Aurum"
"646941000033110"	"Gliquidone 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliquidone"	"30.000mg"	"Gliquidone"	"Sulfonylureas"	"Aurum"
"719841000033112"	"Humulin I  Cartridges (1.5 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"719941000033116"	"Humulin M1  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"720041000033118"	"Humulin M2  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"720141000033119"	"Humulin M3 (Lilly)  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
