"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"91314"	9	"Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops (Aspire Pharma Ltd)"	"Timolol"	"300microgram/1ml + 5mg/1ml"	"Eye drops"	"Ocular"	"Prostaglandin Analogues (In Glaucoma)"	"Timolol"
"709"	11121766	"Ramipril 2.5mg capsules"	"Ramipril"	"2.5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"47018"	2733	"Spironolactone 25mg/5ml oral suspension"	"Spironolactone"	"5mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"83544"	21	"Spironolactone oral solution"	"Spironolactone"	NA	"Oral solution"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"17462"	773	"Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets"	"Hydrochlorothiazide"	"10mg + 6.25mg"	"Oral tablet"	"Oral"	"Unknown"	"Hydrochlorothiazide"
"28586"	9684	"Lopace 5mg capsules (Discovery Pharmaceuticals)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"85283"	0	"Cosopt 20mg/ml / 5mg/ml eye drops 0.2ml unit dose preservative free (CST Pharma Ltd)"	"Timolol"	"5mg/1ml + 20mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"15121"	1992	"Moexipril 7.5mg tablets"	"Moexipril"	"7.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Moexipril"
"42908"	58	"Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Enalapril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"86378"	2	"Bedranol 160mg tablets (Ennogen Pharma Ltd)"	"Propranolol"	"160mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"53033"	0	"Doxzogen XL 4mg tablets (Viatris UK Healthcare Ltd)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"28949"	55	"Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd)"	"Diltiazem"	"120mg"	"Modified-Release Capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"26237"	84	"Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd)"	"Prazosin"	"500microgram"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Prazosin"
"74627"	16	"Captopril 25mg Tablet (C P Pharmaceuticals Ltd)"	"Captopril"	"25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"64907"	1	"Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)"	"Bendroflumethiazide"	"5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Bendroflumethiazide"
"81042"	33	"Propranolol 40mg/5ml oral solution sugar free (Syri Ltd)"	"Propranolol"	"8mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"24228"	2704	"Nimodrel 20mg modified-release tablet (Opus Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-Release Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"34382"	9	"Ramipril 5mg capsules (Zentiva Pharma UK Ltd)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26252"	40	"Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd)"	"Verapamil"	"160mg"	"Oral tablet"	"Oral"	"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"Verapamil"
"1288"	352142	"Tenoret 50mg/12.5mg tablets (Atnahs Pharma UK Ltd)"	"Chlortalidone/Atenolol"	"12.5mg + 50mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Chlortalidone/Atenolol"
"24196"	2434	"Dopamet 250mg Tablet (Berk Pharmaceuticals Ltd)"	"Methyldopa"	"250mg"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Methyldopa"
"1294"	5668475	"Doxazosin 4mg tablets"	"Doxazosin"	"4mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"52017"	267	"Adalat LA 30 tablets (Mawdsley-Brooks & Company Ltd)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"40257"	111302	"Azarga 10mg/ml / 5mg/ml eye drops (Novartis Pharmaceuticals UK Ltd)"	"Timolol"	"5mg/1ml + 10mg/1ml"	"Eye drops"	"Ocular"	"Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"5181"	12519	"Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"57658"	0	"Ramipril 1.25mg tablets (A A H Pharmaceuticals Ltd)"	"Ramipril"	"1.25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"38995"	25570	"Zestoretic 20 tablets (Atnahs Pharma UK Ltd)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Hydrochlorothiazide/Lisinopril"
"48214"	0	"Perindopril erbumine 4mg tablets (Actavis UK Ltd)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"25965"	181	"Co-amilofruse 2.5mg/20mg tablets (Wockhardt UK Ltd)"	"Amiloride"	"2.5mg + 20mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Amiloride"
"60020"	0	"Indapamide 1.5mg modified-release tablets (Waymade Healthcare Plc)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"4694"	3054	"Terazosin 2mg tablets and Terazosin 1mg tablets"	"Terazosin"	NA	"Not applicable"	"Route of administration not applicable"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Terazosin"
"68372"	3	"Ramipril 5mg tablets (Accord-UK Ltd)"	"Ramipril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26788"	1	"PROPRANOLOL 2.5 MG ELI"	"Propranolol"	NA	NA	NA	"Unknown"	"Propranolol"
"34227"	1554	"Timolol 0.50% Eye drops (Lennon Pharmaceuticals)"	"Timolol"	"5mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)"	"Timolol"
"7338"	34440	"Aprovel 75mg tablets (Sanofi)"	"Irbesartan"	"75mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"26217"	1945	"Berkamil 5mg Tablet (Berk Pharmaceuticals Ltd)"	"Amiloride"	"5mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Amiloride"
"74215"	0	"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (DE Pharmaceuticals)"	"Hydrochlorothiazide/Losartan"	"50mg + 12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists With Diuretic"	"Hydrochlorothiazide/Losartan"
"47998"	19	"Ramipril 2.5mg capsules (Accord-UK Ltd)"	"Ramipril"	"2.5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"22289"	1	"GUANETHIDINE 3%/ADRENALINE 0.5% EYE"	"Guanethidine"	NA	NA	NA	"Unknown"	"Guanethidine"
"66517"	1	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Bendroflumethiazide"	"250microgram/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria"	"Bendroflumethiazide"
"76593"	0	"Atenolol 25mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"52399"	0	"Ramipril 1.25mg capsules (Kent Pharma (UK) Ltd)"	"Ramipril"	"1.25mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"56850"	3	"Ecopace 12.5mg tablets (Advanz Pharma)"	"Captopril"	"12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"21182"	5465	"Hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg Tablet"	"Hydrochlorothiazide/Amiloride/Timolol"	"25mg + 10mg + 2.5mg"	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Hydrochlorothiazide/Amiloride/Timolol"
"17902"	358	"Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Spironolactone"	"100mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"11983"	2569	"Perindopril erbumine 4mg/5ml oral suspension"	"Perindopril"	"800microgram/1ml"	"Oral suspension"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"34378"	70	"Propranolol 10mg tablets (A A H Pharmaceuticals Ltd)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"11966"	61939	"Motens 2mg tablets (GlaxoSmithKline UK Ltd)"	"Lacidipine"	"2mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Lacidipine"
"18903"	7204	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets"	"Hydrochlorothiazide/Olmesartan"	"25mg + 20mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists"	"Hydrochlorothiazide/Olmesartan"
"6694"	4792	"Clonidine 300microgram tablets"	"Clonidine"	"300microgram"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Clonidine"
"5513"	22170	"Dilzem sr 60mg Capsule (Elan Pharma)"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"65936"	25	"Ramipril 5mg capsules (DE Pharmaceuticals)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"7543"	77364	"Kalten capsules (M & A Pharmachem Ltd)"	"Hydrochlorothiazide/Amiloride/Atenolol"	"50mg + 2.5mg + 25mg"	"Oral capsule"	"Oral"	"Beta-Blockers With Diuretics"	"Hydrochlorothiazide/Amiloride/Atenolol"
"13589"	34320	"Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Fosinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Fosinopril"
