"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antipsychotic"
"58941000033117"	"Amisulpride 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"200.000mg"	"04020100"	"Amisulpride"
"59041000033114"	"Amisulpride 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"50.000mg"	"04020100"	"Amisulpride"
"69041000033115"	"Anquil 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	NA	"Benperidol"
"145141000033119"	"Benperidol 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"04020100"	"Benperidol"
"173841000033113"	"Buccastem 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	NA	"Prochlorperazine"
"240041000033110"	"Chlorpromazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	"04020100"	"Chlorpromazine"
"241341000033116"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	"04020100"	"Chlorpromazine"
"242241000033115"	"Chlorpromazine Hydrochloride  Injection  100 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	NA	"Chlorpromazine"
"242341000033113"	"Chlorpromazine Hydrochloride  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	NA	"Chlorpromazine"
"246541000033119"	"Chlorpromazine Hydrochloride  Suppositories  100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	NA	NA	"Chlorpromazine"
"246641000033118"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	"04020100"	"Chlorpromazine"
"249041000033117"	"Chlorpromazine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	"04020100"	"Chlorpromazine"
"249141000033118"	"Chlorpromazine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	"04020100"	"Chlorpromazine"
"249241000033113"	"Chlorpromazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	"04020100"	"Chlorpromazine"
"249341000033115"	"Chlorpromazine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	"04020100"	"Chlorpromazine"
"273641000033114"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	NA	"Zuclopenthixol"
"274841000033112"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	NA	"Zuclopenthixol"
"276041000033113"	"Clopixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200.000mg/1.000ml"	NA	"Zuclopenthixol"
"276141000033112"	"Clopixol Conc 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500.000mg/1.000ml"	NA	"Zuclopenthixol"
"284941000033113"	"Clozaril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	NA	"Clozapine"
"285041000033113"	"Clozaril 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	NA	"Clozapine"
"286941000033115"	"Clopixol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"10.000mg"	NA	"Zuclopenthixol"
"287041000033119"	"Clopixol 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"2.000mg"	NA	"Zuclopenthixol"
"287141000033115"	"Clopixol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"25.000mg"	NA	"Zuclopenthixol"
"287541000033112"	"Clozapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	"04020100"	"Clozapine"
"287641000033113"	"Clozapine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	"04020100"	"Clozapine"
"419941000033113"	"Depixol Low Volume 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200.000mg/1.000ml"	NA	"Flupentixol"
"420041000033111"	"Depixol  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"420141000033110"	"Depixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	NA	"Flupentixol"
"420241000033115"	"Depixol  Injection (syringe)  20 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"420341000033113"	"Depixol  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"420441000033119"	"Depixol Conc 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	NA	"Flupentixol"
"420541000033118"	"Depixol Conc.  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"422941000033113"	"Depixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	NA	"Flupentixol"
"423041000033115"	"Depixol Conc 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	NA	"Flupentixol"
"431741000033118"	"Depixol 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"3.000mg"	NA	"Flupentixol"
"476541000033119"	"Dozic 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	NA	"Haloperidol"
"476641000033118"	"Dozic  Liquid  2mg/ml"	NA	NA	"Haloperidol"	NA	NA	"Haloperidol"
"479841000033112"	"Dolmatil 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"400.000mg"	NA	"Sulpiride"
"480941000033116"	"Dolmatil 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"200.000mg"	NA	"Sulpiride"
"483141000033112"	"Droperidol  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	NA	"Droperidol"
"483341000033110"	"Droleptan  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	NA	"Droperidol"
"483541000033115"	"Droperidol  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	NA	"Droperidol"
"483641000033119"	"Droleptan  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	NA	"Droperidol"
"484641000033117"	"Droleptan  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	NA	"Droperidol"
"485041000033112"	"Droperidol  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	NA	"Droperidol"
"567141000033111"	"Fentazin  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	NA	NA	"Perphenazine"
"570941000033117"	"Fentazin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"2.000mg"	NA	"Perphenazine"
"571041000033110"	"Fentazin 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"4.000mg"	NA	"Perphenazine"
"571141000033114"	"Fentazin  Tablets  8 mg"	"Tablet"	"Oral"	"Perphenazine"	NA	NA	"Perphenazine"
"582041000033112"	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"582141000033111"	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"584641000033111"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"584741000033119"	"Fluphenazine Enanthate  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	NA	NA	"Fluphenazine"
"584841000033112"	"Fluspirilene  Injection  2 mg/ ml"	"Solution for injection"	"Intramuscular"	"Fluspirilene"	NA	NA	"Fluspirilene"
"585041000033116"	"Flupenthixol Decanoate  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"585241000033112"	"Flupenthixol Decanoate  Injection (syringe)  20 ml/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"585341000033119"	"Flupenthixol Decanoate  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"585541000033114"	"Flupenthixol Decanoate  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"586641000033119"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"586741000033111"	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"586841000033118"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"
"586941000033114"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"04020200"	"Fluphenazine"
"587641000033116"	"Flupenthixol Decanoate  Injection  100 mg/1 ml ampoule"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"
"587741000033113"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"04020200"	"Fluphenazine"
"593441000033111"	"Fluanxol 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"1.000mg"	NA	"Flupentixol"
"593541000033112"	"Fluanxol 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"500.000microgram"	NA	"Flupentixol"
