"medcode"	"term"	"database"
"74689019"	"maternal obesity syndrome"	"Aurum"
"100716012"	"body mass index"	"Aurum"
"251604013"	"h/o: obesity"	"Aurum"
"252191014"	"weight increasing"	"Aurum"
"252192019"	"weight decreasing"	"Aurum"
"252194018"	"abnormal weight gain"	"Aurum"
"252198015"	"weight symptom nos"	"Aurum"
"253576010"	"o/e - obese"	"Aurum"
"253669010"	"standing height"	"Aurum"
"253672015"	"o/e -height within 10% average"	"Aurum"
"253673013"	"o/e-height 10-20% over average"	"Aurum"
"253675018"	"o/e - loss of height"	"Aurum"
"253676017"	"o/e - height nos"	"Aurum"
"253677014"	"body weight"	"Aurum"
"253679012"	"o/e -weight 10-20% below ideal"	"Aurum"
"253680010"	"o/e - weight within 10% ideal"	"Aurum"
"253687013"	"o/e - underweight"	"Aurum"
"253688015"	"o/e - weight nos"	"Aurum"
"253844013"	"normal body mass index"	"Aurum"
"253845014"	"increased body mass index"	"Aurum"
"253846010"	"decreased body mass index"	"Aurum"
"253847018"	"body mass index index 25-29 - overweight"	"Aurum"
"253848011"	"body mass index 30+ - obesity"	"Aurum"
"253866018"	"height and weight"	"Aurum"
"264752011"	"initial obesity assessment"	"Aurum"
"264753018"	"follow-up obesity assessment"	"Aurum"
"264756014"	"has seen dietician - obesity"	"Aurum"
"264757017"	"treatment of obesity changed"	"Aurum"
"264758010"	"treatment of obesity started"	"Aurum"
"264759019"	"treatment of obesity stopped"	"Aurum"
"264764015"	"ideal weight discussed"	"Aurum"
"264766018"	"wants to lose weight"	"Aurum"
"264767010"	"difficulty maintaining weight loss"	"Aurum"
"264768017"	"reason for obesity therapy - occupational"	"Aurum"
"264769013"	"obesity monitoring nos"	"Aurum"
"285741017"	"attends obesity monitoring"	"Aurum"
"285742012"	"obesity monitoring refused"	"Aurum"
"285743019"	"obesity monitoring default"	"Aurum"
"285749015"	"obesity monitoring deleted"	"Aurum"
"285750015"	"obesity monitoring check done"	"Aurum"
"292971010"	"mild protein-calorie malnutrition (weight for age 75-89% of standard)"	"Aurum"
"293631011"	"obesity and other hyperalimentation"	"Aurum"
"293634015"	"drug-induced obesity"	"Aurum"
"293635019"	"extreme obesity with alveolar hypoventilation"	"Aurum"
"293802014"	"[x]obesity and other hyperalimentation"	"Aurum"
