"MedCodeId"	"CleansedReadCode"	"Term"
"2474668015"	"13YA.00"	"stroke group member"
"451368019"	"1477.00"	"h/o: cerebrovascular disease"
"809421000006116"	"14A7.00"	"h/o: cva/stroke"
"2476091017"	"14A7.12"	"h/o: stroke"
"451371010"	"14AK.00"	"h/o: stroke in last year"
"413750011"	"1M4..00"	"central post-stroke pain"
"2160121019"	"5C10.00"	"carotid artery doppler abnormal"
"2118011000000114"	"661M700"	"stroke self-management plan agreed"
"1780304018"	"662e.00"	"stroke/cva annual review"
"2126181000000114"	"662e.11"	"stroke annual review"
"264499015"	"662M.00"	"stroke monitoring"
"1160471000000111"	"662M100"	"stroke 6 month review"
"2548554013"	"662o.00"	"haemorrhagic stroke monitoring"
"265692011"	"7004300"	"evacuation of intracerebral haematoma nec"
"641561000006113"	"7A20300"	"endarterectomy and patch repair of carotid artery"
"271533019"	"7A20311"	"carotid endarterectomy and patch"
"271534013"	"7A20400"	"endarterectomy of carotid artery nec"
"371641000000112"	"7P24200"	"delivery of rehabilitation for stroke"
"2469365010"	"8HBJ.00"	"stroke / transient ischaemic attack referral"
"449935012"	"8Hd6.00"	"admission to stroke unit"
"966981000006112"	"8HHM.00"	"ref to multidisciplinary stroke function improvement service"
"1784651000006110"	"8IEC.00"	"ref multidisciplinary stroke function improvement declined"
"138981000000113"	"9h2..00"	"exception reporting: stroke quality indicators"
"139081000000117"	"9h21.00"	"excepted from stroke quality indicators: patient unsuitable"
"139091000000115"	"9h22.00"	"excepted from stroke quality indicators: informed dissent"
"236331000000111"	"9Om..00"	"stroke/transient ischaemic attack monitoring administration"
"2534253014"	"9Om0.00"	"stroke/transient ischaemic attack monitoring first letter"
"2534212018"	"9Om1.00"	"stroke/transient ischaemic attack monitoring second letter"
"2534196010"	"9Om2.00"	"stroke/transient ischaemic attack monitoring third letter"
"986831000006115"	"9Om3.00"	"stroke/transient ischaemic attack monitoring verbal invitati"
"294703019"	"E030400"	"acute confusional state, of cerebrovascular origin"
"294711012"	"E031400"	"subacute confusional state, of cerebrovascular origin"
"297013012"	"F11x200"	"cerebral degeneration due to cerebrovascular disease"
"345121017"	"F124.00"	"vascular parkinsonism"
"417171000006111"	"Fyu5700"	"[x]other vascular syndroms/brain in cerebrovasculr diseases"
"104563015"	"G6...00"	"cerebrovascular disease"
"481028017"	"G60..00"	"subarachnoid haemorrhage"
"300242011"	"G600.00"	"ruptured berry aneurysm"
"300244012"	"G601.00"	"subarachnoid haemorrhage from carotid siphon and bifurcation"
"123511000006114"	"G602.00"	"subarachnoid haemorrhage from middle cerebral artery"
"123481000006118"	"G603.00"	"subarachnoid haemorrhage from anterior communicating artery"
"123521000006118"	"G604.00"	"subarachnoid haemorrhage from posterior communicating artery"
"123491000006115"	"G605.00"	"subarachnoid haemorrhage from basilar artery"
"300253017"	"G606.00"	"subarachnoid haemorrhage from vertebral artery"
"123441000006112"	"G60X.00"	"subarachnoid haemorrh from intracranial artery, unspecif"
"300257016"	"G60z.00"	"subarachnoid haemorrhage nos"
"744901000006114"	"G61..00"	"intracerebral haemorrhage"
"605471000006112"	"G61..11"	"cva - cerebrovascular accid due to intracerebral haemorrhage"
"122371000006118"	"G61..12"	"stroke due to intracerebral haemorrhage"
"495394013"	"G610.00"	"cortical haemorrhage"
"496232015"	"G611.00"	"internal capsule haemorrhage"
"503791000006114"	"G612.00"	"basal nucleus haemorrhage"
"502878012"	"G613.00"	"cerebellar haemorrhage"
"503469016"	"G614.00"	"pontine haemorrhage"
"483988011"	"G615.00"	"bulbar haemorrhage"
"300276019"	"G616.00"	"external capsule haemorrhage"
"300277011"	"G617.00"	"intracerebral haemorrhage, intraventricular"
"746571000006116"	"G618.00"	"intracerebral haemorrhage, multiple localized"
"345675012"	"G619.00"	"lobar cerebral haemorrhage"
"744921000006116"	"G61X.00"	"intracerebral haemorrhage in hemisphere, unspecified"
"748941000006115"	"G61X000"	"left sided intracerebral haemorrhage, unspecified"
"163261000006119"	"G61X100"	"right sided intracerebral haemorrhage, unspecified"
"300287010"	"G61z.00"	"intracerebral haemorrhage nos"
"300290016"	"G62..00"	"other and unspecified intracranial haemorrhage"
"300294013"	"G621.00"	"subdural haemorrhage - nontraumatic"
"2534198011"	"G623.00"	"subdural haemorrhage nos"
"300298011"	"G62z.00"	"intracranial haemorrhage nos"
"395777014"	"G63..00"	"precerebral arterial occlusion"
"345639010"	"G63..11"	"infarction - precerebral"
"126301000006113"	"G63..12"	"stenosis of precerebral arteries"
"300303013"	"G630.00"	"basilar artery occlusion"
"395778016"	"G631.00"	"carotid artery occlusion"
"126531000006111"	"G631.11"	"stenosis, carotid artery"
"300309012"	"G632.00"	"vertebral artery occlusion"
"300310019"	"G633.00"	"multiple and bilateral precerebral arterial occlusion"
"107332010"	"G634.00"	"carotid artery stenosis"
"300311015"	"G63y.00"	"other precerebral artery occlusion"
"300312010"	"G63y000"	"cerebral infarct due to thrombosis of precerebral arteries"
"300313017"	"G63y100"	"cerebral infarction due to embolism of precerebral arteries"
"300314011"	"G63z.00"	"precerebral artery occlusion nos"
"1222398015"	"G64..00"	"cerebral arterial occlusion"
"605461000006117"	"G64..11"	"cva - cerebral artery occlusion"
"218511000000117"	"G64..12"	"infarction - cerebral"
"122361000006113"	"G64..13"	"stroke due to cerebral arterial occlusion"
"118689010"	"G640.00"	"cerebral thrombosis"
"300321011"	"G640000"	"cerebral infarction due to thrombosis of cerebral arteries"
"125470015"	"G641.00"	"cerebral embolism"
"542831000006116"	"G641.11"	"cerebral embolus"
"300322016"	"G641000"	"cerebral infarction due to embolism of cerebral arteries"
"395780010"	"G64z.00"	"cerebral infarction nos"
"345650013"	"G64z.11"	"brainstem infarction nos"
"158118014"	"G64z.12"	"cerebellar infarction"
"524541000006117"	"G64z000"	"brainstem infarction"
"57341000006119"	"G64z100"	"wallenberg syndrome"
"130375018"	"G64z111"	"lateral medullary syndrome"
"451133011"	"G64z200"	"left sided cerebral infarction"
"451134017"	"G64z300"	"right sided cerebral infarction"
"2474651019"	"G64z400"	"infarction of basal ganglia"
"67511000006117"	"G65..13"	"vertebro-basilar insufficiency"
"106392017"	"G650.00"	"basilar artery syndrome"
"499739014"	"G650.11"	"insufficiency - basilar artery"
"58046010"	"G651.00"	"vertebral artery syndrome"
"67501000006115"	"G651000"	"vertebro-basilar artery syndrome"
"300344014"	"G653.00"	"carotid artery syndrome hemispheric"
