"medcode"	"readcode"	"desc"
"100128"	"F124.00"	"vascular parkinsonism"
"10062"	"G6z..00"	"cerebrovascular disease nos"
"100639"	"1M4..00"	"central post-stroke pain"
"104638"	"8IEC.00"	"ref multidisciplinary stroke function improvement declined"
"10504"	"G64z300"	"right sided cerebral infarction"
"105100"	"662M100"	"stroke 6 month review"
"105520"	"8Hd6.00"	"admission to stroke unit"
"107195"	"661M700"	"stroke self-management plan agreed"
"107440"	"G619.00"	"lobar cerebral haemorrhage"
"107886"	"662e.11"	"stroke annual review"
"10792"	"662M.00"	"stroke monitoring"
"10794"	"G656.00"	"vertebrobasilar insufficiency"
"108630"	"Gyu6E00"	"[x]subarachnoid haemorrh from intracranial artery, unspecif"
"108668"	"Gyu6000"	"[x]subarachnoid haemorrhage from other intracranial arteries"
"10962"	"9h2..00"	"exception reporting: stroke quality indicators"
"11039"	"9h21.00"	"excepted from stroke quality indicators: patient unsuitable"
"11074"	"9h22.00"	"excepted from stroke quality indicators: informed dissent"
"12413"	"5C10.00"	"carotid artery doppler abnormal"
"12555"	"G671z00"	"generalised ischaemic cerebrovascular disease nos"
"12733"	"7A20311"	"carotid endarterectomy and patch"
"12833"	"G668.00"	"right sided cva"
"1298"	"G66..11"	"cva unspecified"
"13564"	"G613.00"	"cerebellar haemorrhage"
"13577"	"G67..00"	"other cerebrovascular disease"
"13707"	"8HBJ.00"	"stroke / transient ischaemic attack referral"
"1469"	"G66..00"	"stroke and cerebrovascular accident unspecified"
"15019"	"G641.00"	"cerebral embolism"
"15252"	"G64z.11"	"brainstem infarction nos"
"16507"	"G65z100"	"intermittent cerebral ischaemia"
"16517"	"G640.00"	"cerebral thrombosis"
"17322"	"G664.00"	"cerebellar stroke syndrome"
"17326"	"G60X.00"	"subarachnoid haemorrh from intracranial artery, unspecif"
"1786"	"G60..00"	"subarachnoid haemorrhage"
"18604"	"G61..12"	"stroke due to intracerebral haemorrhage"
"18686"	"662e.00"	"stroke/cva annual review"
"18689"	"G660.00"	"middle cerebral artery syndrome"
"18912"	"G623.00"	"subdural haemorrhage nos"
"19201"	"G61X100"	"right sided intracerebral haemorrhage, unspecified"
"19260"	"G662.00"	"posterior cerebral artery syndrome"
"19348"	"ZV12511"	"[v]personal history of stroke"
"19412"	"G602.00"	"subarachnoid haemorrhage from middle cerebral artery"
"20284"	"G62z.00"	"intracranial haemorrhage nos"
"21118"	"G651000"	"vertebro-basilar artery syndrome"
"2156"	"G631.11"	"stenosis, carotid artery"
"22677"	"G70y011"	"carotid artery disease"
"23361"	"G68..00"	"late effects of cerebrovascular disease"
"23580"	"G60z.00"	"subarachnoid haemorrhage nos"
"23671"	"G63y000"	"cerebral infarct due to thrombosis of precerebral arteries"
"23942"	"G650.00"	"basilar artery syndrome"
"24035"	"E031400"	"subacute confusional state, of cerebrovascular origin"
"2417"	"G65..13"	"vertebro-basilar insufficiency"
"2418"	"G6...00"	"cerebrovascular disease"
"24446"	"G63y100"	"cerebral infarction due to embolism of precerebral arteries"
"25114"	"E030400"	"acute confusional state, of cerebrovascular origin"
"25615"	"G64z000"	"brainstem infarction"
"26424"	"G64z400"	"infarction of basal ganglia"
"2652"	"G634.00"	"carotid artery stenosis"
"2654"	"7A20400"	"endarterectomy of carotid artery nec"
"27975"	"G641000"	"cerebral infarction due to embolism of cerebral arteries"
"28314"	"G61X000"	"left sided intracerebral haemorrhage, unspecified"
"28753"	"9Om0.00"	"stroke/transient ischaemic attack monitoring first letter"
"28914"	"662o.00"	"haemorrhagic stroke monitoring"
"29939"	"G600.00"	"ruptured berry aneurysm"
"30045"	"G616.00"	"external capsule haemorrhage"
"30202"	"G617.00"	"intracerebral haemorrhage, intraventricular"
"31060"	"G61X.00"	"intracerebral haemorrhage in hemisphere, unspecified"
"31218"	"9Om..00"	"stroke/transient ischaemic attack monitoring administration"
"31451"	"P7y0.00"	"cerebrovascular system anomalies"
"3149"	"G64z.00"	"cerebral infarction nos"
"31595"	"G610.00"	"cortical haemorrhage"
"31704"	"G677.00"	"occlusion/stenosis cerebral arts not result cerebral infarct"
"31805"	"G62..00"	"other and unspecified intracranial haemorrhage"
"32447"	"G630.00"	"basilar artery occlusion"
"33377"	"G651.00"	"vertebral artery syndrome"
"33499"	"G665.00"	"pure motor lacunar syndrome"
"33543"	"G6X..00"	"cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"
"34117"	"G67y.00"	"other cerebrovascular disease os"
"34135"	"14A7.00"	"h/o: cva/stroke"
