"medcode"	"readcode"	"desc"
"10079"	"G580.12"	"right heart failure"
"101137"	"G583.11"	"hfnef - heart failure with normal ejection fraction"
"101138"	"G583.00"	"heart failure with normal ejection fraction"
"10154"	"G580.13"	"right ventricular failure"
"102585"	"8HgD.00"	"discharge from heart failure nurse service"
"103732"	"8CMK.00"	"has heart failure management plan"
"104275"	"G584.00"	"right ventricular failure"
"104333"	"G5yyC00"	"diastolic dysfunction"
"104876"	"G5yyB00"	"right ventricular diastolic dysfunction"
"105002"	"679W100"	"education about deteriorating heart failure"
"105542"	"8CeC.00"	"preferred place of care for next exacerbation heart failure"
"106008"	"8CMW800"	"heart failure clinical pathway"
"106198"	"661M500"	"heart failure self-management plan agreed"
"106545"	"9m5..00"	"high risk of heart failure screening invitation"
"106680"	"8HTL000"	"referral to rapid access heart failure clinic"
"106894"	"8IE1.00"	"referral to heart failure exercise programme declined"
"106897"	"G583.12"	"heart failure with preserved ejection fraction"
"107981"	"8IE0.00"	"referral to heart failure education group declined"
"11284"	"585f.00"	"echocardiogram shows left ventricular systolic dysfunction"
"11351"	"585g.00"	"echocardiogram shows left ventricular diastolic dysfunction"
"11424"	"G580300"	"compensated cardiac failure"
"1223"	"G58..11"	"cardiac failure"
"12366"	"662T.00"	"congestive heart failure monitoring"
"12550"	"G5yyA00"	"left ventricular diastolic dysfunction"
"12590"	"G58z.11"	"weak heart"
"12627"	"9N0k.00"	"seen in heart failure clinic"
"13189"	"662g.00"	"new york heart association classification - class ii"
"15058"	"14A6.00"	"h/o: heart failure"
"17278"	"G58z.12"	"cardiac failure nos"
"17851"	"8HBE.00"	"heart failure follow-up"
"18853"	"662f.00"	"new york heart association classification - class i"
"19002"	"9N2p.00"	"seen by community heart failure nurse"
"19066"	"662h.00"	"new york heart association classification - class iii"
"19380"	"9Or0.00"	"heart failure review completed"
"20324"	"R2y1000"	"[d]cardiorespiratory failure"
"2062"	"G58..00"	"heart failure"
"20822"	"Q48y100"	"congenital cardiac failure"
"22262"	"G1yz100"	"rheumatic left ventricular failure"
"23481"	"G581.11"	"asthma - cardiac"
"23566"	"Q490.00"	"neonatal cardiac failure"
"23707"	"G580000"	"acute congestive heart failure"
"24503"	"8B29.00"	"cardiac failure therapy"
