"MedCodeId"	"CleansedReadCode"	"Term"	"cat"
"459694018"	"13AB.00"	"diabetic lipid lowering diet"	"Unknown"
"459695017"	"13AC.00"	"diabetic weight reducing diet"	"Unknown"
"250447011"	"13B1.00"	"diabetic diet"	"Unknown"
"418920011"	"13L4.11"	"diabetic child"	"Unknown"
"251187019"	"13Y1.00"	"diabetic association member"	"Unknown"
"251591016"	"1434"	"h/o: diabetes mellitus"	"Unknown"
"453100011"	"14F4.00"	"h/o: admission in last year for diabetes foot problem"	"Unknown"
"1752811000000118"	"1IA..00"	"no evidence of diabetic nephropathy"	"Unknown"
"169731000006118"	"2BBF.00"	"retinal abnormality - diabetes related"	"Unknown"
"1484883016"	"2BBJ.00"	"o/e - no right diabetic retinopathy"	"Unknown"
"975251000006111"	"2BBk.00"	"o/e - right eye stable treated prolif diabetic retinopathy"	"Unknown"
"1484886012"	"2BBK.00"	"o/e - no left diabetic retinopathy"	"Unknown"
"975261000006113"	"2BBl.00"	"o/e - left eye stable treated prolif diabetic retinopathy"	"Unknown"
"1484887015"	"2BBL.00"	"o/e - diabetic maculopathy present both eyes"	"Unknown"
"1484888013"	"2BBM.00"	"o/e - diabetic maculopathy absent both eyes"	"Unknown"
"2549896013"	"2BBo.00"	"o/e - sight threatening diabetic retinopathy"	"Unknown"
"2159973010"	"2BBP.00"	"o/e - right eye background diabetic retinopathy"	"Unknown"
"2159974016"	"2BBQ.00"	"o/e - left eye background diabetic retinopathy"	"Unknown"
"733161000000116"	"2BBr.00"	"impaired vision due to diabetic retinopathy"	"Unknown"
"2159975015"	"2BBR.00"	"o/e - right eye preproliferative diabetic retinopathy"	"Unknown"
"2159976019"	"2BBS.00"	"o/e - left eye preproliferative diabetic retinopathy"	"Unknown"
"2159977011"	"2BBT.00"	"o/e - right eye proliferative diabetic retinopathy"	"Unknown"
"2159978018"	"2BBV.00"	"o/e - left eye proliferative diabetic retinopathy"	"Unknown"
"2159979014"	"2BBW.00"	"o/e - right eye diabetic maculopathy"	"Unknown"
"2159980012"	"2BBX.00"	"o/e - left eye diabetic maculopathy"	"Unknown"
"451410016"	"2G5A.00"	"o/e - right diabetic foot at risk"	"Unknown"
"451411017"	"2G5B.00"	"o/e - left diabetic foot at risk"	"Unknown"
"764201000006110"	"2G5C.00"	"foot abnormality - diabetes related"	"Unknown"
"1666911000000113"	"2G5d.00"	"o/e - left diabetic foot at increased risk"	"Unknown"
"1666931000000117"	"2G5e.00"	"o/e - right diabetic foot at increased risk"	"Unknown"
"1488393013"	"2G5E.00"	"o/e - right diabetic foot at low risk"	"Unknown"
