"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"DPP4i"
"4133241000033117"	"Sitagliptin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"100.000mg"	"06010203"	"Sitagliptin"
"4133341000033110"	"Januvia 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"100.000mg"	NA	"Sitagliptin"
"4269741000033117"	"Vildagliptin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"50.000mg"	"06010203"	"Vildagliptin"
"4269941000033119"	"Galvus 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"50.000mg"	NA	"Vildagliptin"
"4452341000033119"	"Vildagliptin 50mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"850.000mg + 50.000mg"	"06010203"	"Vildagliptin"
"4452441000033113"	"Vildagliptin 50mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"1.000gram + 50.000mg"	"06010203"	"Vildagliptin"
"4452541000033114"	"Eucreas 50mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"1.000gram + 50.000mg"	NA	"Vildagliptin"
"4452641000033110"	"Eucreas 50mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vildagliptin"	"850.000mg + 50.000mg"	NA	"Vildagliptin"
"5132241000033116"	"Janumet 50mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"1.000gram + 50.000mg"	NA	"Sitagliptin"
"5316641000033118"	"Saxagliptin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"5.000mg"	"06010203"	"Saxagliptin"
"5316741000033110"	"Onglyza 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"5.000mg"	NA	"Saxagliptin"
"5576041000033115"	"Metformin 1g / Sitagliptin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"1.000gram + 50.000mg"	"06010203"	"Sitagliptin"
"6123241000033112"	"Saxagliptin 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"2.500mg"	"06010203"	"Saxagliptin"
"6123341000033119"	"Onglyza 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"2.500mg"	NA	"Saxagliptin"
"6444041000033117"	"Linagliptin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"5.000mg"	"06010203"	"Linagliptin"
"6444141000033118"	"Trajenta 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"5.000mg"	NA	"Linagliptin"
"7687241000033110"	"Sitagliptin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"50.000mg"	"06010203"	"Sitagliptin"
"7687341000033117"	"Januvia 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"50.000mg"	NA	"Sitagliptin"
"7687441000033111"	"Sitagliptin 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"25.000mg"	"06010203"	"Sitagliptin"
"7687541000033112"	"Januvia 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sitagliptin"	"25.000mg"	NA	"Sitagliptin"
"8115741000033119"	"Linagliptin 2.5mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"2.500mg + 1000.000mg"	"06010203"	"Linagliptin"
"8115841000033112"	"Linagliptin 2.5mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"2.500mg + 850.000mg"	"06010203"	"Linagliptin"
"8115941000033116"	"Jentadueto 2.5mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"2.500mg + 1000.000mg"	NA	"Linagliptin"
"8116041000033114"	"Jentadueto 2.5mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"2.500mg + 850.000mg"	NA	"Linagliptin"
"8242541000033112"	"Saxagliptin 2.5mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"850.000mg + 2.500mg"	"06010203"	"Saxagliptin"
"8242641000033113"	"Saxagliptin 2.5mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"1.000gram + 2.500mg"	"06010203"	"Saxagliptin"
"8242741000033116"	"Komboglyze 2.5mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"850.000mg + 2.500mg"	NA	"Saxagliptin"
"8242841000033114"	"Komboglyze 2.5mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"1.000gram + 2.500mg"	NA	"Saxagliptin"
"8959241000033118"	"Alogliptin 6.25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"6.250mg"	"06010203"	"Alogliptin"
"8959341000033111"	"Alogliptin 12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"12.500mg"	"06010203"	"Alogliptin"
"8959441000033117"	"Alogliptin 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"25.000mg"	"06010203"	"Alogliptin"
"8959541000033116"	"Vipidia 6.25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"6.250mg"	NA	"Alogliptin"
"8959641000033115"	"Vipidia 12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"12.500mg"	NA	"Alogliptin"
"8959741000033112"	"Vipidia 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"25.000mg"	NA	"Alogliptin"
