"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"DPP4i"
"43684"	42448	"Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Sitagliptin"	"1gram + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Sitagliptin"
"69540"	1134	"Saxagliptin 5mg / Dapagliflozin 10mg tablets"	"Saxagliptin"	"5mg + 10mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Saxagliptin"
"80087"	529	"Empagliflozin 25mg / Linagliptin 5mg tablets"	"Linagliptin"	"25mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Linagliptin"
"72539"	5	"Sitagliptin 50mg/5ml oral solution"	"Sitagliptin"	"10mg/1ml"	"Oral solution"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"80319"	249	"Empagliflozin 10mg / Linagliptin 5mg tablets"	"Linagliptin"	"10mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Linagliptin"
"58865"	65	"Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)"	"Saxagliptin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Saxagliptin"
"37874"	15340	"Vildagliptin 50mg / Metformin 850mg tablets"	"Vildagliptin"	"850mg + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Vildagliptin"
"91475"	0	"Sitagliptin 100mg tablets (Morningside Healthcare Ltd)"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"39149"	460	"Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Vildagliptin"	"50mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Vildagliptin"
"41431"	4439	"Onglyza 5mg tablets (AstraZeneca UK Ltd)"	"Saxagliptin"	"5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"
"62326"	833	"Vipidia 6.25mg tablets (Takeda UK Ltd)"	"Alogliptin"	"6.25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"77978"	1	"Januvia 50mg tablets (Pharmaram Ltd)"	"Sitagliptin"	"50mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"56965"	456	"Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)"	"Saxagliptin"	"1gram + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Saxagliptin"
"48533"	68104	"Sitagliptin 25mg tablets"	"Sitagliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"91306"	0	"Sitagliptin 100mg tablets (Amarox Ltd)"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"45821"	839	"Onglyza 2.5mg tablets (AstraZeneca UK Ltd)"	"Saxagliptin"	"2.5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"
"87852"	1	"Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin"	"25mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Linagliptin"
"50124"	1445	"Januvia 25mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Sitagliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"82985"	24	"Sitagliptin 50mg/5ml oral suspension"	"Sitagliptin"	"10mg/1ml"	"Oral suspension"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"88993"	8	"Sitagliptin 25mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Sitagliptin"	"25mg/1ml"	"Oral solution"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"60328"	58885	"Alogliptin 12.5mg tablets"	"Alogliptin"	"12.5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"60497"	13984	"Alogliptin 12.5mg / Metformin 1g tablets"	"Alogliptin"	"1gram + 12.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Alogliptin"
"35022"	1840249	"Sitagliptin 100mg tablets"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"37875"	70544	"Vildagliptin 50mg tablets"	"Vildagliptin"	"50mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Vildagliptin"
"88019"	62	"Sitagliptin 100mg/5ml oral solution sugar free"	"Sitagliptin"	"20mg/1ml"	"Oral solution"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"89021"	123	"Sitagliptin 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"43619"	85709	"Metformin 1g / Sitagliptin 50mg tablets"	"Sitagliptin"	"1gram + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Sitagliptin"
"52445"	17541	"Linagliptin 2.5mg / Metformin 1g tablets"	"Linagliptin"	"1000mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Linagliptin"
"45775"	85657	"Saxagliptin 2.5mg tablets"	"Saxagliptin"	"2.5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"
"74051"	17	"Onglyza 5mg tablets (Sigma Pharmaceuticals Plc)"	"Saxagliptin"	"5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"
