"medcode"	"readcode"	"desc"
"111297"	"9TC5.00"	"hungarian roma"
"112662"	"9TC4.00"	"slovak roma"
"111609"	"9TC3.00"	"romanian roma"
"111704"	"9TC2.00"	"polish roma"
"112719"	"9TC1.00"	"czech roma"
"111792"	"9TC0.00"	"bulgarian roma"
"111822"	"9TC..00"	"roma ethnic group"
"101162"	"9T9..00"	"nepali"
"101219"	"9T8..00"	"portuguese"
"101787"	"9T7..00"	"slovak"
"100143"	"9T6..00"	"czech"
"99788"	"9T5..00"	"bulgarian"
"99808"	"9T4..00"	"romanian"
"94487"	"9T3..00"	"yemeni"
"111806"	"9t2J.00"	"other ethnic grp: any other ethnic grp- scotland 2011 census"
"112245"	"9t2H.00"	"other ethnic grp: arab/arab scot/arab british- scotland 2011"
"112216"	"9t2G.00"	"carib/black: any other black/caribbean grp - scotland 2011"
"112649"	"9t2F.00"	"carib/black: black/black scot/black brit- scotland 2011 cens"
"110655"	"9t2D.00"	"african: any other african - scotland ethnic cat 2011 census"
"111059"	"9t2C.00"	"african: african/african scot/african brit - scotland 2011"
"110855"	"9t2B.00"	"asian: other asian group - scotland ethnic cat 2011 census"
"111064"	"9t2A.00"	"asian: chinese - scotland ethnic category 2011 census"
"112225"	"9t29.00"	"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011"
"111368"	"9t28.00"	"asian: indian, indian scot/indian brit- scotland 2011 census"
"110460"	"9t27.00"	"asian: pakistani/pakistani scot/pakistani brit- scot 2011"
"110696"	"9t26.00"	"mixed/multiple ethnic grps: any- scot ethnic cat 2011 census"
"110695"	"9t25.00"	"white: other white ethnic grp- scotland ethnic cat 2011 cens"
"110465"	"9t24.00"	"white: polish - scotland ethnic category 2011 census"
"113253"	"9t23.00"	"white: gypsy/irish traveller - scotland ethnic cat 2011 cens"
"110687"	"9t22.00"	"white: irish - scotland ethnic category 2011 census"
"110694"	"9t21.00"	"white: other british - scotland ethnic category 2011 census"
"110432"	"9t20.00"	"white: scottish - scotland ethnic category 2011 census"
"32781"	"9T2..00"	"traveller - gypsy"
"71425"	"9T1Z.00"	"new zealand ethnic group nos"
"96789"	"9T1Y.00"	"other new zealand ethnic group"
"110646"	"9t1F.00"	"other ethnic group: any other grp- ni ethnic cat 2011 census"
"32396"	"9T1E.00"	"other asian"
"110780"	"9t1E.00"	"other ethnic group: arab - ni ethnic category 2011 census"
"25920"	"9T1D.00"	"indian"
"111880"	"9t1D.00"	"black/afri/carib/black brit: other - ni eth cat 2011 census"
"12718"	"9T1C.00"	"chinese"
"110779"	"9t1C.00"	"black/afri/carib/black brit: caribbean- ni eth cat 2011 cens"
"46649"	"9T1B.00"	"south east asian"
"110630"	"9t1B.00"	"black/afri/carib/black brit: african- ni eth cat 2011 census"
"46752"	"9T1A.00"	"other pacific ethnic group"
"110425"	"9t1A.00"	"asian/asian british: other asian - ni ethnic cat 2011 census"
"64609"	"9T19.00"	"fijian"
"112363"	"9t19.00"	"asian/asian british: chinese - ni ethnic cat 2011 census"
"25434"	"9T18.00"	"tokelauan"
"110720"	"9t18.00"	"asian/asian british: bangladeshi - ni ethnic cat 2011 census"
"55584"	"9T17.00"	"niuean"
"110538"	"9t17.00"	"asian/asian british: pakistani - ni ethnic cat 2011 census"
"60837"	"9T16.00"	"tongan"
"110422"	"9t16.00"	"asian or asian british: indian - ni ethnic cat 2011 census"
"89910"	"9T15.00"	"cook island maori"
"110536"	"9t15.00"	"mixed: other mixed/multiple ethnic backgrd - ni 2011 census"
"64610"	"9T14.00"	"samoan"
"110471"	"9t14.00"	"mixed: white and asian - ni ethnic category 2011 census"
"32479"	"9T13.00"	"new zealand maori"
"110651"	"9t13.00"	"mixed: white and black african - ni ethnic cat 2011 census"
"85505"	"9T12.00"	"other european in new zealand"
"110661"	"9t12.00"	"mixed: white and black caribbean - ni ethnic cat 2011 census"
"85509"	"9T11.11"	"pakeha"
"57286"	"9T11.00"	"new zealand european"
"112899"	"9t10.00"	"white - northern ireland ethnic category 2011 census"
"45008"	"9T1..00"	"new zealand ethnic groups"
"110742"	"9t0H.00"	"other ethnic: any other grp - eng+wales eth cat 2011 census"
"110555"	"9t0G.00"	"other ethnic group: arab - eng+wales ethnic cat 2011 census"
"110540"	"9t0F.00"	"black/afr/carib/black brit: other black- eng+wales 2011 cens"
"110436"	"9t0E.00"	"black/african/caribbn/black brit: caribbean - eng+wales 2011"
"110437"	"9t0D.00"	"black/african/carib/black brit: african- eng+wales 2011 cens"
"111743"	"9t0C.00"	"asian/asian brit: other asian- eng+wales eth cat 2011 census"
"110922"	"9t0B.00"	"asian/asian brit: chinese - eng+wales ethnic cat 2011 census"
"110590"	"9t0A.00"	"asian/asian brit: bangladeshi- eng+wales eth cat 2011 census"
"110464"	"9t09.00"	"asian/asian british:pakistani- eng+wales eth cat 2011 census"
"110477"	"9t08.00"	"asian/asian brit: indian - eng+wales ethnic cat 2011 census"
"110654"	"9t07.00"	"mixed: other mixed/multiple backgrd - eng+wales 2011 census"
"110652"	"9t06.00"	"mixed: white+asian - eng+wales ethnic category 2011 census"
"110421"	"9t05.00"	"mixed: white+black african - eng+wales eth cat 2011 census"
"110445"	"9t04.00"	"mixed: white+black caribbean - eng+wales eth cat 2011 census"
"110407"	"9t03.00"	"white: other white backgrd- eng+wales ethnic cat 2011 census"
"111386"	"9t02.00"	"white: gypsy/irish traveller - eng+wales eth cat 2011 census"
"110556"	"9t01.00"	"white: irish - england and wales ethnic category 2011 census"
"110420"	"9t00.00"	"white:eng/welsh/scot/ni/brit - england and wales 2011 census"
"45199"	"9SZ..00"	"ethnic groups (census) nos"
"12757"	"9SJ..00"	"other ethnic group"
"47601"	"9SI..00"	"irish traveller"
"12668"	"9SH..00"	"other asian ethnic group"
"32136"	"9SG..00"	"other black ethnic group"
"24340"	"9SE..00"	"ethnic group not recorded"
"12429"	"9SD..00"	"ethnic group not given - patient refused"
"25411"	"9SC..00"	"vietnamese"
"32443"	"9SB6.00"	"black african and white"
"32425"	"9SB5.00"	"black caribbean and white"
"32420"	"9SB4.00"	"other ethnic, other mixed orig"
"35459"	"9SB3.00"	"other ethnic, mixed white orig"
"32401"	"9SB2.00"	"other ethnic, asian/white orig"
"47401"	"9SB1.00"	"other ethnic, black/white orig"
"12696"	"9SB..00"	"other ethnic, mixed origin"
"41214"	"9SAD.00"	"other ethnic nec (nmo)"
"12633"	"9SAC.00"	"other european (nmo)"
"32069"	"9SAB.12"	"turkish cypriot (nmo)"
"32126"	"9SAB.11"	"turkish (nmo)"
"32066"	"9SAB.00"	"turkish/turkish cypriot (nmo)"
"47949"	"9SAA.12"	"greek cypriot (nmo)"
