"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"GLP-1RA"
"4149341000033111"	"Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250.000microgram/1.000ml"	"06010203"	"Exenatide"
"4149441000033117"	"Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250.000microgram/1.000ml"	"06010203"	"Exenatide"
"4149541000033116"	"Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250.000microgram/1.000ml"	NA	"Exenatide"
"4149641000033115"	"Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Exenatide"	"250.000microgram/1.000ml"	NA	"Exenatide"
"5131241000033110"	"Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"6.000mg/1.000ml"	"06010203"	"Liraglutide"
"5131341000033117"	"Victoza 6mg/ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"6.000mg/1.000ml"	NA	"Liraglutide"
"6388241000033117"	"Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Exenatide"	"2.000mg"	"06010203"	"Exenatide"
"6388341000033110"	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Exenatide"	"2.000mg"	NA	"Exenatide"
"8267341000033110"	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Lixisenatide"	"50.000microgram/1.000ml"	"06010203"	"Lixisenatide"
"8267441000033116"	"Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Lixisenatide"	"100.000microgram/1.000ml"	"06010203"	"Lixisenatide"
"8267541000033115"	"Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Lixisenatide"	"50.000microgram/1.000ml"	NA	"Lixisenatide"
"8267641000033119"	"Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Lixisenatide"	"100.000microgram/1.000ml"	NA	"Lixisenatide"
"8268441000033115"	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Not applicable"	"Route of administration not applicable"	"Lixisenatide"	NA	"06010203"	"Lixisenatide"
"8268641000033118"	"Lyxumia 10micrograms/20micrograms treatment initiation pack"	"Not applicable"	NA	"Lixisenatide"	NA	NA	"Lixisenatide"
"10042541000033117"	"Exenatide  Prolonged release suspension for injection  2 mg device"	"Solution for injection"	"Intramuscular"	"Exenatide"	NA	NA	"Exenatide"
"10042641000033116"	"Bydureon  Prolonged release suspension for injection  2 mg pen"	"Solution for injection"	"Intramuscular"	"Exenatide"	NA	NA	"Exenatide"
"10044541000033113"	"Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml"	"06010203"	"Liraglutide"
"10044641000033114"	"Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml"	NA	"Liraglutide"
"10207841000033118"	"Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"1.500mg/1.000ml"	"06010203"	"Dulaglutide"
"10207941000033114"	"Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"3.000mg/1.000ml"	"06010203"	"Dulaglutide"
"10208041000033112"	"Trulicity 0.75mg/0.5ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"1.500mg/1.000ml"	NA	"Dulaglutide"
"10208141000033111"	"Trulicity 1.5mg/0.5ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"3.000mg/1.000ml"	NA	"Dulaglutide"
"10951041000033114"	"Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices"	"Powder and solvent for solution for injection"	"Subcutaneous"	"Albiglutide"	"30.000mg"	"06010203"	"Albiglutide"
