"MedCodeId"	"CleansedReadCode"	"Term"
"251674014"	"14A2.00"	"h/o: hypertension"
"262960017"	"6146200"	"hypertension induced by oral contraceptive pill"
"2117971000000119"	"661M600"	"hypertension self-management plan agreed"
"411919011"	"662..12"	"hypertension monitoring"
"264471012"	"6627.00"	"good hypertension control"
"264472017"	"6628.00"	"poor hypertension control"
"264473010"	"6629.00"	"hypertension:follow-up default"
"1780318013"	"662b.00"	"moderate hypertension control"
"1780253016"	"662c.00"	"hypertension six month review"
"1780319017"	"662d.00"	"hypertension annual review"
"264485019"	"662F.00"	"hypertension treatm. started"
"264486018"	"662G.00"	"hypertensive treatm.changed"
"443764015"	"662O.00"	"on treatment for hypertension"
"790091000006115"	"662P.00"	"hypertension monitoring"
"1706551000000114"	"662P000"	"hypertension 9 month review"
"530161000000111"	"662q.00"	"trial reduction of antihypertensive therapy"
"1131851000000118"	"67H8.00"	"lifestyle advice regarding hypertension"
"351361000000117"	"7Q01y00"	"other specified high cost hypertension drugs"
"451424017"	"8B26.00"	"antihypertensive therapy"
"2159168015"	"8BL0.00"	"patient on maximal tolerated antihypertensive therapy"
"2474335018"	"8CR4.00"	"hypertension clinical management plan"
"284062018"	"8HT5.00"	"referral to hypertension clinic"
"1780252014"	"8I3N.00"	"hypertension treatment refused"
"535591000000118"	"8IA5.00"	"trial withdrawal of antihypertensive therapy declined"
"153941000006118"	"9N1y200"	"seen in hypertension clinic"
"21601000000111"	"9OI..00"	"hypertension monitoring admin."
"26091000000116"	"9OI..11"	"hypertension clinic admin."
"405053013"	"9OIA.11"	"hypertension monitored"
"1529013"	"F404200"	"blind hypertensive eye"
"12496011"	"F421300"	"hypertensive retinopathy"
"64168014"	"G2...00"	"hypertensive disease"
"523801000006119"	"G2...11"	"bp - hypertensive disease"
"99042012"	"G20..00"	"essential hypertension"
"99047018"	"G20..12"	"primary hypertension"
"131046010"	"G200.00"	"malignant essential hypertension"
"3135013"	"G201.00"	"benign essential hypertension"
"93494011"	"G202.00"	"systolic hypertension"
"80224019"	"G203.00"	"diastolic hypertension"
"395751018"	"G20z.00"	"essential hypertension nos"
"790121000006116"	"G20z.11"	"hypertension nos"
"107545013"	"G21..00"	"hypertensive heart disease"
"90135019"	"G210.00"	"malignant hypertensive heart disease"
"728681000006116"	"G210000"	"malignant hypertensive heart disease without ccf"
"728671000006119"	"G210100"	"malignant hypertensive heart disease with ccf"
"299650019"	"G210z00"	"malignant hypertensive heart disease nos"
"60444016"	"G211.00"	"benign hypertensive heart disease"
"504901000006118"	"G211100"	"benign hypertensive heart disease with ccf"
"299654011"	"G211z00"	"benign hypertensive heart disease nos"
"741661000006118"	"G21z.00"	"hypertensive heart disease nos"
"741691000006114"	"G21z000"	"hypertensive heart disease nos without ccf"
"411508017"	"G21z011"	"cardiomegaly - hypertensive"
"741681000006111"	"G21z100"	"hypertensive heart disease nos with ccf"
"299655012"	"G21zz00"	"hypertensive heart disease nos"
"108730018"	"G220.00"	"malignant hypertensive renal disease"
"1409014"	"G221.00"	"benign hypertensive renal disease"
"299665018"	"G222.00"	"hypertensive renal disease with renal failure"
"395753015"	"G22z.00"	"hypertensive renal disease nos"
"143003017"	"G23..00"	"hypertensive heart and renal disease"
"110659019"	"G230.00"	"malignant hypertensive heart and renal disease"
"109700019"	"G231.00"	"benign hypertensive heart and renal disease"
"741701000006114"	"G232.00"	"hypertensive heart&renal dis wth (congestive) heart failure"
"789941000006117"	"G234.00"	"hyperten heart&renal dis+both(congestv)heart and renal fail"
"299675015"	"G23z.00"	"hypertensive heart and renal disease nos"
"53452019"	"G24..00"	"secondary hypertension"
"151161000006115"	"G240.00"	"secondary malignant hypertension"
"299676019"	"G240000"	"secondary malignant renovascular hypertension"
"299677011"	"G240z00"	"secondary malignant hypertension nos"
"299678018"	"G241.00"	"secondary benign hypertension"
"2478822013"	"G241000"	"secondary benign renovascular hypertension"
