"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"1409014"	712	"G221"	"G221.00"	"benign hypertensive renal disease"	"193003"	"1409014"	32
"1529013"	207	"F4042"	"F404200"	"blind hypertensive eye"	"264008"	"1529013"	32
"3135013"	444920	"G201"	"G201.00"	"benign essential hypertension"	"1201005"	"3135013"	32
"12496011"	27442	"F4213"	"F421300"	"hypertensive retinopathy"	"6962006"	"12496011"	32
"47076011"	8869	"G22z-1"	"G22z.11"	"renal hypertension"	"38481006"	"64282015"	32
"53452019"	48034	"G24"	"G24..00"	"secondary hypertension"	"31992008"	"53452019"	32
"57989014"	45621	"J623"	"J623.00"	"portal hypertension"	"34742003"	"57989014"	32
"60444016"	609	"G211"	"G211.00"	"benign hypertensive heart disease"	"36221001"	"60444016"	32
"64168014"	13929676	"G2"	"G2...00"	"hypertensive disease"	"38341003"	"64168014"	32
"64282015"	36299	"G22"	"G22..00"	"hypertensive renal disease"	"38481006"	"64282015"	32
"80224019"	6787	"G203"	"G203.00"	"diastolic hypertension"	"48146000"	"80224019"	32
"84111015"	3166	"G672"	"G672.00"	"hypertensive encephalopathy"	"50490005"	"84111015"	32
"84112010"	1043	"G672-1"	"G672.11"	"hypertensive crisis"	"50490005"	"84111015"	32
"90135019"	580	"G210"	"G210.00"	"malignant hypertensive heart disease"	"54225002"	"90135019"	32
"93494011"	92922	"G202"	"G202.00"	"systolic hypertension"	"56218007"	"93494011"	32
"99042012"	48196609	"G20"	"G20..00"	"essential hypertension"	"59621000"	"99042012"	32
"99047018"	1261	"G20-2"	"G20..12"	"primary hypertension"	"59621000"	"99047018"	32
"107545013"	43407	"G21"	"G21..00"	"hypertensive heart disease"	"64715009"	"107545013"	32
"108730018"	975	"G220"	"G220.00"	"malignant hypertensive renal disease"	"65443008"	"108730018"	32
"109700019"	25	"G231"	"G231.00"	"benign hypertensive heart and renal disease"	"66052004"	"109700019"	32
