"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Insulin"
"7341000033112"	"Actrapid Mc  Injection  100 units/1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"9641000033112"	"Human Actrapid  Preloaded pen  100 units/ml"	NA	NA	"Insulin"	NA	NA	"Insulin"
"148841000033116"	"Biphasic Insulin  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"266641000033113"	"Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"266741000033116"	"Clinipak  Disposable insulin syringe with needle  1 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"444941000033119"	"Disposable  Insulin syringe with needle  0.5 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"445041000033119"	"Disposable  Insulin syringe with needle  1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"719841000033112"	"Humulin I  Cartridges (1.5 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	NA	"Insulin"
"719941000033116"	"Humulin M1  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720041000033118"	"Humulin M2  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720141000033119"	"Humulin M3 (Lilly)  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720241000033114"	"Humulin M4  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720341000033116"	"Humulin S  Cartridges (1.5 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720441000033110"	"Humulin M5  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	NA	"Insulin"
"720541000033111"	"Humalog 100units/ml solution for injection 1.5ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"720941000033117"	"Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	NA	"Insulin"
"721041000033110"	"Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"721141000033114"	"Humulin M5 50/50  Cartridges"	NA	NA	"Insulin"	NA	NA	"Insulin"
"721641000033116"	"Human Insulatard Ge  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"722841000033112"	"Humulin M5 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	NA	"Insulin"
"722941000033116"	"Human Mixtard 30 Ge  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"723241000033118"	"Humalog 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"724041000033112"	"Humulin I 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"724141000033111"	"Humulin M1  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"724241000033116"	"Humulin M2  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"724341000033114"	"Humulin S 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"724541000033119"	"Humulin Zn 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"725041000033113"	"Human Actraphane(Nova)  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"725141000033112"	"Human Initard 50/50 Insulin  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"725241000033117"	"Humulin M4  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"725341000033110"	"Humulin M3 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml"	NA	"Insulin"
"725541000033115"	"Human Velosulin  Injection  100 u/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"725841000033118"	"Humulin Lente 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	NA	"Insulin"
"725941000033114"	"Human Actrapid  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
"726041000033116"	"Human Mixtard 30  Injection  10 ml vial"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"
