"MedCodeId"	"CleansedReadCode"	"Term"
"259209011"	"44O1.00"	"blood sent for serum lipids"
"1488764011"	"44PI.00"	"calculated ldl cholesterol level"
"551861000006118"	"6879.11"	"cholesterol screen"
"457911015"	"44l2.00"	"cholesterol/hdl ratio"
"1924001000006115"	"44PL100"	"estimated serum non-hdl cholesterol level"
"405414014"	"44O5.00"	"fasting blood lipids"
"854781000006119"	""	"fasting lipids"
"667191000006111"	""	"fasting serum cholesterol"
"854481000006110"	""	"fasting triglycerides"
"1485303017"	"4I3O.00"	"fluid sample cholesterol level"
"2478457017"	"4I3W.00"	"fluid sample triglyceride level"
"817591000006110"	"44R3.11"	"hdl - electrophoresis"
"817601000006119"	"44PA.00"	"hdl : ldl ratio"
"279462018"	"44PG.00"	"hdl : total cholesterol ratio"
"855771000006118"	""	"hdl cholesterol level"
"219121000000113"	"6879.00"	"hyperlipidaemia screen"
"458370015"	"44q8.00"	"hyperlipidaemia screening test"
"749181000006119"	"44R4.11"	"ldl - electrophoresis"
"857141000006116"	""	"ldl cholesterol level"
"977461000006119"	"4QA..00"	"lipid level"
"219141000000118"	"6879.12"	"lipid screen"
"259215011"	"44O6.00"	"lipids abnormal"
"259266018"	"44R3.00"	"lipoprotein electroph. - hdl"
"259267010"	"44R4.00"	"lipoprotein electroph. - ldl"
"259268017"	"44R5.00"	"lipoprotein electroph. - vldl"
"259264015"	"44R1.00"	"lipoprotein electroph. normal"
"259269013"	"44RZ.00"	"lipoprotein electroph. nos"
"259265019"	"44R2.00"	"lipoprotein electroph.abnormal"
"8883010"	"44R..00"	"lipoprotein electrophoresis"
"1739211000000111"	"7L1j000"	"low density lipoprotein apheresis"
"516351000000116"	"44PL.00"	"non hdl cholesterol level"
"458252015"	"44lG.00"	"plasma cholesterol/hdl ratio"
"458256017"	"44lI.00"	"plasma cholesterol/ldl ratio"
"458260019"	"44lK.00"	"plasma cholesterol/vldl ratio"
"259567011"	"44d3.00"	"plasma fasting hdl cholesterol level"
"259570010"	"44d5.00"	"plasma fasting ldl cholesterol level"
"259563010"	"44d1.00"	"plasma fasting lipoprotein level"
"259583011"	"44e1.00"	"plasma fasting triglyceride level"
"458313013"	"44dA.00"	"plasma hdl cholesterol level"
"458314019"	"44dB.00"	"plasma ldl cholesterol level"
"458284010"	"44lM.00"	"plasma ldl/hdl ratio"
"458319012"	"44OD.00"	"plasma lipids"
"224421000006116"	"44d..00"	"plasma lipoprotein level"
"259564016"	"44d2.00"	"plasma random hdl cholesterol level"
"259569014"	"44d4.00"	"plasma random ldl cholesterol level"
"259560013"	"44d0.00"	"plasma random lipoprotein level"
"259580014"	"44e0.00"	"plasma random triglyceride level"
"1484985012"	"44OE.00"	"plasma total cholesterol level"
"259579011"	"44e..00"	"plasma triglyceride level"
"457942013"	"44O8.00"	"plasma vldl triglyceride level"
"987321000006112"	""	"pre-treatment fasting hdl cholesterol"
"1488851015"	"662a.00"	"pre-treatment serum cholesterol level"
"150921000006118"	"44P..00"	"serum cholesterol"
"259228016"	"44P2.00"	"serum cholesterol borderline"
"259227014"	"44P1.00"	"serum cholesterol normal"
"259252011"	"44PZ.00"	"serum cholesterol nos"
"259229012"	"44P3.00"	"serum cholesterol raised"
"259239018"	"44P9.00"	"serum cholesterol studies"
"259230019"	"44P4.00"	"serum cholesterol very high"
"458249011"	"44lF.00"	"serum cholesterol/hdl ratio"
"458253013"	"44lH.00"	"serum cholesterol/ldl ratio"
"458257014"	"44lJ.00"	"serum cholesterol/vldl ratio"
"259242012"	"44PB.00"	"serum fasting hdl cholesterol level"
"259246010"	"44PD.00"	"serum fasting ldl cholesterol level"
"259554013"	"44c1.00"	"serum fasting lipoprotein level"
"405621000000116"	"44PK.00"	"serum fasting total cholesterol"
"259260012"	"44Q4.00"	"serum fasting triglyceride level"
"259232010"	"44P5.00"	"serum hdl cholesterol level"
"1942631000006110"	"44lzY00"	"serum hdl cholesterol:triglyceride ratio"
"144141000006119"	"44P8.00"	"serum hdl:non-hdl cholesterol ratio"
"259233017"	"44P6.00"	"serum ldl cholesterol level"
"458283016"	"44lL.00"	"serum ldl/hdl ratio"
"144451000006114"	"44O..00"	"serum lipids"
"259211019"	"44O3.00"	"serum lipids borderline raised"
"259212014"	"44O4.00"	"serum lipids high"
"259210018"	"44O2.00"	"serum lipids normal"
"259223013"	"44OZ.00"	"serum lipids nos"
"144501000006111"	"44c..00"	"serum lipoprotein level"
"2344491000000115"	"44PL000"	"serum non high density lipoprotein cholesterol level"
"259243019"	"44PC.00"	"serum random hdl cholesterol level"
"259247018"	"44PE.00"	"serum random ldl cholesterol level"
"259551017"	"44c0.00"	"serum random lipoprotein level"
"259261011"	"44Q5.00"	"serum random triglyceride level"
"2478443019"	"44PJ.00"	"serum total cholesterol level"
"1916571000006117"	""	"serum triglyceride/hdl cholesterol ratio"
"145471000006115"	"44Q..00"	"serum triglycerides"
"259257017"	"44Q2.00"	"serum triglycerides borderline"
"259256014"	"44Q1.00"	"serum triglycerides normal"
"259263014"	"44QZ.00"	"serum triglycerides nos"
"259258010"	"44Q3.00"	"serum triglycerides raised"
"259236013"	"44P7.00"	"serum vldl cholesterol level"
"457502013"	"44OB.00"	"serum vldl triglyceride level"
"856761000006115"	""	"tc/hdl ratio"
"1842101000006119"	"44O5.00"	"test request : fasting blood lipids"
"109931000006117"	""	"test request : lipids"
"1879211000006117"	"44P..00"	"test request : serum cholesterol"
"1822511000006110"	"44P5.00"	"test request : serum hdl cholesterol level"
"1864161000006119"	"44Q..00"	"test request : serum triglycerides"
"186091018"	"44PH.00"	"total cholesterol measurement"
"259250015"	"44PF.00"	"total cholesterol:hdl ratio"
"977481000006112"	"4QA1.00"	"triglyceride level"
"62691000006111"	"44R5.11"	"vldl - electrophoresis"
"216565017"	"8I69.00"	"lipid lowering therapy not indicated"
"192452016"	"C32..11"	"disorder of cholesterol metabolism"
"216555011"	"8BG2.00"	"lipid lowering therapy indicated"
"216580011"	"8I2C.00"	"lipid lowering therapy contraindicated"
"216584019"	"8I3J.00"	"lipid lowering therapy declined"
"293262018"	"C320200"	"hyperlipidaemia, group a"
"250451013"	"13B3.00"	"low cholesterol diet"
"251600016"	"1442.00"	"h/o: raised blood lipids"
"356867016"	"C320600"	"polygenic hypercholesterolaemia"
"356800016"	"C322000"	"familial combined hyperlipidaemia"
"398856016"	"C322.00"	"mixed hyperlipidaemia"
"398852019"	"C320.00"	"pure hypercholesterolaemia"
"285157012"	"9N0J.00"	"seen in cholesterol clinic"
"460116012"	"66X..00"	"lipid disorder monitoring"
"284058012"	"8HT1.00"	"referral to lipid clinic"
"285156015"	"9N0I.00"	"seen in lipid clinic"
"454400014"	"8BAG000"	"cholesterol reduction programme - invited"
"475418015"	"C329.00"	"hypercholesterolaemia"
"454394012"	"8BAG.00"	"cholesterol reduction programme"
"1484916015"	"8H6E.00"	"referral to gp - lipid management"
"2159169011"	"8BL1.00"	"patient on maximal tolerated lipid lowering therapy"
"1773186016"	"C320000"	"familial hypercholesterolaemia"
"458871013"	"687B.00"	"hyperlipidaemia risk assessment with new zealand table"
"2642990018"	"C328.00"	"dyslipidaemia"
"534301000000115"	"9Oc5.00"	"lipid disorder monitoring verbal invitation"
