"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Other Antidiabetic"
"30316"	"Metformin with pioglitazone 850mg + 15mg Tablet"	"Tablet"	"Oral"	"Pioglitazone"	"850mg + 15mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Pioglitazone"
"74860"	"NovoNorm 1mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"
"11609"	"Metformin with rosiglitazone 500mg + 1mg Tablet"	"Tablet"	"Oral"	"Rosiglitazone"	"500mg + 1mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Rosiglitazone"
"20889"	"Actos 30mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"548"	"Pioglitazone 15mg tablets"	"Oral tablet"	"Oral"	"Pioglitazone"	"15mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"56376"	"Rosiglitazone 4mg with glimepiride 4mg tablet"	"Tablet"	"Oral"	"Rosiglitazone"	NA	"Sulphonylureas/Other Antidiabetic Products"	"Rosiglitazone"
"9865"	"Repaglinide 500microgram tablets"	"Oral tablet"	"Oral"	"Repaglinide"	"500microgram"	"Meglitinides (Glinides)"	"Repaglinide"
"9707"	"Repaglinide 1mg tablets"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"
"15232"	"Avandia 8mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"8mg"	"Unknown"	"Rosiglitazone"
"11601"	"Rosiglitazone 2mg / Metformin 500mg tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"2mg + 500mg"	"Glitazones Plus Metformin"	"Rosiglitazone"
"68934"	"Diabiom 30mg tablets (Tillomed Laboratories Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"9699"	"Pioglitazone 30mg tablets"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"5227"	"Rosiglitazone 8mg tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"8mg"	"Thiazolidinedione (Glitazones)"	"Rosiglitazone"
