"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"4123016"	457	"7F166"	"7F16600"	"failed forceps delivery"	"64646001"	"2771951014"	32	"postnatal"
"17279018"	212	"L032"	"L032.00"	"ovarian pregnancy"	"9899009"	"17279018"	32	"unspecified"
"20191016"	341582	"L1809"	"L180900"	"gestational diabetes mellitus"	"11687002"	"20191016"	32	"unspecified"
"23994012"	435914	"L13-1"	"L13..11"	"hyperemesis gravidarum"	"14094001"	"23994012"	32	"early pregnancy"
"25847015"	439	"L167"	"L167.00"	"liver disorder in pregnancy"	"15230009"	"25847015"	32	"unspecified"
"27701016"	2510	"L21"	"L21..00"	"multiple pregnancy"	"16356006"	"27701016"	32	"unspecified"
"28371017"	134	"L162-1"	"L162.11"	"albuminuria in pregnancy without hypertension"	"16756008"	"28371017"	32	"unspecified"
"30054019"	31	"L164"	"L164.00"	"peripheral neuritis in pregnancy"	"17787002"	"30054019"	32	"unspecified"
"31406012"	40835	"L3952"	"L395200"	"low forceps delivery"	"18625004"	"31406012"	32	"postnatal"
"32948013"	37126	"L130"	"L130.00"	"mild hyperemesis gravidarum"	"19569008"	"32948013"	32	"early pregnancy"
"34290013"	10	"L28y-2"	"L28y.12"	"amniotic cyst"	"20391007"	"34290013"	32	"late pregnancy"
"35192019"	61	"L401"	"L401.00"	"puerperal salpingitis"	"20932005"	"35192019"	32	"postnatal"
"37601018"	7153	"L400"	"L400.00"	"puerperal endometritis"	"22399000"	"37601018"	32	"postnatal"
"49189012"	245	"L295"	"L295.00"	"elderly primigravida"	"29399001"	"49189012"	32	"unspecified"
"52764015"	3719	"L165"	"L165.00"	"asymptomatic bacteriuria in pregnancy"	"31563000"	"52764015"	32	"unspecified"
"57049017"	963	"L16C0"	"L16C000"	"gestational proteinuria"	"34165000"	"57049017"	32	"unspecified"
"58080013"	241639	"L03"	"L03..00"	"ectopic pregnancy"	"34801009"	"58080013"	32	"unspecified"
"59478019"	15	"L03y5"	"L03y500"	"intraligamentous pregnancy"	"35656003"	"59478019"	32	"unspecified"
"64151010"	638	"L132"	"L132.00"	"vomiting during third trimester of pregnancy"	"769087009"	"3688191014"	32	"unspecified"
"66843013"	3379	"L40"	"L40..00"	"puerperal sepsis"	"2858002"	"5835013"	32	"postnatal"
"85300010"	83	"L444"	"L444.00"	"placental polyp"	"51195001"	"85300010"	32	"late pregnancy"
"87809017"	5891	"L1815"	"L181500"	"postpartum thyroiditis"	"52772002"	"87809017"	32	"postnatal"
"88494011"	13	"K181-1"	"K181.11"	"postobstetric urethral stricture"	"53212003"	"88494011"	32	"unspecified"
"90065014"	70	"4444-1"	"4444.11"	"human placental lactogen"	"997131000000103"	"2569161000000112"	34	"late pregnancy"
"97258010"	229804	"13H7"	"13H7.00"	"unwanted pregnancy"	"58532003"	"97258010"	17	"unspecified"
"98935017"	3109	"L280"	"L280.00"	"oligohydramnios"	"59566000"	"98935017"	32	"late pregnancy"
"101047019"	118	"L212"	"L212.00"	"quadruplet pregnancy"	"60810003"	"101047019"	32	"unspecified"
"106809012"	2011	"L211"	"L211.00"	"triplet pregnancy"	"64254006"	"106809012"	32	"unspecified"
"108265019"	62853	"L210"	"L210.00"	"twin pregnancy"	"65147003"	"108265019"	32	"unspecified"
"111839012"	338	"Q486"	"Q486.00"	"fetal death due to termination of pregnancy"	"67313008"	"111839012"	32	"unspecified"
"115533013"	8	"L03y4"	"L03y400"	"mural pregnancy"	"69532007"	"115533013"	32	"unspecified"
"116468018"	637	"L267A"	"L267A00"	"placenta accreta"	"70129008"	"116468018"	32	"late pregnancy"
"131553011"	76	"L03y0"	"L03y000"	"cervical pregnancy"	"79290002"	"131553011"	32	"unspecified"
"132037019"	8236	"L031"	"L031.00"	"tubal pregnancy"	"79586000"	"132037019"	32	"unspecified"
"137128014"	574	"L030"	"L030.00"	"abdominal pregnancy"	"82661006"	"137128014"	32	"unspecified"
"139302011"	35	"L391"	"L391.00"	"obstetric shock"	"84007008"	"139302011"	32	"unspecified"
"142732017"	1089	"L169"	"L169.00"	"herpes gestationis"	"86081009"	"142732017"	32	"unspecified"
"142942011"	6184	"L270"	"L270.00"	"polyhydramnios"	"86203003"	"142942011"	32	"late pregnancy"
"145245010"	352	"L03y1"	"L03y100"	"cornual pregnancy"	"87605005"	"145245010"	32	"unspecified"
