"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Psychotropic"	"group"
"38741000033119"	"Allegron 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"10.000mg"	NA	"Nortriptyline"	"Antidepressants"
"38841000033112"	"Allegron 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"25.000mg"	NA	"Nortriptyline"	"Antidepressants"
"43441000033118"	"Amitriptyline Sr  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"43541000033117"	"Amitriptyline Hydrochloride  Capsules  25 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"43641000033116"	"Amitriptyline Hydrochloride  Capsules  50 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"43741000033113"	"Amitriptyline Hydrochloride  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"45841000033119"	"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25.000mg"	"04030100"	"Amitriptyline"	"Antidepressants"
"45941000033110"	"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"50.000mg"	"04030100"	"Amitriptyline"	"Antidepressants"
"50041000033116"	"Amitriptyline Hydrochloride  Injection  10mg/ml"	"Solution for injection"	"Intramuscular"	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"51941000033114"	"Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml"	NA	NA	"Amitriptyline"	NA	NA	"Amitriptyline"	"Antidepressants"
"55441000033119"	"Amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"5.000mg/1.000ml"	"04030100"	"Amitriptyline"	"Antidepressants"
"55541000033118"	"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"10.000mg/1.000ml"	"04030100"	"Amitriptyline"	"Antidepressants"
"58941000033117"	"Amisulpride 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"200.000mg"	"04020100"	"Amisulpride"	"Antipsychotics"
"59041000033114"	"Amisulpride 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"50.000mg"	"04020100"	"Amisulpride"	"Antipsychotics"
"60441000033116"	"Amitriptyline 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"10.000mg"	"04030100"	"Amitriptyline"	"Antidepressants"
"60541000033115"	"Amitriptyline 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"50.000mg"	"04030100"	"Amitriptyline"	"Antidepressants"
"60641000033119"	"Amitriptyline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"25.000mg"	"04030100"	"Amitriptyline"	"Antidepressants"
"60841000033118"	"Amoxapine  Tablets  25 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	NA	"Amoxapine"	"Antidepressants"
"60941000033114"	"Amoxapine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"04030100"	"Amoxapine"	"Antidepressants"
"61041000033116"	"Amoxapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"04030100"	"Amoxapine"	"Antidepressants"
"61141000033117"	"Amoxapine  Tablets  150 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	NA	"Amoxapine"	"Antidepressants"
"61941000033115"	"Anafranil 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	NA	"Clomipramine"	"Antidepressants"
"62041000033114"	"Anafranil 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	NA	"Clomipramine"	"Antidepressants"
"62141000033113"	"Anafranil 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	NA	"Clomipramine"	"Antidepressants"
"64241000033110"	"Anafranil  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	NA	"Clomipramine"	"Antidepressants"
"68641000033117"	"Anafranil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	NA	"Clomipramine"	"Antidepressants"
"69041000033115"	"Anquil 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	NA	"Benperidol"	"Antipsychotics"
"70241000033114"	"Anafranil SR 75mg tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	NA	"Clomipramine"	"Antidepressants"
"87641000033116"	"Asendis 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	NA	"Amoxapine"	"Antidepressants"
"87941000033111"	"Asendis 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	NA	"Amoxapine"	"Antidepressants"
"145141000033119"	"Benperidol 250microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"04020100"	"Benperidol"	"Antipsychotics"
"173841000033113"	"Buccastem 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	NA	"Prochlorperazine"	"Antipsychotics"
"178741000033110"	"Carbamazepine 100mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Carbamazepine"	"100.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"178841000033117"	"Carbamazepine 200mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Carbamazepine"	"200.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"198141000033115"	"Carbamazepine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Carbamazepine"	"20.000mg/1.000ml"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"207541000033111"	"Carbamazepine 125mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"125.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"207641000033112"	"Carbamazepine 250mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"250.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"208141000033115"	"Carbamazepine  Sugar-free liquid  100mg/5ml"	NA	NA	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"208541000033112"	"Carbamazepine  Syrup  100 mg/5 ml"	"Oral solution"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"212541000033112"	"Carbamazepine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"100.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"212641000033113"	"Carbamazepine 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"200.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"212741000033116"	"Carbamazepine 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"400.000mg"	"04080100"	"Carbamazepine"	"Mood Stabilisers"
"213841000033116"	"Camcolit 250 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lithium"	"250.000mg"	NA	"Lithium"	"Mood Stabilisers"
"214741000033112"	"Carbamazepine  Tablets  100 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"214841000033119"	"Carbamazepine  Tablets  200 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"214941000033110"	"Carbamazepine  Tablets  400 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"215541000033117"	"Camcolit 400 modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium"	"400.000mg"	NA	"Lithium"	"Mood Stabilisers"
"218241000033113"	"Carbamazepine  C/r tablets  200 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"218341000033115"	"Carbamazepine  C/r tablets  400 mg"	"Tablet"	"Oral"	"Carbamazepine"	NA	NA	"Carbamazepine"	"Mood Stabilisers"
"240041000033110"	"Chlorpromazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"241341000033116"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"242241000033115"	"Chlorpromazine Hydrochloride  Injection  100 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	NA	"Chlorpromazine"	"Antipsychotics"
"242341000033113"	"Chlorpromazine Hydrochloride  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	NA	"Chlorpromazine"	"Antipsychotics"
"246541000033119"	"Chlorpromazine Hydrochloride  Suppositories  100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	NA	NA	"Chlorpromazine"	"Antipsychotics"
"246641000033118"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	"04020100"	"Chlorpromazine"	"Antipsychotics"
