"medcodeid"	"TermEMIS"	"EMIS"	"TermRead"	"READ"	"TermSNOMED"	"SNOMED"	"Group"
"10122017"	NA	NA	"Brief reactive psychosis"	"E13y1"	"Brief reactive psychosis"	"5464005"	"other psychosis"
"105029017"	NA	NA	"Paranoid schizophrenia in remission"	"E1035"	"Paranoid schizophrenia in remission"	"63181006"	"schizophrenia"
"107878010"	NA	NA	"Paranoid schizophrenia"	"E103"	"Paranoid schizophrenia"	"64905009"	"schizophrenia"
"109941000006110"	"Test request : Lithium"	"EMISREQ|44W8."	NA	NA	NA	NA	"bipolar"
"1141911000000113"	NA	NA	"Lithium monitoring first letter"	"9Ol5"	NA	NA	"bipolar"
"1141951000000112"	NA	NA	"Lithium monitoring second letter"	"9Ol6"	NA	NA	"bipolar"
"1141991000000116"	NA	NA	"Lithium monitoring third letter"	"9Ol7"	NA	NA	"bipolar"
"114616017"	NA	NA	"Chronic catatonic schizophrenia"	"E1022"	"Chronic catatonic schizophrenia"	"68995007"	"schizophrenia"
"12059201000006117"	NA	NA	NA	NA	"\\"Bipolar disorder, most recent episode depression (disorder)\\""	"767631007"	"bipolar"
"12059211000006119"	NA	NA	NA	NA	"\\"Bipolar disorder, most recent episode manic (disorder)\\""	"767632000"	"bipolar"
"12059221000006110"	NA	NA	NA	NA	"\\"Bipolar affective disorder, most recent episode mixed (disorder)\\""	"767633005"	"bipolar"
"1219653018"	NA	NA	"Atypical schizophrenia"	"E10y0"	"Atypical schizophrenia"	"111484002"	"schizophrenia"
"1230030015"	NA	NA	"Chronic lithium nephrotoxicity"	"K0C6"	NA	NA	"bipolar"
"1234861017"	NA	NA	"Chronic schizophrenic"	"E1002"	"Chronic schizophrenic"	"83746006"	"schizophrenia"
"123611000006110"	NA	NA	"Subchronic schizo-affective schizophrenia"	"E1071"	"Subchronic schizo-affective schizophrenia"	"191569002"	"other psychosis"
"12480451000006112"	"\\"[X]Schizophrenia, schizotypal and delusional disorders\\""	"^ESCT1248045"	NA	NA	"\\"[X]Schizophrenia, schizotypal and delusional disorders\\""	"417601000000102"	"other psychosis"
"12736721000006110"	NA	NA	NA	NA	"First episode psychosis (finding)"	"1127191000000108"	"other psychosis"
"132503015"	NA	NA	"Subchronic paranoid schizophrenia"	"E1031"	"Subchronic paranoid schizophrenia"	"79866005"	"schizophrenia"
"13716031000006110"	NA	NA	NA	NA	"Bipolar disorder caused by drug (disorder)"	"16238741000119105"	"bipolar"
"13911951000006118"	NA	NA	NA	NA	"Rapid cycling bipolar II disorder (disorder)"	"789061003"	"bipolar"
