"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"92994"	"Cenesthopathic schizophrenia"	"E10y-1"	"E10y.11"	"schizophrenia"	3	0	0	0	"February 2009"
"2741"	"[X]Hypomania"	"Eu300"	"Eu30000"	"bipolar"	18712	0	1238	2	"February 2009"
"15958"	"Non-organic psychoses"	"E1"	"E1...00"	"other psychosis"	2514	0	82	0	"February 2009"
"50023"	"[X]Bouffee delirante"	"Eu230-1"	"Eu23011"	"other psychosis"	3	0	1	0	"February 2009"
"21455"	"[X]Cycloid psychosis"	"Eu230-2"	"Eu23012"	"other psychosis"	50	0	2	0	"February 2009"
"102446"	"Latent schizophrenia NOS"	"E105z"	"E105z00"	"other psychosis"	3	0	0	0	"June 2011"
"12831"	"Manic-depressive - now depressed"	"E115-1"	"E115.11"	"bipolar"	1093	0	67	0	"February 2009"
"70925"	"Atypical manic disorder"	"E11y1"	"E11y100"	"bipolar"	6	0	0	0	"February 2009"
"4261"	"Paranoid states"	"E12"	"E12..00"	"other psychosis"	13733	0	1152	0	"February 2009"
"24640"	"Single manic episode, moderate"	"E1102"	"E110200"	"bipolar"	29	0	1	0	"February 2009"
"40981"	"[X]Delusional dysmorphophobia"	"Eu22y-1"	"Eu22y11"	"other psychosis"	181	0	7	0	"February 2009"
"60178"	"Other and unspecified manic-depressive psychoses"	"E11y"	"E11y.00"	"bipolar"	402	0	4	0	"February 2009"
"31984"	"Other nonorganic psychoses"	"E13"	"E13..00"	"other psychosis"	527	0	4	0	"February 2009"
"32875"	"Grandiose delusions"	"1BH1"	"1BH1.00"	"other psychosis"	229	0	4	0	"February 2009"
"36611"	"Manic disorder, single episode NOS"	"E110z"	"E110z00"	"bipolar"	118	0	2	0	"February 2009"
"16905"	"[X]Schizoaffective psychosis, manic type"	"Eu250-1"	"Eu25011"	"other psychosis"	72	0	2	0	"February 2009"
"104051"	"[X]Bipolar II disorder"	"Eu319-1"	"Eu31911"	"bipolar"	62	0	0	0	"May 2012"
"59011"	"Bipolar affect disord,currently manic, part/unspec remission"	"E1145"	"E114500"	"bipolar"	14	0	0	0	"February 2009"
"55064"	"Mixed bipolar affective disorder, in full remission"	"E1166"	"E116600"	"bipolar"	161	0	0	0	"February 2009"
"11055"	"[X]Schizoaffective disorder, depressive type"	"Eu251"	"Eu25100"	"other psychosis"	586	0	4	0	"February 2009"
"15053"	"Acute paranoid reaction"	"E133"	"E133.00"	"other psychosis"	890	0	90	1	"February 2009"
"36720"	"[X]Acute polymorphic psychot disord without symp of schizoph"	"Eu230"	"Eu23000"	"other psychosis"	286	0	0	0	"February 2009"
"11778"	"[X]Acute schizophrenia-like psychotic disorder"	"Eu232"	"Eu23200"	"other psychosis"	271	0	2	0	"February 2009"
"16644"	"Morbid jealousy"	NA	"1BC..00"	"other psychosis"	1925	0	222	0	"February 2009"
"27584"	"[X]Bipolar affective disorder, currently in remission"	"Eu317"	"Eu31700"	"bipolar"	2516	0	2	0	"February 2009"
"34168"	"[X]Acute and transient psychotic disorder, unspecified"	"Eu23z"	"Eu23z00"	"other psychosis"	402	0	4	0	"February 2009"
"4390"	"Psychotic condition, insight present"	"285-1"	"285..11"	"other psychosis"	488	0	84	0	"February 2009"
"70721"	"Unspecified bipolar affect disord, partial/unspec remission"	"E1175"	"E117500"	"bipolar"	8	0	0	0	"February 2009"
"43800"	"Chronic schizo-affective schizophrenia"	"E1072"	"E107200"	"other psychosis"	136	0	4	0	"February 2009"
