"Read.code"	"Term"	"Group"	"Aurum.Medcode"	"Gold.Medcode"	"On.QOF"	"On.OHID"
"1464"	"H/O: schizophrenia"	"schizophrenia"	"251628010"	"6325"	"NO"	"YES"
"146D"	"H/O: manic depressive disorder"	"bipolar"	"1780205015"	"11548"	"NO"	"YES"
"146H"	"H/O: psychosis"	"other psychosis"	"300411000000110"	"12777"	"NO"	"YES"
"1S42"	"Manic mood"	"bipolar"	"2157096015"	"22713"	"NO"	"YES"
"E1"	"Non-organic psychoses"	"other psychosis"	"294724012"	"15958"	"YES"	"YES"
"E10"	"Schizophrenic disorders"	"schizophrenia"	"294725013"	"854"	"YES"	"YES"
"E100"	"Simple schizophrenia"	"schizophrenia"	"294727017"	"32222"	"YES"	"YES"
"E1000"	"Unspecified schizophrenia"	"schizophrenia"	"294728010"	"15733"	"YES"	"YES"
"E1001"	"Subchronic schizophrenia"	"schizophrenia"	"28758018"	"23616"	"YES"	"YES"
"E100-1"	"Schizophrenia simplex"	"schizophrenia"	"294726014"	"73295"	"YES"	"YES"
"E1002"	"Chronic schizophrenic"	"schizophrenia"	"1234861017"	"3984"	"YES"	"YES"
"E1003"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"	"294730012"	"57666"	"YES"	"YES"
"E1004"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"	"294731011"	"44498"	"YES"	"YES"
"E1005"	"Schizophrenia in remission"	"schizophrenia"	"9225016"	"58687"	"YES"	"YES"
"E100z"	"Simple schizophrenia NOS"	"schizophrenia"	"294734015"	"53625"	"YES"	"YES"
"E101"	"Hebephrenic schizophrenia"	"schizophrenia"	"819351000006115"	"30619"	"YES"	"YES"
"E1010"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"	"294735019"	"66506"	"YES"	"YES"
"E1011"	"Subchronic hebephrenic schizophrenia"	"schizophrenia"	"294736018"	"0"	"YES"	"YES"
"E1012"	"Chronic hebephrenic schizophrenia"	"schizophrenia"	"294737010"	"113781"	"YES"	"YES"
"E1013"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"schizophrenia"	"294738017"	"0"	"YES"	"YES"
"E1014"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"	"294739013"	"97919"	"YES"	"YES"
"E1015"	"Hebephrenic schizophrenia in remission"	"schizophrenia"	"294740010"	"67768"	"YES"	"YES"
"E101z"	"Hebephrenic schizophrenia NOS"	"schizophrenia"	"294741014"	"48054"	"YES"	"YES"
"E102"	"Catatonic schizophrenia"	"schizophrenia"	"294742019"	"25546"	"YES"	"YES"
"E1020"	"Unspecified catatonic schizophrenia"	"schizophrenia"	"294744018"	"58716"	"YES"	"YES"
"E1021"	"Subchronic catatonic schizophrenia"	"schizophrenia"	"71539017"	"99199"	"YES"	"YES"
"E1022"	"Chronic catatonic schizophrenia"	"schizophrenia"	"114616017"	"113529"	"YES"	"YES"
"E1023"	"Acute exacerbation of subchronic catatonic schizophrenia"	"schizophrenia"	"294750011"	"0"	"YES"	"YES"
"E1024"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"	"294751010"	"107222"	"YES"	"YES"
"E1025"	"Catatonic schizophrenia in remission"	"schizophrenia"	"178723016"	"102427"	"YES"	"YES"
"E102z"	"Catatonic schizophrenia NOS"	"schizophrenia"	"294753013"	"63867"	"YES"	"YES"
"E103"	"Paranoid schizophrenia"	"schizophrenia"	"107878010"	"1494"	"YES"	"YES"
"E1030"	"Unspecified paranoid schizophrenia"	"schizophrenia"	"294754019"	"33383"	"YES"	"YES"
"E1031"	"Subchronic paranoid schizophrenia"	"schizophrenia"	"132503015"	"104760"	"YES"	"YES"
"E1032"	"Chronic paranoid schizophrenia"	"schizophrenia"	"52897013"	"31362"	"YES"	"YES"
"E1033"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"	"294757014"	"51322"	"YES"	"YES"
"E1034"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"	"294758016"	"53032"	"YES"	"YES"
"E1035"	"Paranoid schizophrenia in remission"	"schizophrenia"	"105029017"	"36172"	"YES"	"YES"
"E103z"	"Paranoid schizophrenia NOS"	"schizophrenia"	"294760019"	"9281"	"YES"	"YES"
"E104"	"Acute schizophrenic episode"	"schizophrenia"	"401763015"	"576"	"YES"	"YES"
"E104-1"	"Oneirophrenia"	"other psychosis"	"450785011"	"93167"	"YES"	"YES"
"E105"	"Latent schizophrenia"	"other psychosis"	"294764011"	"66410"	"YES"	"YES"
"E1050"	"Unspecified latent schizophrenia"	"other psychosis"	"294765012"	"102311"	"YES"	"YES"
"E1051"	"Subchronic latent schizophrenia"	"other psychosis"	"294766013"	"0"	"YES"	"YES"
"E1052"	"Chronic latent schizophrenia"	"other psychosis"	"294767016"	"94299"	"YES"	"YES"
"E1053"	"Acute exacerbation of subchronic latent schizophrenia"	"other psychosis"	"294768014"	"0"	"YES"	"YES"
"E1054"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"	"294769018"	"114206"	"YES"	"YES"
"E1055"	"Latent schizophrenia in remission"	"other psychosis"	"294770017"	"96883"	"YES"	"YES"
"E105z"	"Latent schizophrenia NOS"	"other psychosis"	"294771018"	"102446"	"YES"	"YES"
"E106"	"Residual schizophrenia"	"schizophrenia"	"43595011"	"38063"	"YES"	"YES"
"E106-1"	"Restzustand - schizophrenia"	"schizophrenia"	"169061000006112"	"0"	"YES"	"YES"
"E107"	"Schizo-affective schizophrenia"	"other psychosis"	"155141000006116"	"2117"	"YES"	"YES"
"E1070"	"Unspecified schizo-affective schizophrenia"	"other psychosis"	"78531000006116"	"58862"	"YES"	"YES"
"E1071"	"Subchronic schizo-affective schizophrenia"	"other psychosis"	"123611000006110"	"61098"	"YES"	"YES"
"E107-1"	"Cyclic schizophrenia"	"other psychosis"	"294773015"	"99000"	"YES"	"YES"
"E1072"	"Chronic schizo-affective schizophrenia"	"other psychosis"	"556631000006116"	"43800"	"YES"	"YES"
"E1073"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"	"456801000006115"	"58866"	"YES"	"YES"
"E1074"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"	"456731000006115"	"63478"	"YES"	"YES"
