"MedCodeId"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"Term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"EmisCodeCategoryId"
"459522019"	2000000	"8B6A"	"8B6A.00"	"statin prophylaxis"	315053001	459522019	NA	32
"2533644015"	3000	"8B3z"	"8B3z.00"	"over the counter statin therapy"	414981001	2533644015	NA	32
"357071000006114"	3000	"U60C6-6"	"U60C616"	"adverse reaction caused by pravastatin"	293435008	3321962017	NA	5
"357671000006118"	4000	"U60C6-5"	"U60C615"	"[x] adverse reaction to simvastatin"	293433001	3321965015	NA	5
"470771000006118"	10000	"TJC25"	"TJC2500"	"adverse reaction to pravastatin"	293435008	3321962017	NA	5
"471371000006111"	100000	"TJC24"	"TJC2400"	"adverse reaction caused by simvastatin"	293433001	3321965015	NA	5
"933161000006115"	100	"TJC2z-99"	"TJC2z99"	"drug reaction: statins"	293432006	933161000006115	NA	5
"989731000006118"	20	"TJC2-99"	"TJC2.99"	"drug reaction: statins"	293432006	989731000006118	NA	5
"1033921000006116"	3000	"ALLERGY15068NEMIS"	""	"adverse reaction to rosuvastatin"	1033921000006100	1033921000006116	NA	5
"1045801000006118"	300	"ALLERGY20279NEMIS"	""	"adverse reaction to ezetimibe and simvastatin"	1045801000006102	1045801000006118	NA	5
"1058671000006115"	70000	"ALLERGY4285EGTON"	""	"adverse reaction to simvastatin"	1058671000006104	1058671000006115	NA	5
"1072291000006115"	2000	"ALLERGY5300EMIS"	""	"adverse reaction to fluvastatin"	1072291000006104	1072291000006115	NA	5
"1082471000006113"	80000	"ALLERGY6171EMIS"	""	"adverse reaction to atorvastatin"	1082471000006109	1082471000006113	NA	5
"1083851000006111"	700	"ALLERGY6253EMIS"	""	"adverse reaction to cerivastatin"	1083851000006107	1083851000006111	NA	5
"1094841000006110"	10000	"ALLERGY8252BRIDL"	""	"adverse reaction to pravastatin"	1094841000006106	1094841000006110	NA	5
"1134201000006113"	9000	"ALLERGY15070NEMIS"	""	"adverse reaction to rosuvastatin"	1134201000006109	1134201000006113	NA	5
"1989121000006117"	10	"ALLERGY111757NEMIS"	""	"adverse reaction to fenofibrate and simvastatin"	1989121000006101	1989121000006117	NA	5
"5812731000006119"	200	"^ESCTST581273"	""	"statin allergy"	294970008	3318975014	NA	5
"5812741000006112"	20	"^ESCTSI581274"	""	"simvastatin allergy"	294971007	435295010	NA	5
"6381461000006110"	3	"^ESCTAT638146"	""	"atorvastatin"	373444002	1211916012	NA	31
"6473881000006118"	1	"^ESCTSI647388"	""	"simvastatin"	387584000	1481674011	NA	31
"7225791000006113"	40	"^ESCTHI722579"	""	"history of statin therapy"	439631004	2793914016	NA	31
"7806891000006112"	3	"^ESCTAD780689"	""	"adverse reaction caused by atorvastatin"	720683004	3321953019	NA	5
"7997881000006116"	6	"^ESCTAT799788"	""	"atorvastatin allergy"	13221000122100	3306938019	NA	5
"11639951000006118"	3	"ALLERGY125829NEMIS"	""	"adverse reaction to cholesterol and simvastatin"	11639951000006102	11639951000006118	NA	5
"11875881000006114"	30	"^ESCT1187588"	""	"statin adverse reaction"	293432006	2733281000000115	NA	5
"11913471000006114"	2	"^ESCT1191347"	""	"pravastatin adverse reaction"	293435008	433651011	NA	5
"11922941000006110"	20	"^ESCT1192294"	""	"simvastatin adverse reaction"	293433001	433649012	NA	5
"13663441000006114"	20	"^ESCT1366344"	""	"rhabdomyolysis due to statin"	787206005	3775265010	NA	32
"13716761000006115"	4	"^ESCT1371676"	""	"history of rhabdomyolysis due to statin"	16524331000119104	3775266011	NA	32
"13808401000006112"	300	"^ESCT1380840"	""	"allergy to simvastatin"	294971007	3749097019	NA	5
"13808411000006110"	4	"^ESCT1380841"	""	"allergy to fluvastatin"	294972000	3749100012	NA	5
"13808421000006119"	70	"^ESCT1380842"	""	"allergy to pravastatin"	294973005	3748450015	NA	5
"1488923011"	60000	"U60CA"	"U60CA00"	"hmg coa reductase inhibitor adverse reaction"	293432006	433648016	NA	5
