code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antiplatelets""",
"""71241000033119""",UNKNOWN,true,"""Angettes 75 tablets""	""Tablet/ Oral Tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""82641000033118""",UNKNOWN,true,"""Aspirin  Chewable tablets  227 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""82841000033117""",UNKNOWN,true,"""Aspirin 300mg dispersible tablets""	""Dispersible tablet/""	""Oral""	""Aspirin""	""300.000mg""	""04070100""	""Aspirin""",
"""82941000033113""",UNKNOWN,true,"""Aspirin 75mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Aspirin""	""75.000mg""	""02090000""	""Aspirin""",
"""83041000033115""",UNKNOWN,true,"""Aspirin 75mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Aspirin""	""75.000mg""	""02090000""	""Aspirin""",
"""83141000033116""",UNKNOWN,true,"""Aspirin 300mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Aspirin""	""300.000mg""	""04070100""	""Aspirin""",
"""83241000033111""",UNKNOWN,true,"""Aspirin  E/c tablets  600 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""84341000033115""",UNKNOWN,true,"""Aspirin  M/R tablets  100 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""84441000033114""",UNKNOWN,true,"""Aspirin 300mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Aspirin""	""300.000mg""	""04070100""	""Aspirin""",
"""84941000033116""",UNKNOWN,true,"""Aspirin  E/c tablets  324 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""85741000033118""",UNKNOWN,true,"""Aspirin E/C  Tablets  300 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""86641000033119""",UNKNOWN,true,"""Aspirin 300mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Aspirin""	""300.000mg""	""04070100""	""Aspirin""",
"""86841000033118""",UNKNOWN,true,"""Aspav dispersible tablets""	""Dispersible tablet/""	""Oral""	""Aspirin""	""500.000mg + 7.710mg""	NA	""Aspirin""",
"""86941000033114""",UNKNOWN,true,"""Aspirin Paracetamol And Codeine  Tablets""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""87041000033110""",UNKNOWN,true,"""Aspirin 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Aspirin""	""75.000mg""	""02090000""	""Aspirin""",
