code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Antiplatelets""",
"""47895""",UNKNOWN,true,"433	""Brilique 90mg tablets (AstraZeneca UK Ltd)""	""Ticagrelor""	""90mg""	""Oral tablet""	""Gastroenteral/Oral""	""Antiplatelet Products""	""Ticagrelor""",
"""68752""",UNKNOWN,true,"0	""Aspirin 75mg tablets (Sigma Pharmaceuticals Plc)""	""Aspirin""	""75mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""59728""",UNKNOWN,true,"0	""Aspirin 75mg tablets (Alissa Healthcare Research Ltd)""	""Aspirin""	""75mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""73634""",UNKNOWN,true,"0	""Co-codaprin 8mg/400mg tablets (The Boots Company Plc)""	""Aspirin""	""8mg + 400mg""	""Oral tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""40191""",UNKNOWN,true,"3	""ASPIRIN /CAFFEINE /QUININE SULPHATE 325 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""12102""",UNKNOWN,true,"434	""ASPIRIN SOLUBLE 100 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""15779""",UNKNOWN,true,"166	""Codeine 8mg with aspirin 500mg soluble tablets""	""Aspirin""	""8mg + 500mg""	""Soluble Tablet""	""Oral""	""Non-Opioid And Compound Analgesics/Opioid Analgesics""	""Aspirin""",
"""53622""",UNKNOWN,true,"0	""Aspirin 300mg Tablet (M & A Pharmachem Ltd)""	""Aspirin""	""300mg""	""Oral tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""9027""",UNKNOWN,true,"430	""ASPIRIN disp 150 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""91288""",UNKNOWN,true,"0	""Aspirin 75mg gastro-resistant tablets (Galpharm International Ltd)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""22863""",UNKNOWN,true,"1	""ASPIRIN S/R 500 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""86732""",UNKNOWN,true,"0	""Aspirin 75mg tablets (G.L. Pharma UK Ltd)""	""Aspirin""	""75mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""393""",UNKNOWN,true,"549	""Disprin 300mg dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""53804""",UNKNOWN,true,"0	""Aspirin 300mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)""	""Aspirin""	""300mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""43434""",UNKNOWN,true,"278	""Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)""	""Aspirin""	""300mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""48165""",UNKNOWN,true,"1	""Aspirin 300mg tablets (Aspar Pharmaceuticals Ltd)""	""Aspirin""	""300mg""	""Oral tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""4523""",UNKNOWN,true,"198	""ASPIRIN 50 MG CAP""	""Aspirin""	NA	NA	NA	""Unknown""	""Aspirin""",
"""8381""",UNKNOWN,true,"118	""ASPIRIN /CAMPHOR /MENTHOL /METHYL SALICY 1.2 % LIN""	""Aspirin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Aspirin""",
"""40913""",UNKNOWN,true,"674	""Grepid 75mg tablets (Kent Pharma (UK) Ltd)""	""Clopidogrel""	""75mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Clopidogrel""",
"""15447""",UNKNOWN,true,"125	""ASPIRIN SOLUBLE 600 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""22450""",UNKNOWN,true,"44	""ASPIRIN & CODEINE 75 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""52856""",UNKNOWN,true,"957	""Co-codaprin 8mg/400mg tablets""	""Aspirin""	""8mg + 400mg""	""Oral tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""12605""",UNKNOWN,true,"18	""ASPIRIN & CAFFEINE disp 300 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""377""",UNKNOWN,true,"930692	""Aspirin 300mg dispersible tablets""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""10310""",UNKNOWN,true,"1880	""Aspirin powder""	""Aspirin""	""1mg/1mg""	""Not applicable""	""Route of administration not applicable""	""Antiplatelet Products/Non-Opioid And Compound Analgesics/Extemporaneous Item""	""Aspirin""",
"""31954""",UNKNOWN,true,"22224	""Aspirin 75mg dispersible tablets (Teva UK Ltd)""	""Aspirin""	""75mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""50166""",UNKNOWN,true,"1	""Generic Anadin Extra tablets""	""Aspirin""	""45mg + 200mg + 300mg""	""Oral tablet""	""Oral""	""Other Non Opioid Analgesics""	""Aspirin""",
"""62707""",UNKNOWN,true,"0	""Dipyridamole 25mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Dipyridamole""	""25mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""49685""",UNKNOWN,true,"61	""Aspirin 75mg dispersible tablets (Sigma Pharmaceuticals Plc)""	""Aspirin""	""75mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""31001""",UNKNOWN,true,"0	""Cullens headache powders Sachets (Cullen and Davidson)""	""Aspirin""	""600mg + 50mg""	""Oral powder""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""41229""",UNKNOWN,true,"441	""Efient 10mg tablets (Vygoris Ltd)""	""Prasugrel""	""10mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Prasugrel""",
"""75011""",UNKNOWN,true,"150	""Dipyridamole 100mg Tablet (C P Pharmaceuticals Ltd)""	""Dipyridamole""	""100mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""1902""",UNKNOWN,true,"4116	""Aspirn 600mg gastro-resistant tablets""	""Aspirin""	""600mg""	""Gastro-Resistant Tablets""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""82633""",UNKNOWN,true,"62	""Clopidogrel 25mg/5ml oral suspension""	""Clopidogrel""	""5mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products""	""Clopidogrel""",
"""1049""",UNKNOWN,true,"2771	""Nu-seals aspirin 600mg Tablet (Eli Lilly and Company Ltd)""	""Aspirin""	""600mg""	""Tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""70606""",UNKNOWN,true,"1481	""Ticagrelor 90mg orodispersible tablets sugar free""	""Ticagrelor""	""90mg""	""Orodispersible tablet""	""Oral""	""Antiplatelet Products""	""Ticagrelor""",
"""88434""",UNKNOWN,true,"2	""Clopidogrel 75mg tablets (Mawdsley-Brooks & Company Ltd)""	""Clopidogrel""	""75mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Clopidogrel""",
"""9044""",UNKNOWN,true,"178	""Codis 500 dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)""	""Aspirin""	""500mg + 8mg""	""Dispersible tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""22864""",UNKNOWN,true,"55	""ASPIRIN PAED MIX""	""Aspirin""	NA	NA	NA	""Unknown""	""Aspirin""",
"""4679""",UNKNOWN,true,"273908	""Asasantin Retard capsules (Boehringer Ingelheim Ltd)""	""Aspirin/Dipyridamole""	""200mg + 25mg""	""Modified-release capsule""	""Oral""	""Antiplatelet Products""	""Aspirin/Dipyridamole""",
"""21067""",UNKNOWN,true,"105	""Doloxene Capsule (Eli Lilly and Company Ltd)""	""Aspirin""	NA	""Capsule""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""2754""",UNKNOWN,true,"701	""ASPIRIN SOLUBLE 150 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""29759""",UNKNOWN,true,"0	""Aspro Tablet (Roche Consumer Health)""	""Aspirin""	NA	""Tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""18261""",UNKNOWN,true,"197	""Aspirin 500mg with Papaveretum 7.71mg dispersible tablets""	""Aspirin""	""500mg + 7.71mg""	""Dispersible Tablet""	""Oral""	""Non-Opioid And Compound Analgesics/Opioid Analgesics""	""Aspirin""",
"""7770""",UNKNOWN,true,"14	""ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 250 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""34385""",UNKNOWN,true,"690	""Aspirin 75mg Soluble tablet (Co-operative)""	""Aspirin""	""75mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""81756""",UNKNOWN,true,"0	""Aspirin 75mg gastro-resistant tablets (Lloyds Pharmacy Ltd)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""34709""",UNKNOWN,true,"6	""Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd)""	""Dipyridamole""	""100mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""66973""",UNKNOWN,true,"11340	""Ticagrelor 60mg tablets""	""Ticagrelor""	""60mg""	""Oral tablet""	""Gastroenteral/Oral""	""Antiplatelet Products""	""Ticagrelor""",
"""88492""",UNKNOWN,true,"0	""Aspirin 500mg powder and solvent for solution for injection vials""	""Aspirin""	""500mg""	""Powder and solvent for solution for injection""	""Intravenous/Intramuscular""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""45905""",UNKNOWN,true,"238	""Clopidogrel 1mg/ml oral suspension""	""Clopidogrel""	""1mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products""	""Clopidogrel""",
"""66563""",UNKNOWN,true,"0	""Aspirin 75mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""28238""",UNKNOWN,true,"19	""ASPIRIN 300MG/LYSINE 245MG 300 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""78167""",UNKNOWN,true,"356	""Dipyridamole 25mg Tablet (IVAX Pharmaceuticals UK Ltd)""	""Dipyridamole""	""25mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""7989""",UNKNOWN,true,"286	""DIHYDROCODEINE TARTRATE/ASPIRIN 300 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""7486""",UNKNOWN,true,"50	""ASPIRIN 37.5 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""35108""",UNKNOWN,true,"4123	""Dipyridamole 100mg/5ml oral suspension""	""Dipyridamole""	""20mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""18217""",UNKNOWN,true,"1786	""Aspirin 300mg orodispersible tablets sugar free""	""Aspirin""	""300mg""	""Orodispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""79389""",UNKNOWN,true,"10	""Platet 300mg Effervescent tablet (Roche Products Ltd)""	""Aspirin""	""300mg""	""Effervescent tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""9144""",UNKNOWN,true,"9871	""Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""21989""",UNKNOWN,true,"1783	""Cerebrovase 100mg Tablet (Ashbourne Pharmaceuticals Ltd)""	""Dipyridamole""	""100mg""	""Oral tablet""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""42061""",UNKNOWN,true,"7	""ASPIRIN 65 MG SUP""	""Aspirin""	NA	""Suppository""	""Rectal""	""Unknown""	""Aspirin""",
"""64071""",UNKNOWN,true,"0	""Aspirin powder (J M Loveridge Ltd)""	""Aspirin""	""1mg/1mg""	""Not applicable""	""Route of administration not applicable""	""Antiplatelet Products/Non-Opioid And Compound Analgesics/Extemporaneous Item""	""Aspirin""",
"""31498""",UNKNOWN,true,"2	""ASPIRIN / CAFFEINE CIT./ CODEINE PHOS./ 200 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""50555""",UNKNOWN,true,"1	""Aspirin 300mg dispersible tablets (DE Pharmaceuticals)""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""6226""",UNKNOWN,true,"961	""Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free""	""Aspirin""	""500mg + 7.71mg""	""Dispersible tablet""	""Oral""	""Unknown""	""Aspirin""",
"""6666""",UNKNOWN,true,"174762	""Dipyridamole 200mg modified-release / Aspirin 25mg capsules""	""Aspirin/Dipyridamole""	""200mg + 25mg""	""Modified-release capsule""	""Oral""	""Antiplatelet Products""	""Aspirin/Dipyridamole""",
"""41569""",UNKNOWN,true,"115	""Aspirin 300mg tablets (A A H Pharmaceuticals Ltd)""	""Aspirin""	""300mg""	""Oral tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""31858""",UNKNOWN,true,"1	""Caspac xl 162.5mg Capsule (Pharmacia Ltd)""	""Aspirin""	""162.5mg""	""Capsule""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""33075""",UNKNOWN,true,"4	""ASPIRIN 600MG/GLYCINE 300MG 600 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""26424""",UNKNOWN,true,"20	""ASPIRIN 200 MG SUP""	""Aspirin""	NA	""Suppository""	""Rectal""	""Unknown""	""Aspirin""",
"""67521""",UNKNOWN,true,"4	""Aspirin 15mg/5ml oral suspension""	""Aspirin""	""3mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs""	""Aspirin""",
"""8645""",UNKNOWN,true,"507	""Aspirin 300mg effervescent tablets""	""Aspirin""	""300mg""	""Tablets""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""91908""",UNKNOWN,true,"2	""Aspirin 75mg/5ml oral solution""	""Aspirin""	""15mg/1ml""	""Oral solution""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""34485""",UNKNOWN,true,"926	""Aspirin 75mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""69216""",UNKNOWN,true,"2	""Dipyridamole 200mg modified-release / Aspirin 25mg capsules (A A H Pharmaceuticals Ltd)""	""Aspirin/Dipyridamole""	""200mg + 25mg""	""Modified-release capsule""	""Oral""	""Antiplatelet Products""	""Aspirin/Dipyridamole""",
"""645""",UNKNOWN,true,"799	""Aspirin 300mg suppositories""	""Aspirin""	""300mg""	""Suppository""	""Rectal""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""19724""",UNKNOWN,true,"87	""ASPIRIN & CODEINE paed 75 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""80356""",UNKNOWN,true,"0	""Boots Aspirin 75mg gastro-resistant tablets (The Boots Company Plc)""	""Aspirin""	""75mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""53325""",UNKNOWN,true,"0	""Salicylates with menthol and camphor liniment""	""Aspirin""	NA	""Solution for injection""	""Intramuscular""	""Topical Nsaids And Counter Irritants""	""Aspirin""",
"""12992""",UNKNOWN,true,"1759	""Aspirin 500mg / Codeine 8mg dispersible tablets sugar free""	""Aspirin""	""500mg + 8mg""	""Dispersible tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""32210""",UNKNOWN,true,"2001	""Aspirin 300mg dispersible tablets (Accord-UK Ltd)""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""17704""",UNKNOWN,true,"4746	""Platet 100mg Effervescent tablet (Roche Products Ltd)""	""Aspirin""	""100mg""	""Effervescent Tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""22107""",UNKNOWN,true,"11	""ASPIRIN disp 200 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""21380""",UNKNOWN,true,"5626	""Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets""	""Aspirin""	""75mg + 60mg""	""Modified-release tablet""	""Oral""	""Unknown""	""Aspirin""",
"""77265""",UNKNOWN,true,"0	""Aspirin 300mg gastro-resistant tablets (DE Pharmaceuticals)""	""Aspirin""	""300mg""	""Gastro-resistant tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""3726""",UNKNOWN,true,"973	""Metoclopramide with aspirin 5mg + 325mg Effervescent tablet""	""Aspirin""	""5mg + 325mg""	""Effervescent Tablet""	""Oral""	""Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine""	""Aspirin""",
"""31499""",UNKNOWN,true,"1	""Paracetamol with aspirin tablet""	""Aspirin""	NA	""Tablets""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""383""",UNKNOWN,true,"228	""ASPIRIN 60 MG TAB""	""Aspirin""	NA	""Tablet""	""Oral""	""Unknown""	""Aspirin""",
"""34309""",UNKNOWN,true,"82	""Aspirin 300mg dispersible tablets (A A H Pharmaceuticals Ltd)""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""42218""",UNKNOWN,true,"24	""Co-codaprin 8mg/400mg dispersible tablets (A A H Pharmaceuticals Ltd)""	""Aspirin""	""8mg + 400mg""	""Dispersible tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
"""33668""",UNKNOWN,true,"26	""Aspirin 300mg Dispersible tablet (Rusco Ltd)""	""Aspirin""	""300mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""23495""",UNKNOWN,true,"0	""ASPIRIN""	""Aspirin""	NA	NA	NA	""Unknown""	""Aspirin""",
"""64929""",UNKNOWN,true,"16	""Dipyridamole 200mg/5ml oral suspension""	""Dipyridamole""	""40mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products""	""Dipyridamole""",
"""48000""",UNKNOWN,true,"0	""Aspirin 300mg tablets (Sigma Pharmaceuticals Plc)""	""Aspirin""	""300mg""	""Oral tablet""	""Oral""	""Antiplatelet Products/Non-Opioid And Compound Analgesics""	""Aspirin""",
"""85356""",UNKNOWN,true,"0	""Aspirin 75mg dispersible tablets (Medihealth (Northern) Ltd)""	""Aspirin""	""75mg""	""Dispersible tablet""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""74302""",UNKNOWN,true,"1	""Aspirin 75mg/5ml oral suspension""	""Aspirin""	""15mg/1ml""	""Oral suspension""	""Oral""	""Antiplatelet Products""	""Aspirin""",
"""20650""",UNKNOWN,true,"69	""Aspirin 300mg / Paracetamol 200mg dispersible tablets sugar free""	""Aspirin""	""300mg + 200mg""	""Dispersible tablet""	""Oral""	""Non-Opioid And Compound Analgesics""	""Aspirin""",
