code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""BMICat""",
"""8105""",UNKNOWN,true,"""22K..00""	""body mass index""	""None""",
"""28946""",UNKNOWN,true,"""22K1.00""	""body mass index normal k/m2""	""Normal""",
"""44291""",UNKNOWN,true,"""22K8.00""	""body mass index 20-24 - normal""	""Normal""",
"""101047""",UNKNOWN,true,"""22K9.00""	""body mass index centile""	""None""",
"""105800""",UNKNOWN,true,"""22KB.00""	""baseline body mass index""	""None""",
"""32974""",UNKNOWN,true,"""22A5.00""	""o/e - weight > 20% over ideal""	""Overweight""",
"""6713""",UNKNOWN,true,"""8CA4011""	""patient advised to lose weight""	""Overweight""",
"""8304""",UNKNOWN,true,"""ZC2C711""	""dietary advice for weight reduction""	""Overweight""",
"""13078""",UNKNOWN,true,"""13AC.00""	""diabetic weight reducing diet""	""Overweight""",
"""103499""",UNKNOWN,true,"""22AA.00""	""overweight""	""Overweight""",
"""104724""",UNKNOWN,true,"""66CL.00""	""risk health associa overweight obesity, at no increased risk""	""Obese""",
"""12445""",UNKNOWN,true,"""ZG53100""	""patient advised to lose weight""	""Overweight""",
"""9015""",UNKNOWN,true,"""22K4.00""	""body mass index index 25-29 - overweight""	""Overweight""",
"""16404""",UNKNOWN,true,"""22A4.00""	""o/e - weight 10-20% over ideal""	""Overweight""",
"""111344""",UNKNOWN,true,"""66CF300""	""target weight to achieve five percent weight loss""	""None""",
"""43375""",UNKNOWN,true,"""ZC2CO00""	""dietary advice for weight loss""	""None""",
"""2839""",UNKNOWN,true,"""22A4.11""	""o/e - overweight""	""Overweight""",
"""28937""",UNKNOWN,true,"""22K2.00""	""body mass index high k/m2""	""Overweight""",
"""12530""",UNKNOWN,true,"""R034800""	""[d]underweight""	""Underweight""",
"""29029""",UNKNOWN,true,"""22A2.00""	""o/e -weight 10-20% below ideal""	""Underweight""",
"""126""",UNKNOWN,true,"""22A6.00""	""o/e - underweight""	""Underweight""",
"""26473""",UNKNOWN,true,"""22A1.00""	""o/e - weight > 20% below ideal""	""Underweight""",
"""94788""",UNKNOWN,true,"""8B5B.00""	""weight gain diet""	""None""",
"""24496""",UNKNOWN,true,"""22K6.00""	""body mass index less than 20""	""Underweight""",
"""32914""",UNKNOWN,true,"""22K3.00""	""body mass index low k/m2""	""Underweight""",
"""108147""",UNKNOWN,true,"""8T11.00""	""referral to multidisciplinary obesity clinic""	""Obese""",
"""38799""",UNKNOWN,true,"""C380000""	""obesity due to excess calories""	""Obese""",
"""59780""",UNKNOWN,true,"""222A.00""	""o/e - obese""	""Obese""",
"""17477""",UNKNOWN,true,"""ZV65319""	""[v]dietary counselling in obesity""	""Obese""",
"""102514""",UNKNOWN,true,"""66CN.00""	""risk health associated overweight and obesity, at high risk""	""Obese""",
"""110415""",UNKNOWN,true,"""66CX.00""	""obesity multidisciplinary case review""	""Obese""",
"""52034""",UNKNOWN,true,"""9OK1.00""	""attends obesity monitoring""	""Obese""",
"""70950""",UNKNOWN,true,"""9OK7.00""	""obesity monitoring verbal inv.""	""Obese""",
"""49409""",UNKNOWN,true,"""9OK4.00""	""obesity monitoring 1st letter""	""Obese""",
"""104421""",UNKNOWN,true,"""C380700""	""lifelong obesity""	""Obese""",
"""17444""",UNKNOWN,true,"""66CE.00""	""reason for obesity therapy - occupational""	""Obese""",
"""66406""",UNKNOWN,true,"""C38..00""	""obesity and other hyperalimentation""	""Obese""",
"""22695""",UNKNOWN,true,"""C380400""	""central obesity""	""Obese""",
"""11461""",UNKNOWN,true,"""66C..00""	""obesity monitoring""	""Obese""",
"""69757""",UNKNOWN,true,"""Cyu7000""	""[x]other obesity""	""Obese""",
"""22556""",UNKNOWN,true,"""22K7.00""	""body mass index 40+ - severely obese""	""Obese""",
"""106010""",UNKNOWN,true,"""66CP.00""	""risk health associ overweight and obesity, at very high risk""	""Obese""",
"""102150""",UNKNOWN,true,"""66CM.00""	""risk health associ overweight and obesity, at increased risk""	""Obese""",
"""108610""",UNKNOWN,true,"""22KD.00""	""obese class ii (body mass index 35.0 - 39.9)""	""Obese""",
"""29538""",UNKNOWN,true,"""66C2.00""	""follow-up obesity assessment""	""Obese""",
"""38632""",UNKNOWN,true,"""66C6.00""	""treatment of obesity started""	""Obese""",
"""25968""",UNKNOWN,true,"""C380500""	""generalised obesity""	""Obese""",
"""52782""",UNKNOWN,true,"""Cyu7.00""	""[x]obesity and other hyperalimentation""	""Obese""",
"""103574""",UNKNOWN,true,"""C38y011""	""obesity hypoventilation syndrome""	""Obese""",
"""3176""",UNKNOWN,true,"""66C4.00""	""has seen dietician - obesity""	""Obese""",
"""10728""",UNKNOWN,true,"""ZC2CM00""	""dietary advice for obesity""	""Obese""",
"""52703""",UNKNOWN,true,"""212Q.00""	""obesity resolved""	""Obese""",
"""104887""",UNKNOWN,true,"""66CS.00""	""inter risk hlth overwght obesity adv diet phys act cons drug""	""Obese""",
"""110196""",UNKNOWN,true,"""66Ce.00""	""telehealth obesity monitoring""	""Obese""",
"""13278""",UNKNOWN,true,"""22K5.00""	""body mass index 30+ - obesity""	""Obese""",
"""38059""",UNKNOWN,true,"""C380200""	""extreme obesity with alveolar hypoventilation""	""Obese""",
"""7984""",UNKNOWN,true,"""22A5.11""	""o/e - obese""	""Obese""",
"""52735""",UNKNOWN,true,"""9OKZ.00""	""obesity monitoring admin.nos""	""Obese""",
"""47439""",UNKNOWN,true,"""9OKA.00""	""obesity monitoring check done""	""Obese""",
"""11401""",UNKNOWN,true,"""C38z000""	""simple obesity nos""	""Obese""",
"""64712""",UNKNOWN,true,"""66C5.00""	""treatment of obesity changed""	""Obese""",
"""38658""",UNKNOWN,true,"""66C1.00""	""initial obesity assessment""	""Obese""",
"""55586""",UNKNOWN,true,"""9OK5.00""	""obesity monitoring 2nd letter""	""Obese""",
"""430""",UNKNOWN,true,"""C380.00""	""obesity""	""Obese""",
"""108355""",UNKNOWN,true,"""8CV7.00""	""anti-obesity drug therapy commenced""	""Obese""",
"""32843""",UNKNOWN,true,"""9OK..00""	""obesity monitoring admin.""	""Obese""",
"""67517""",UNKNOWN,true,"""9OK8.00""	""obesity monitor phone invite""	""Obese""",
"""108694""",UNKNOWN,true,"""22KC.00""	""obese class i (body mass index 30.0 - 34.9)""	""Obese""",
"""8854""",UNKNOWN,true,"""C380300""	""morbid obesity""	""Obese""",
"""67516""",UNKNOWN,true,"""9OK2.00""	""refuses obesity monitoring""	""Obese""",
"""49250""",UNKNOWN,true,"""C380100""	""drug-induced obesity""	""Obese""",
"""104129""",UNKNOWN,true,"""C380600""	""adult-onset obesity""	""Obese""",
"""27570""",UNKNOWN,true,"""66C7.00""	""treatment of obesity stopped""	""Obese""",
"""73304""",UNKNOWN,true,"""9OK9.00""	""obesity monitoring deleted""	""Obese""",
"""52036""",UNKNOWN,true,"""9OK3.00""	""obesity monitoring default""	""Obese""",
"""55585""",UNKNOWN,true,"""9OK6.00""	""obesity monitoring 3rd letter""	""Obese""",
"""40153""",UNKNOWN,true,"""66CZ.00""	""obesity monitoring nos""	""Obese""",
"""16196""",UNKNOWN,true,"""1444.00""	""h/o: obesity""	""Obese""",
"""70898""",UNKNOWN,true,"""C38z.00""	""obesity and other hyperalimentation nos""	""Obese""",
"""108478""",UNKNOWN,true,"""22KE.00""	""obese class iii (bmi equal to or greater than 40.0)""	""Obese""",
"""100985""",UNKNOWN,true,"""66CQ.00""	""inter risk health ass overwt ob gen adv hlthy wgt lifestyle""	""Obese""",
